,X1,dogname,HR,UD,ECC
1,1,Bethoven,269675.9637,3699006.418,0.765705421
2,2,Blanco,21785.59148,438494.313,0.664127665
3,3,Bocanegra,4678.014027,46028.86509,0.617510762
4,4,Boyca,12430.21829,299933.6834,0.66599838
5,5,Cabeza_Blanca,7982.282449,99698.25222,0.52729656
6,6,Cafetin,27981.30989,200272.3695,0.720541116
7,7,Dayflu,127.305708,1167.004396,0.582028056
8,8,Doki,42280.8114,1159772.198,0.779782188
9,9,Dorito,3046.336767,16146.90397,0.624337255
10,10,Draico,37528.908,44982.06514,0.570530104
11,11,Gringasho,13408.99081,34512.09513,0.629298529
12,12,Kucznski,4988.809157,9239.405435,0.61212584
13,13,Lobo,9348.041812,28522.63997,0.671320817
14,14,Loca,3242.117091,94234.01625,0.467415062
15,15,Lunareja,20073.67921,70611.4973,0.704340603
16,16,Maycol,5415.704017,9385.695517,0.645108886
17,17,Negra,2792.101861,5392.106,0.5924938
18,18,Negro_I,461281.8234,2507309.597,0.775831169
19,19,Negro_II,22098.36777,352922.2203,0.750550339
20,20,Otis,10702.51657,54874.92834,0.609007936
21,21,Tarzan,50310.50438,50592.42696,0.661077166
22,22,Tofy,3961.992377,5819.432472,0.587427766
23,23,Toto,1603.443601,16798.42699,0.601377608
