"","UniqueId","TotalPoints","NotHouseTotal","Torr2Points","Torr3Points","Torr4Points","TotalTorrPoints","TorrPercent"
"1","Bethoven",10434,6858,54,2207,13,2274,0.331583552055993
"2","Blanco",6210,1559,0,19,185,204,0.13085311096857
"3","Bocanegra",1486,140,0,0,53,53,0.378571428571429
"4","Boyca",2975,1036,0,42,0,42,0.0405405405405405
"5","Cabeza_Blanca",4865,1497,0,0,1264,1264,0.84435537742151
"6","Cafetin",3029,1185,0,0,913,913,0.770464135021097
"7","Dayflu",872,18,0,0,0,0,0
"8","Doki",2401,1173,0,183,10,193,0.164535379369139
"9","Dorito",674,29,0,0,0,0,0
"10","Draico",2494,146,0,0,39,39,0.267123287671233
"11","Gringasho",1118,77,0,32,0,32,0.415584415584416
"12","Kucznski",3070,101,0,22,0,22,0.217821782178218
"13","Lobo",4019,552,0,0,0,0,0
"14","Loca",5839,433,0,38,11,49,0.113163972286374
"15","Lunareja",5176,807,0,0,444,444,0.550185873605948
"16","Maycol",1037,27,0,0,8,8,0.296296296296296
"17","Negra",486,15,0,0,0,0,0
"18","Negro_I",9433,4328,12,563,3,578,0.13354898336414
"19","Negro_II",1720,303,0,41,0,41,0.135313531353135
"20","Otis",1334,85,0,0,7,7,0.0823529411764706
"21","Tarzan",2140,352,0,0,0,0,0
"22","Tofy",1119,39,0,26,0,26,0.666666666666667
"23","Toto",3374,154,0,0,0,0,0
