"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-12-13","09:00:04",-16.396782,-71.50956,2444,540,177,-2,0,1
"2016-12-13","09:01:38",-16.396801,-71.509697,2425.36,2592,229,-1,14.77,1
"2016-12-13","09:01:55",-16.396759,-71.509598,2437.51,900,290,-1,11.55,1
"2016-12-13","09:02:15",-16.396797,-71.50959,2436.83,1044,178,-1,4.31,1
"2016-12-13","09:05:29",-16.396921,-71.509552,2418.43,828,160,0,14.37,1
"2016-12-13","09:08:41",-16.396858,-71.50959,2412.2,3636,183,0,8.09,1
"2016-12-13","09:10:28",-16.396711,-71.509613,2431.19,3132,234,-1,16.53,1
"2016-12-13","09:13:50",-16.396248,-71.509796,2438.02,252,158,0,55.06,1
"2016-12-13","09:17:12",-16.396441,-71.509651,2439.07,3384,167,0,26.45,1
"2016-12-13","09:20:23",-16.396933,-71.509712,2448.43,1404,194,0,55.09,1
"2016-12-13","09:23:37",-16.396835,-71.509499,2439.2,540,78,0,25.2,1
"2016-12-13","09:26:48",-16.396832,-71.509773,2430.23,828,272,0,29.23,1
"2016-12-13","09:30:03",-16.396725,-71.509644,2427.35,1548,87,0,18.19,1
"2016-12-13","09:33:16",-16.398413,-71.510773,2394.65,2808,304,0,223.01,1
"2016-12-13","09:36:39",-16.398521,-71.510468,2437.98,1584,135,0,34.68,1
"2016-12-13","09:39:58",-16.398359,-71.510704,2410.61,1188,157,0,30.96,1
"2016-12-13","09:43:31",-16.398464,-71.510574,2418.81,2916,105,0,18.13,1
"2016-12-13","09:47:00",-16.398394,-71.510513,2423.55,648,122,0,10.15,1
"2016-12-13","09:50:07",-16.396786,-71.509438,2450.92,9288,300,0,212.41,1
"2016-12-13","09:53:34",-16.398127,-71.507988,2645.43,1620,325,0,214.85,1
"2016-12-13","09:57:01",-16.39687,-71.509644,2436.19,360,256,0,225.26,1
"2016-12-13","10:00:48",-16.396812,-71.509613,2418.23,1548,42,0,7.25,1
"2016-12-13","10:04:08",-16.396812,-71.509613,2418.23,1548,42,0,0,1
"2016-12-13","10:07:18",-16.396744,-71.509537,2456.13,0,136,0,11.09,1
"2016-12-13","10:10:26",-16.396765,-71.509598,2429.22,3204,110,0,6.91,1
"2016-12-13","10:13:36",-16.396658,-71.50956,2404.3,0,193,0,12.57,1
"2016-12-13","10:16:44",-16.396734,-71.509575,2401.47,0,179,0,8.6,1
"2016-12-13","10:19:51",-16.396858,-71.50959,2411.22,1836,331,0,13.88,1
"2016-12-13","10:22:58",-16.396877,-71.509544,2438.28,0,70,0,5.34,1
"2016-12-13","10:26:10",-16.396809,-71.509468,2422.02,1368,220,0,11.09,1
"2016-12-13","10:29:16",-16.39682,-71.509514,2413.25,0,269,0,5.06,1
"2016-12-13","10:32:21",-16.396851,-71.509583,2498.75,1728,176,0,8.13,1
"2016-12-13","10:50:51",-16.396795,-71.509621,2461.73,684,218,-1,7.43,1
"2016-12-13","10:53:56",-16.396784,-71.509628,2450.33,1908,55,0,1.43,1
"2016-12-13","10:57:03",-16.396885,-71.509506,2419.96,0,135,0,17.19,1
"2016-12-13","11:00:12",-16.396908,-71.509605,2427.75,12240,56,0,10.87,1
"2016-12-13","11:02:14",-16.396929,-71.509636,2440.38,684,37,0,4.05,1
"2016-12-13","11:07:47",-16.396852,-71.509521,2435.94,324,100,0,14.96,1
"2016-12-13","11:11:04",-16.396852,-71.509521,2435.94,324,100,0,0,1
"2016-12-13","11:14:16",-16.396795,-71.509682,2414.42,1728,349,0,18.31,1
"2016-12-13","11:17:25",-16.396875,-71.509636,2423.47,0,300,0,10.16,1
"2016-12-13","11:20:33",-16.396877,-71.509575,2437.02,0,40,0,6.51,1
"2016-12-13","11:23:51",-16.396868,-71.509613,2457.98,1728,26,0,4.18,1
"2016-12-13","11:26:59",-16.396696,-71.509567,2412.33,0,118,0,19.74,1
"2016-12-13","11:35:34",-16.396696,-71.509567,2412.33,0,118,0,0,1
"2016-12-13","11:38:41",-16.396952,-71.509499,2448.92,432,337,0,29.38,1
"2016-12-13","11:41:51",-16.396511,-71.509727,2379.16,0,161,0,54.74,1
"2016-12-13","11:45:09",-16.396511,-71.509727,2379.16,0,161,0,0,1
"2016-12-13","11:48:21",-16.396828,-71.509468,2425.86,864,298,0,44.79,1
"2016-12-13","11:51:42",-16.396843,-71.509605,2438.01,324,256,0,14.71,1
"2016-12-13","11:54:54",-16.396763,-71.509583,2391.31,9000,29,0,9.2,1
"2016-12-13","11:58:58",-16.396812,-71.509506,2456.18,1152,119,0,9.86,1
"2016-12-13","12:03:50",-16.396931,-71.509613,2433.35,2736,40,0,17.47,1
"2016-12-13","12:09:35",-16.396795,-71.509628,2412.3,756,81,0,15.21,1
"2016-12-13","12:15:44",-16.396807,-71.509422,2436.19,7092,61,0,22.02,1
"2016-12-13","12:23:58",-16.396957,-71.509666,2447.7,396,122,0,30.91,1
"2016-12-13","12:31:51",-16.395744,-71.507736,2601.48,972,335,0,246.13,1
