"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2017-01-17","09:12:29",-16.393492,-71.501343,2517.3,180,96,-2,0,1
"2017-01-17","09:24:36",-16.393492,-71.501343,2517.3,1404,65,0,0,1
"2017-01-17","09:27:51",-16.393398,-71.501297,2510.4,612,344,0,11.55,1
"2017-01-17","09:31:01",-16.393215,-71.501343,2505.18,396,0,0,20.93,1
"2017-01-17","09:34:13",-16.393393,-71.501305,2506.63,2880,106,0,20.2,1
"2017-01-17","09:37:48",-16.393406,-71.501312,2499.12,288,139,0,1.63,1
"2017-01-17","09:50:03",-16.393406,-71.501312,2499.12,288,139,0,0,1
"2017-01-17","09:53:35",-16.394274,-71.502403,2731.15,1368,176,0,151.2,1
"2017-01-17","09:56:45",-16.393328,-71.500999,2509.31,0,266,0,183.02,1
"2017-01-17","09:59:54",-16.393173,-71.501282,2524.71,0,66,0,34.76,1
"2017-01-17","10:03:02",-16.393141,-71.501335,2544.63,432,313,0,6.68,1
"2017-01-17","10:10:15",-16.393425,-71.501633,2522.41,0,0,0,44.81,1
"2017-01-17","10:26:52",-16.393425,-71.501633,2522.41,0,0,0,0,1
"2017-01-17","10:30:05",-16.393187,-71.501251,2514.88,792,37,0,48.59,1
"2017-01-17","10:33:16",-16.393457,-71.501442,2500.5,1836,250,0,36.28,1
"2017-01-17","10:36:26",-16.393467,-71.501198,2493.39,648,285,0,26.05,1
"2017-01-17","10:39:53",-16.393465,-71.501007,2463.61,720,312,0,20.38,1
"2017-01-17","10:45:11",-16.393324,-71.501076,2505.43,1188,322,0,17.32,1
"2017-01-17","10:48:23",-16.393465,-71.501411,2508.28,540,138,0,39.02,1
"2017-01-17","10:51:37",-16.393339,-71.501419,2528.48,2520,52,0,14.04,1
"2017-01-17","10:54:49",-16.393444,-71.50132,2504.03,828,207,0,15.74,1
"2017-01-17","10:58:03",-16.393475,-71.501358,2505.03,792,279,0,5.32,1
"2017-01-17","11:01:30",-16.393364,-71.501259,2506.81,720,304,0,16.24,1
"2017-01-17","11:04:37",-16.393387,-71.500801,2493.23,0,0,0,48.92,1
"2017-01-17","11:07:44",-16.393032,-71.500168,2898.18,0,335,0,78.22,1
"2017-01-17","11:10:50",-16.393423,-71.501579,2528.8,144,25,0,156.67,1
"2017-01-17","11:13:57",-16.393499,-71.501511,2503.37,0,0,0,11.14,1
"2017-01-17","11:17:03",-16.393574,-71.50119,2504.12,3960,142,0,35.24,1
"2017-01-17","11:21:23",-16.393574,-71.501213,2506.16,1512,328,0,2.45,1
"2017-01-17","11:26:12",-16.393385,-71.501175,2515.22,576,262,0,21.4,1
"2017-01-17","11:29:19",-16.393429,-71.501114,2500.39,1152,339,0,8.14,1
"2017-01-17","11:32:42",-16.393402,-71.50106,2511.47,972,33,0,6.5,1
"2017-01-17","11:36:13",-16.393467,-71.501114,2500.94,0,346,0,9.24,1
"2017-01-17","11:39:20",-16.393377,-71.500984,2539.39,2916,199,0,17.1,1
"2017-01-17","11:42:28",-16.393263,-71.501266,2532.13,864,310,0,32.64,1
"2017-01-17","11:45:37",-16.393379,-71.501228,2512.86,0,310,0,13.52,1
"2017-01-17","11:48:46",-16.393383,-71.501213,2471.37,324,139,0,1.66,1
"2017-01-17","11:51:54",-16.393339,-71.501175,2509.65,0,0,0,6.35,1
"2017-01-17","11:55:02",-16.393373,-71.501122,2507.86,0,324,0,6.8,1
"2017-01-17","11:58:10",-16.39341,-71.501076,2497.77,0,124,0,6.4,1
"2017-01-17","12:01:22",-16.393311,-71.501007,2500.8,2556,101,0,13.24,1
"2017-01-17","12:04:31",-16.393368,-71.501175,2518.75,0,311,0,19.01,1
"2017-01-17","12:07:38",-16.393373,-71.501083,2536.09,1836,221,0,9.83,1
"2017-01-17","12:10:46",-16.393297,-71.501312,2469.07,252,239,0,25.85,1
"2017-01-17","12:13:54",-16.39333,-71.501244,2466.56,540,284,0,8.13,1
"2017-01-17","12:17:02",-16.393351,-71.501251,2490.17,0,107,0,2.45,1
"2017-01-17","12:20:11",-16.393354,-71.501236,2511.99,0,126,0,1.63,1
"2017-01-17","12:23:20",-16.393383,-71.501236,2511.26,0,75,0,3.22,1
"2017-01-17","12:26:29",-16.393377,-71.501183,2533.82,0,280,0,5.69,1
"2017-01-17","12:29:38",-16.393387,-71.501183,2517.74,0,302,0,1.11,1
"2017-01-17","12:32:48",-16.393419,-71.501137,2508.47,684,342,0,6.06,1
"2017-01-17","12:36:11",-16.393433,-71.501221,2516.15,792,124,0,9.09,1
"2017-01-17","12:39:20",-16.393318,-71.501389,2499.43,2124,285,0,22.02,1
"2017-01-17","12:42:31",-16.393385,-71.501221,2490.09,1116,0,0,19.41,1
"2017-01-17","12:45:40",-16.393303,-71.501312,2499.24,2700,286,0,13.32,1
"2017-01-17","12:48:50",-16.393421,-71.501221,2506.11,0,101,0,16.32,1
"2017-01-17","12:52:00",-16.393377,-71.501198,2514.82,0,85,0,5.47,1
"2017-01-17","12:55:10",-16.393385,-71.50116,2519.26,324,175,0,4.15,1
"2017-01-17","12:58:19",-16.393408,-71.501038,2533.61,1512,245,0,13.26,1
"2017-01-17","13:01:28",-16.39333,-71.501137,2517.61,468,306,0,13.67,1
"2017-01-17","13:05:02",-16.393345,-71.501251,2507.08,216,128,0,12.27,1
"2017-01-17","13:08:10",-16.393343,-71.501236,2491.83,0,0,0,1.62,1
