"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-16","03:58:12",-16.393469,-71.501335,2497.22,216,59,-2,0,1
"2016-10-16","03:58:31",-16.393438,-71.50132,2496.54,0,20,-1,3.8,1
"2016-10-16","03:59:42",-16.393471,-71.501335,2506.16,396,296,-1,4,1
"2016-10-16","03:59:54",-16.393454,-71.501389,2518.57,1296,267,-1,6.06,1
"2016-10-16","04:02:59",-16.393417,-71.501213,2530.15,0,0,0,19.22,1
"2016-10-16","04:06:05",-16.393421,-71.501228,2505.96,0,0,0,1.66,1
"2016-10-16","04:09:15",-16.39341,-71.501221,2512.18,0,104,0,1.43,1
"2016-10-16","04:12:25",-16.393402,-71.501198,2511.97,0,0,0,2.61,1
"2016-10-16","04:15:37",-16.393387,-71.501167,2509.77,0,0,0,3.7,1
"2016-10-16","04:18:49",-16.393351,-71.501213,2512.48,324,0,0,6.33,1
"2016-10-16","04:22:01",-16.393377,-71.501106,2512.09,0,0,0,11.77,1
"2016-10-16","04:25:16",-16.393353,-71.501183,2526.21,0,333,0,8.64,1
"2016-10-16","04:28:30",-16.393404,-71.501175,2508.53,1512,187,0,5.73,1
"2016-10-16","04:31:42",-16.393358,-71.501167,2520.84,612,27,0,5.19,1
"2016-10-16","04:34:50",-16.39337,-71.501297,2525.52,0,0,0,13.93,1
"2016-10-16","04:38:04",-16.393379,-71.50132,2526.72,108,345,0,2.65,1
"2016-10-16","04:41:14",-16.393351,-71.501274,2522.73,0,0,0,5.81,1
"2016-10-16","04:44:32",-16.393305,-71.501274,2557.71,1224,28,0,5.11,1
"2016-10-16","04:48:05",-16.393444,-71.501274,2490.74,1008,222,0,15.46,1
"2016-10-16","04:51:24",-16.393463,-71.50119,2491.72,2556,48,0,9.21,1
"2016-10-16","04:54:43",-16.393459,-71.501328,2516.64,756,233,0,14.73,1
"2016-10-16","05:00:49",-16.393501,-71.501289,2493.89,1584,123,0,6.25,1
"2016-10-16","05:12:52",-16.393436,-71.501366,2509.94,2088,223,0,10.94,1
"2016-10-16","05:27:56",-16.393595,-71.501465,2534.18,2556,247,0,20.59,1
"2016-10-16","05:41:44",-16.393541,-71.50132,2495.95,756,30,0,16.59,1
"2016-10-16","05:56:02",-16.393169,-71.500977,2508.7,396,236,0,55.23,1
"2016-10-16","05:59:19",-16.393511,-71.501205,2504.76,1224,207,0,45.14,1
"2016-10-16","06:08:02",-16.393379,-71.501213,2516.63,1872,41,0,14.7,1
"2016-10-16","06:55:44",-16.393379,-71.501213,2516.63,1872,41,0,0,1
"2016-10-16","07:01:41",-16.393467,-71.500839,2741.77,1044,241,0,41.08,1
"2016-10-16","07:05:56",-16.393557,-71.501358,2511.29,5184,38,0,56.26,1
"2016-10-16","07:18:58",-16.393471,-71.501198,2505.97,0,27,0,19.56,1
"2016-10-16","07:22:06",-16.39357,-71.501236,2528.84,0,115,0,11.73,1
"2016-10-16","07:25:13",-16.393299,-71.501038,2499.81,0,0,0,36.8,1
"2016-10-16","07:28:19",-16.393234,-71.500832,2509.12,7560,272,0,23.13,1
"2016-10-16","07:31:53",-16.393375,-71.501266,2525.84,1764,26,0,48.88,1
"2016-10-16","07:37:08",-16.393394,-71.501259,2519.89,1260,69,0,2.24,1
"2016-10-16","07:40:17",-16.393469,-71.501266,2564.07,2772,236,0,8.37,1
"2016-10-16","07:43:28",-16.393515,-71.501381,2595.16,0,40,0,13.29,1
"2016-10-16","07:46:36",-16.393345,-71.501175,2504.41,2088,62,0,28.99,1
"2016-10-16","07:49:57",-16.3934,-71.50116,2509.05,756,117,0,6.32,1
"2016-10-16","07:53:05",-16.393484,-71.501183,2533.84,2736,257,0,9.66,1
"2016-10-16","07:56:36",-16.393259,-71.500931,2499.55,5976,305,0,36.72,1
"2016-10-16","08:01:05",-16.393324,-71.501183,2533.44,6804,231,0,27.84,1
"2016-10-16","08:10:46",-16.393324,-71.501183,2533.44,6804,231,0,0,1
"2016-10-16","08:14:26",-16.393345,-71.500885,2535.56,2052,2,0,31.87,1
"2016-10-16","08:20:01",-16.393204,-71.501053,2507.04,0,0,0,23.81,1
"2016-10-16","08:23:12",-16.393333,-71.501183,2490.98,1008,165,0,19.95,1
"2016-10-16","08:26:20",-16.393236,-71.50119,2510.04,1116,59,0,10.81,1
"2016-10-16","08:29:27",-16.393414,-71.501213,2508.6,0,288,0,19.94,1
"2016-10-16","08:32:33",-16.393221,-71.501114,2503.62,0,0,0,23.92,1
"2016-10-16","08:35:40",-16.393202,-71.501114,2515.71,0,0,0,2.11,1
"2016-10-16","08:38:47",-16.393293,-71.501091,2513.87,0,110,0,10.41,1
"2016-10-16","08:41:54",-16.393333,-71.501244,2519.62,432,0,0,16.92,1
"2016-10-16","08:45:03",-16.393398,-71.501205,2510.6,648,62,0,8.34,1
"2016-10-16","08:48:10",-16.393295,-71.501274,2528.74,0,0,0,13.61,1
"2016-10-16","08:51:17",-16.393389,-71.501183,2525.68,0,314,0,14.26,1
"2016-10-16","08:54:24",-16.393324,-71.501198,2508.52,0,0,0,7.4,1
"2016-10-16","08:57:31",-16.393345,-71.501259,2498.6,0,278,0,6.91,1
"2016-10-16","09:00:38",-16.393332,-71.50116,2508.41,6048,242,0,10.66,1
"2016-10-16","09:04:00",-16.393457,-71.501373,2494.56,468,102,-1,26.64,1
"2016-10-16","09:07:12",-16.394642,-71.501656,2651.88,2520,347,0,135.18,1
"2016-10-16","09:10:33",-16.393343,-71.501366,2504.13,2844,4,0,147.72,1
"2016-10-16","09:13:41",-16.393137,-71.501305,2481.34,0,235,0,23.81,1
"2016-10-16","09:16:53",-16.393305,-71.501335,2508.03,756,323,0,18.95,1
"2016-10-16","09:20:00",-16.393362,-71.501205,2499.62,1368,216,0,15.25,1
"2016-10-16","09:23:06",-16.393196,-71.501373,2508.41,3060,239,0,25.73,1
"2016-10-16","09:26:13",-16.393263,-71.50132,2497.07,504,262,0,9.35,1
"2016-10-16","09:27:59",-16.393187,-71.501312,2493.65,2520,187,-1,8.49,1
"2016-10-16","09:30:59",-16.393415,-71.500916,2562.92,7092,114,-1,49.27,1
"2016-10-16","09:34:19",-16.393303,-71.501137,2521.23,1908,111,0,26.66,1
"2016-10-16","09:38:49",-16.393314,-71.500839,2588.44,16632,98,0,31.81,1
"2016-10-16","09:39:32",-16.393208,-71.501091,2494.6,2772,257,0,29.35,1
"2016-10-16","09:43:15",-16.393326,-71.50119,2478.75,1908,6,0,16.84,1
"2016-10-16","09:48:48",-16.393326,-71.50119,2478.75,1908,6,0,0,1
"2016-10-16","09:51:59",-16.393215,-71.501099,2501.4,828,0,0,15.7,1
"2016-10-16","09:55:16",-16.393255,-71.500992,2528.19,2700,205,0,12.25,1
"2016-10-16","09:59:08",-16.393225,-71.501366,2497.31,792,310,0,40.04,1
"2016-10-16","10:02:32",-16.393246,-71.501144,2503.22,216,126,0,23.8,1
"2016-10-16","10:06:14",-16.393225,-71.501167,2514.59,2556,345,0,3.39,1
"2016-10-16","10:09:21",-16.393301,-71.501167,2508.36,0,343,0,8.45,1
"2016-10-16","10:12:28",-16.393324,-71.50116,2500.93,0,180,0,2.66,1
"2016-10-16","10:15:34",-16.393208,-71.501144,2521.94,0,356,0,13.01,1
"2016-10-16","10:18:41",-16.393251,-71.501183,2500.12,504,27,0,6.34,1
"2016-10-16","10:21:47",-16.393232,-71.501175,2510.53,108,33,0,2.28,1
"2016-10-16","10:24:53",-16.393238,-71.501175,2501.89,576,244,0,0.67,1
"2016-10-16","10:27:59",-16.393175,-71.501129,2522.41,0,44,0,8.55,1
"2016-10-16","10:31:05",-16.393053,-71.501099,2548.54,828,120,0,13.94,1
"2016-10-16","10:34:11",-16.393085,-71.501122,2534.91,540,234,0,4.32,1
"2016-10-16","10:37:18",-16.393215,-71.501144,2516.91,576,340,0,14.64,1
"2016-10-16","10:40:26",-16.393227,-71.501152,2518.54,180,337,0,1.58,1
"2016-10-16","10:43:34",-16.393116,-71.501129,2544.78,252,20,0,12.58,1
"2016-10-16","10:46:39",-16.393196,-71.501144,2518.9,2664,176,0,9.04,1
"2016-10-16","10:49:45",-16.393242,-71.501183,2519.78,0,0,0,6.59,1
"2016-10-16","10:52:57",-16.393229,-71.50119,2515,216,37,0,1.63,1
"2016-10-16","10:56:13",-16.393219,-71.50116,2516.52,288,180,0,3.39,1
"2016-10-16","10:59:31",-16.393202,-71.501122,2532.32,540,63,0,4.47,1
"2016-10-16","11:02:50",-16.393187,-71.501137,2532.9,612,159,0,2.31,1
"2016-10-16","11:06:20",-16.393154,-71.501083,2535.23,1368,197,0,6.83,1
"2016-10-16","11:10:09",-16.393291,-71.501183,2518.42,756,206,0,18.6,1
"2016-10-16","11:27:13",-16.393291,-71.501183,2518.42,756,206,0,0,1
"2016-10-16","11:31:31",-16.39344,-71.501274,2510.22,1116,248,0,19.2,1
"2016-10-16","11:34:46",-16.393312,-71.500992,2514.53,5976,267,0,33.28,1
"2016-10-16","11:37:54",-16.393394,-71.501076,2512.96,360,17,0,12.78,1
"2016-10-16","11:41:04",-16.393419,-71.501091,2514.36,108,125,0,3.21,1
"2016-10-16","11:44:13",-16.393484,-71.50103,2500.44,252,94,0,9.73,1
