"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-24","07:55:02",-16.393984,-71.499535,2347.61,1728,137,-2,0,1
"2016-11-24","08:04:31",-16.393621,-71.500381,2392.37,1044,288,-1,98.86,1
"2016-11-24","08:35:12",-16.393688,-71.499924,2357.9,792,26,0,49.32,1
"2016-11-24","09:05:58",-16.393154,-71.501793,2640.47,936,108,0,208.03,1
"2016-11-24","09:40:14",-16.393591,-71.501251,2596.26,396,146,0,75.53,1
"2016-11-24","10:11:16",-16.393036,-71.501472,2584.35,2088,189,0,66.06,1
"2016-11-24","10:41:37",-16.392874,-71.501427,2484.83,1224,346,0,18.64,1
"2016-11-24","11:12:02",-16.393158,-71.501175,2479.57,936,6,0,41.47,1
"2016-11-24","11:42:42",-16.393177,-71.5009,2523.17,504,70,0,29.41,1
"2016-11-24","12:13:36",-16.393248,-71.50087,2497.29,612,25,0,8.52,1
"2016-11-24","12:45:20",-16.393518,-71.501129,2499.69,828,245,0,40.8,1
"2016-11-24","12:56:28",-16.392975,-71.500282,2284.84,2628,61,-1,108.67,1
"2016-11-24","13:02:37",-16.392523,-71.500259,2257.82,2844,280,-4,50.32,1
"2016-11-26","05:51:52",-16.393206,-71.50209,2760.12,1944,132,-2,0,1
"2016-11-26","06:22:34",-16.393513,-71.501167,2505.42,36,276,0,104.21,1
"2016-11-26","07:27:07",-16.393194,-71.50135,2509.32,504,182,0,40.49,1
"2016-11-26","07:57:59",-16.393291,-71.500923,2498.93,1080,24,0,46.81,1
"2016-11-26","08:23:21",-16.393505,-71.501289,2526.08,900,115,-1,45.72,1
"2016-11-26","09:43:44",-16.39308,-71.50145,2417.78,648,308,-1,50.28,1
"2016-11-26","10:15:20",-16.393488,-71.501205,2490.64,540,150,0,52.36,1
"2016-11-26","10:56:35",-16.393608,-71.50119,2497.26,1296,56,0,13.44,1
"2016-11-26","11:28:02",-16.393597,-71.501045,2509.79,1116,249,0,15.52,1
"2016-11-26","12:15:57",-16.39361,-71.501083,2498.53,1188,3,0,4.3,1
"2016-11-26","12:56:26",-16.393511,-71.50106,2502.39,756,301,0,11.28,1
"2016-11-26","13:51:47",-16.393595,-71.501312,2525.32,900,155,0,28.46,1
"2016-11-26","13:56:34",-16.393476,-71.501289,2514.61,144,328,-1,13.46,1
"2016-11-26","14:16:39",-16.3932,-71.501076,2476.84,576,109,-1,38.19,1
"2016-11-26","15:15:09",-16.393484,-71.501083,2497.05,432,225,0,31.59,1
"2016-11-26","16:17:43",-16.393541,-71.501175,2507.44,612,117,0,11.68,1
"2016-11-26","16:50:12",-16.393454,-71.501175,2579.37,432,120,0,9.67,1
"2016-11-26","17:35:46",-16.393507,-71.501213,2499.71,900,272,0,7.15,1
"2016-11-26","18:09:11",-16.393536,-71.501358,2471.29,2628,275,0,15.8,1
"2016-11-26","19:01:03",-16.393473,-71.501305,2468.59,3600,131,0,9,1
"2016-11-26","19:30:08",-16.393482,-71.501312,2496.25,1908,62,-1,1.25,1
"2016-11-26","19:31:51",-16.393719,-71.50135,2509.72,5832,267,-1,26.66,1
"2016-11-26","19:35:14",-16.393402,-71.501358,2513.26,288,83,-1,35.26,1
"2016-11-26","19:41:19",-16.393461,-71.501297,2515.63,2052,206,-1,9.24,1
"2016-11-26","20:13:18",-16.393362,-71.501053,2514.73,468,160,0,28.26,1
"2016-11-26","20:44:27",-16.393435,-71.501335,2500.19,792,159,0,31.16,1
"2016-11-26","21:14:30",-16.393423,-71.501328,2504.01,252,232,0,1.53,1
"2016-11-26","21:44:28",-16.393457,-71.501266,2506.74,0,59,0,7.62,1
