"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-28","07:53:37",-16.393263,-71.500961,2559.87,1368,163,-2,0,1
"2016-11-28","08:31:22",-16.393263,-71.500961,2559.87,180,225,0,0,1
"2016-11-28","08:34:31",-16.393288,-71.500946,2529.83,180,244,0,3.21,1
"2016-11-28","08:37:38",-16.393238,-71.501068,2505.83,0,0,0,14.15,1
"2016-11-28","08:40:45",-16.393446,-71.500938,2522,0,0,0,26.97,1
"2016-11-28","08:43:53",-16.393341,-71.500938,2442.07,0,0,0,11.68,1
"2016-11-28","08:47:00",-16.393347,-71.501007,2464.16,0,0,0,7.39,1
"2016-11-28","08:50:07",-16.393646,-71.500893,2484.15,0,0,0,35.4,1
"2016-11-28","08:53:16",-16.39336,-71.501053,2527.48,0,324,0,36.09,1
"2016-11-28","08:56:26",-16.393103,-71.501251,2552.83,0,0,0,35.54,1
"2016-11-28","08:59:37",-16.392963,-71.501144,2472.66,216,0,0,19.3,1
"2016-11-28","09:02:45",-16.392996,-71.501137,2484.22,0,0,0,3.74,1
"2016-11-28","09:05:52",-16.393023,-71.501129,2476.37,0,0,0,3.12,1
"2016-11-28","09:09:01",-16.392885,-71.501099,2503.52,216,285,0,15.68,1
"2016-11-28","09:12:07",-16.392763,-71.500473,2377.45,432,76,0,68.14,1
"2016-11-28","09:15:12",-16.392994,-71.501076,2518,0,0,0,69.26,1
"2016-11-28","09:18:21",-16.39287,-71.501167,2493.05,180,0,0,16.86,1
"2016-11-28","09:21:26",-16.393299,-71.501106,2572.97,0,0,0,48.14,1
"2016-11-28","09:24:32",-16.39329,-71.501129,2505.77,108,0,0,2.65,1
"2016-11-28","09:27:39",-16.393387,-71.501183,2523.63,0,0,0,12.23,1
"2016-11-28","09:30:47",-16.393049,-71.501122,2512.67,0,141,0,38.14,1
"2016-11-28","09:33:57",-16.393414,-71.500961,2479.36,900,305,0,44.07,1
"2016-11-28","09:37:17",-16.393328,-71.500961,2571.18,720,0,0,9.56,1
"2016-11-28","09:40:31",-16.392723,-71.502647,2922.93,108,281,0,192.02,1
