"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016/11/18"," 00:03:36",-16.393499,-71.50135,2502.26,288,64,0,20.26,1
"2016/11/18"," 00:10:55",-16.393532,-71.501305,2494.12,1152,190,0,6.04,1
"2016/11/18"," 00:19:10",-16.393593,-71.501289,2509.79,1404,207,0,6.99,1
"2016/11/18"," 00:25:55",-16.393415,-71.501251,2515.4,792,49,0,20.2,1
"2016/11/18"," 00:33:49",-16.393614,-71.501312,2486.63,0,43,0,23.06,1
"2016/11/18"," 00:36:52",-16.393385,-71.501266,2523.09,3708,221,0,25.93,1
"2016/11/18"," 00:40:17",-16.393457,-71.50103,2522.46,792,191,0,26.42,1
"2016/11/18"," 00:47:05",-16.393467,-71.501312,2512.38,756,238,0,30.1,1
"2016/11/18"," 01:17:43",-16.393389,-71.501228,2538.63,0,0,-1,12.47,1
"2016/11/18"," 01:24:06",-16.393188,-71.50103,2524.79,792,239,0,30.75,1
"2016/11/18"," 01:29:05",-16.393295,-71.501312,2568.03,2124,354,0,32.35,1
"2016/11/18"," 01:38:18",-16.393379,-71.501297,2484.5,6300,52,0,9.48,1
"2016/11/18"," 01:48:45",-16.393389,-71.501282,2467.01,1116,227,0,1.95,1
"2016/11/18"," 01:53:31",-16.393269,-71.501251,2561.61,2592,61,0,13.75,1
"2016/11/18"," 01:58:50",-16.393564,-71.50116,2514.14,612,273,0,34.21,1
"2016/11/18"," 02:02:39",-16.393564,-71.50116,2514.14,612,273,0,0,1
"2016/11/18"," 02:09:18",-16.393551,-71.501122,2524.4,2664,41,0,4.3,1
"2016/11/18"," 02:23:07",-16.394947,-71.502426,3738.87,1944,114,-1,208.44,1
"2016/11/18"," 02:43:55",-16.393461,-71.501312,2497.18,3132,244,0,203.53,1
"2016/11/18"," 03:00:02",-16.393435,-71.501373,2518.95,2628,11,0,7.12,1
"2016/11/18"," 03:12:48",-16.393373,-71.501312,2506.8,324,3,0,9.48,1
"2016/11/18"," 03:15:49",-16.393419,-71.501297,2531.91,3456,179,0,5.36,1
"2016/11/18"," 03:18:51",-16.393425,-71.501335,2492,2448,68,0,4.11,1
"2016/11/18"," 03:21:53",-16.393629,-71.501358,2454.6,0,82,0,22.82,1
"2016/11/18"," 03:25:05",-16.39312,-71.501205,2479.93,2628,33,0,58.9,1
"2016/11/18"," 03:29:03",-16.393526,-71.501244,2477.81,1800,158,0,45.34,1
"2016/11/18"," 03:32:06",-16.393534,-71.501282,2484.18,0,319,0,4.15,1
"2016/11/18"," 03:36:03",-16.393469,-71.501244,2484.21,3204,349,0,8.29,1
"2016/11/18"," 03:40:17",-16.39336,-71.501419,2515.76,936,315,0,22.26,1
"2016/11/18"," 03:45:13",-16.393394,-71.501289,2511.7,1980,171,0,14.37,1
"2016/11/18"," 03:48:41",-16.393412,-71.501343,2505.41,1332,136,0,6.1,1
"2016/11/18"," 03:53:20",-16.393469,-71.501358,2514.47,864,147,0,6.54,1
"2016/11/18"," 03:59:01",-16.393379,-71.501312,2502.56,936,187,0,11.15,1
"2016/11/18"," 04:06:47",-16.393534,-71.501228,2466.79,360,134,0,19.43,1
"2016/11/18"," 04:16:37",-16.393322,-71.501541,2586.13,5904,127,0,40.87,1
"2016/11/18"," 04:19:45",-16.393417,-71.50132,2538.62,0,215,0,25.83,1
"2016/11/18"," 04:22:56",-16.393425,-71.50132,2519.23,0,36,0,0.89,1
"2016/11/18"," 04:26:05",-16.393482,-71.501282,2508,1152,185,0,7.52,1
"2016/11/18"," 04:29:12",-16.393536,-71.501251,2455.55,1152,84,0,6.85,1
"2016/11/18"," 04:32:40",-16.393503,-71.501244,2406.42,3024,65,0,3.74,1
"2016/11/18"," 04:36:53",-16.393505,-71.501343,2418.53,1152,80,0,10.56,1
"2016/11/18"," 04:41:01",-16.393467,-71.501366,2414.02,2088,126,0,4.89,1
