"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-25","08:14:33",-16.38937,-71.524445,2436.71,612,196,-2,0,1
"2016-11-25","08:15:34",-16.389387,-71.524483,2444.43,0,188,-1,4.47,1
"2016-11-25","08:18:38",-16.389481,-71.524506,2445.82,1224,283,0,10.74,1
"2016-11-25","08:21:43",-16.389456,-71.524406,2430.19,0,249,0,11.02,1
"2016-11-25","08:24:47",-16.389532,-71.524376,2434.69,2988,154,0,9.04,1
"2016-11-25","08:27:53",-16.389439,-71.524445,2432.74,2124,185,0,12.69,1
"2016-11-25","08:31:20",-16.389509,-71.524506,2427.14,4608,10,0,10.15,1
"2016-11-25","08:34:47",-16.389513,-71.524452,2463.15,864,359,0,5.78,1
"2016-11-25","08:38:10",-16.389397,-71.524437,2454.38,1728,193,0,13,1
"2016-11-25","08:41:44",-16.389643,-71.524414,2532.55,3960,349,0,27.46,1
"2016-11-25","08:46:07",-16.38937,-71.524414,2471.4,360,329,0,30.36,1
"2016-11-25","08:51:06",-16.38962,-71.524712,2476.42,14868,211,0,42.23,1
"2016-11-25","08:52:02",-16.389381,-71.524506,2446.45,1620,41,0,34.48,1
"2016-11-25","08:56:16",-16.389505,-71.524567,2454.48,504,212,0,15.25,1
"2016-11-25","08:59:25",-16.388966,-71.524345,2357.73,0,183,0,64.44,1
"2016-11-25","09:02:56",-16.389364,-71.52449,2427.57,936,30,0,46.88,1
"2016-11-25","09:09:20",-16.389444,-71.524498,2426.1,828,34,0,8.94,1
"2016-11-25","09:19:47",-16.389442,-71.524551,2455.77,0,203,0,5.66,1
"2016-11-25","09:22:54",-16.389473,-71.52449,2378.51,1980,317,0,7.36,1
"2016-11-25","09:25:58",-16.389465,-71.524498,2446.29,0,0,0,1.23,1
"2016-11-25","09:29:09",-16.389482,-71.524544,2483.31,1440,197,0,5.26,1
"2016-11-25","09:32:19",-16.389463,-71.524475,2431.25,324,184,0,7.66,1
"2016-11-25","09:35:33",-16.389584,-71.524582,2474.18,324,76,0,17.64,1
"2016-11-25","09:38:53",-16.389299,-71.524643,2430.53,1260,215,0,32.35,1
"2016-11-25","09:42:34",-16.389421,-71.524437,2414.37,144,120,0,25.83,1
"2016-11-25","09:45:46",-16.389431,-71.524467,2435.65,1476,333,0,3.39,1
"2016-11-25","09:48:52",-16.389414,-71.524551,2429.1,1044,68,0,9.16,1
"2016-11-25","09:51:58",-16.389647,-71.524513,2409.36,0,4,0,26.22,1
"2016-11-25","09:55:41",-16.389322,-71.524467,2450.48,324,129,0,36.47,1
"2016-11-25","09:58:57",-16.389299,-71.524452,2493.73,1260,127,0,3.02,1
"2016-11-25","10:02:44",-16.38962,-71.524498,2431.52,720,14,0,36.03,1
"2016-11-25","10:06:41",-16.389425,-71.524513,2430.45,0,238,-4,21.74,1
"2016-11-25","17:34:45",-16.389364,-71.524498,2433.29,396,149,-2,0,1
"2016-11-25","17:39:28",-16.389439,-71.524475,2441.32,1080,251,0,8.69,1
"2016-11-25","17:45:46",-16.38924,-71.52433,2447.25,684,217,0,27,1
"2016-11-25","17:51:02",-16.389275,-71.524452,2437,1512,86,0,13.58,1
"2016-11-25","17:54:15",-16.389488,-71.524513,2433.09,0,146,-1,24.56,1
"2016-11-25","17:57:21",-16.389345,-71.52459,2426.59,0,158,0,17.9,1
"2016-11-25","18:00:26",-16.38928,-71.524727,2436.33,1656,205,0,16.3,1
"2016-11-25","18:03:32",-16.389206,-71.524498,2447.03,0,176,0,25.78,1
"2016-11-25","18:06:36",-16.389425,-71.524551,2427.27,0,22,0,25,1
"2016-11-25","18:09:43",-16.389353,-71.524422,2436.72,792,141,0,15.92,1
"2016-11-25","18:13:00",-16.389359,-71.52462,2424.49,1980,31,0,21.13,1
"2016-11-25","18:16:13",-16.389303,-71.524368,2447.3,1908,298,0,27.59,1
"2016-11-25","18:19:52",-16.389107,-71.524414,2423.93,504,151,0,22.34,1
"2016-11-25","18:23:32",-16.388983,-71.524033,2435.69,72,317,0,42.92,1
"2016-11-25","18:26:37",-16.389297,-71.524368,2431.74,3024,174,0,49.96,1
"2016-11-25","18:29:41",-16.389475,-71.524292,2425,0,199,0,21.39,1
"2016-11-25","18:32:44",-16.388836,-71.525047,2433.22,3204,108,0,107.4,1
"2016-11-25","18:35:47",-16.389351,-71.524559,2428.54,0,286,0,77.39,1
"2016-11-25","18:38:54",-16.389402,-71.524384,2448.68,504,259,0,19.51,1
"2016-11-25","18:41:57",-16.38945,-71.524246,2462.53,1512,263,0,15.66,1
"2016-11-25","18:45:01",-16.38933,-71.524506,2444.42,3744,3,0,30.78,1
"2016-11-25","18:48:05",-16.389284,-71.524193,2428.32,792,136,0,33.78,1
"2016-11-25","18:51:20",-16.389362,-71.524353,2449.03,1800,154,0,19.15,1
"2016-11-25","18:54:36",-16.389391,-71.524345,2437.15,972,149,0,3.34,1
"2016-11-25","18:57:39",-16.389288,-71.524269,2470.29,684,285,0,14.03,1
"2016-11-25","18:59:46",-16.389425,-71.524635,2441.64,0,209,-1,41.91,1
"2016-11-25","19:02:51",-16.389585,-71.524529,2433.15,2268,183,0,21.08,1
"2016-11-25","19:05:58",-16.389387,-71.524544,2447.46,0,218,-4,22.07,1
"2016-11-26","01:01:38",-16.389404,-71.524483,2429,936,139,-2,0,1
"2016-11-26","01:05:06",-16.389458,-71.524506,2441.14,972,208,0,6.49,1
"2016-11-26","01:09:41",-16.388836,-71.523605,2432.74,5364,167,0,118.41,1
"2016-11-26","01:12:49",-16.389133,-71.523552,2432.92,360,0,0,33.51,1
"2016-11-26","01:15:54",-16.389372,-71.52446,2410.84,864,223,0,100.44,1
"2016-11-26","01:19:04",-16.389429,-71.524544,2451.03,4896,227,0,10.98,1
"2016-11-26","01:22:16",-16.389429,-71.524544,2451.03,4896,227,0,0,1
"2016-11-26","01:25:27",-16.389406,-71.52459,2460.26,0,357,0,5.53,1
"2016-11-26","01:28:48",-16.389404,-71.524475,2423.52,648,321,0,12.27,1
"2016-11-26","01:31:53",-16.389343,-71.524391,2451.9,864,0,0,11.24,1
"2016-11-26","01:34:58",-16.388779,-71.523842,2386.49,720,354,0,85.81,1
"2016-11-26","01:38:03",-16.389669,-71.522919,2416.64,3996,100,0,139.6,1
"2016-11-26","01:39:34",-16.390242,-71.522606,2491.13,1260,213,-1,71.93,1
"2016-11-26","01:39:50",-16.390244,-71.522598,2462.03,2664,314,-1,0.88,1
"2016-11-26","01:40:19",-16.390215,-71.522697,2496.63,10620,69,-1,11.04,1
"2016-11-26","01:40:26",-16.390284,-71.522591,2509.07,6192,171,-1,13.66,1
"2016-11-26","01:40:47",-16.390202,-71.522606,2500.75,7092,37,-1,9.26,1
"2016-11-26","01:41:52",-16.390335,-71.522789,2497.4,2232,2,-1,24.49,1
"2016-11-26","01:42:45",-16.390446,-71.522667,2478.19,0,135,-1,17.94,1
"2016-11-26","01:45:50",-16.390869,-71.522537,2429.39,0,160,0,49.04,1
"2016-11-26","01:48:54",-16.39057,-71.522827,2475.05,252,196,0,45.41,1
"2016-11-26","01:51:58",-16.389402,-71.524567,2424.74,828,205,0,226.54,1
"2016-11-26","01:55:07",-16.389444,-71.524414,2413.56,396,91,0,16.98,1
"2016-11-26","01:58:12",-16.389444,-71.524467,2413.03,468,297,0,5.65,1
"2016-11-26","02:01:19",-16.38937,-71.52446,2415.22,1764,44,-1,8.26,1
"2016-11-26","02:05:19",-16.389494,-71.524582,2388.06,7056,90,-1,18.96,1
"2016-11-26","02:08:31",-16.38945,-71.524452,2398.66,0,69,-4,14.71,1
"2016-11-26","09:54:32",-16.38953,-71.524658,2436.72,432,216,-2,0,1
"2016-11-26","09:56:15",-16.389414,-71.524673,2436.03,2772,328,-1,13,1
"2016-11-26","10:03:12",-16.389414,-71.524673,2436.03,2772,328,0,0,1
"2016-11-26","10:06:16",-16.389351,-71.524323,2440.06,0,265,0,37.99,1
"2016-11-26","10:09:22",-16.389473,-71.524452,2436.54,1152,289,0,19.32,1
"2016-11-26","10:12:26",-16.38962,-71.524574,2447.4,0,0,0,20.89,1
"2016-11-26","10:15:36",-16.389452,-71.524513,2439.47,1152,62,-4,19.78,1
"2016-11-26","10:47:49",-16.389309,-71.524544,2419.63,468,225,-2,0,1
"2016-11-26","10:51:06",-16.389456,-71.524582,2437.93,0,174,0,16.84,1
"2016-11-26","10:54:32",-16.389404,-71.524536,2439.04,432,262,0,7.58,1
"2016-11-26","10:57:40",-16.389517,-71.524483,2442.53,540,180,0,13.78,1
"2016-11-26","11:00:48",-16.389503,-71.524559,2450.32,252,88,0,8.26,1
"2016-11-26","11:04:03",-16.389486,-71.524483,2433.91,0,130,-4,8.32,1
"2016-11-26","18:12:27",-16.389431,-71.524467,2451.38,504,24,-2,0,1
"2016-11-26","18:18:34",-16.389423,-71.524414,2431.24,1764,82,0,5.72,1
"2016-11-26","18:21:54",-16.389334,-71.524742,2469.09,5652,283,0,36.36,1
"2016-11-26","18:26:17",-16.389359,-71.524399,2438.21,0,0,0,36.7,1
"2016-11-26","18:26:27",-16.389366,-71.524475,2440.8,0,319,-1,8.14,1
"2016-11-26","18:29:32",-16.389467,-71.52449,2443.77,0,356,0,11.34,1
"2016-11-26","18:32:35",-16.389404,-71.524437,2440.31,1836,216,0,9,1
"2016-11-26","18:35:39",-16.389488,-71.524574,2429.62,0,138,0,17.34,1
"2016-11-26","18:37:10",-16.389368,-71.524483,2442.23,4680,298,-1,16.5,1
