"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016/10/06"," 09:58:01",-16.390076,-71.523994,2477.68,0,0,-2,0,1
"2016/10/06"," 10:01:31",-16.389421,-71.524239,2407.74,252,340,0,77.38,1
"2016/10/06"," 10:04:31",-16.389135,-71.524696,2423.23,0,303,-4,58.21,1
"2016/10/06"," 10:07:30",-16.389486,-71.524582,2437.79,6048,0,-2,0,1
"2016/10/06"," 10:10:50",-16.389692,-71.524536,2434.09,2664,167,0,23.43,1
"2016/10/06"," 10:14:02",-16.389782,-71.524734,2453.17,1620,244,0,23.37,1
"2016/10/06"," 10:17:46",-16.389469,-71.524605,2433.24,1152,21,0,37.43,1
"2016/10/06"," 10:21:29",-16.389484,-71.524323,2449.56,1188,93,0,30.13,1
"2016/10/06"," 10:26:09",-16.389484,-71.524323,2449.56,1188,0,0,0,1
"2016/10/06"," 10:30:10",-16.389217,-71.52478,2444.9,3348,301,0,57.08,1
"2016/10/06"," 10:33:22",-16.389587,-71.5243,2443.31,1656,128,0,65.69,1
"2016/10/06"," 10:36:29",-16.389463,-71.524551,2413.39,0,297,0,30.12,1
"2016/10/06"," 10:40:10",-16.389629,-71.524345,2446.67,3456,130,0,28.7,1
"2016/10/06"," 11:04:27",-16.389629,-71.524345,2446.67,3456,0,0,0,1
"2016/10/06"," 11:09:28",-16.389465,-71.524391,2420.93,1512,344,0,18.88,1
"2016/10/06"," 11:13:03",-16.389181,-71.524498,2368.87,4392,340,0,33.58,1
"2016/10/06"," 11:22:42",-16.389395,-71.524406,2469.4,1656,157,0,25.74,1
"2016/10/06"," 11:54:12",-16.389395,-71.524406,2469.4,1656,0,0,0,1
"2016/10/06"," 11:57:51",-16.389399,-71.524498,2425.54,360,267,0,9.82,1
"2016/10/06"," 12:01:00",-16.389437,-71.524475,2428.81,0,149,0,4.89,1
"2016/10/06"," 12:03:53",-16.389397,-71.524521,2438.98,0,312,-1,6.62,1
"2016/10/06"," 12:07:04",-16.389442,-71.524483,2429.3,0,140,0,6.44,1
"2016/10/06"," 12:10:14",-16.389368,-71.524513,2432.27,0,338,0,8.83,1
"2016/10/06"," 12:13:21",-16.389387,-71.524551,2435.84,0,242,0,4.57,1
"2016/10/06"," 12:16:26",-16.389385,-71.524521,2425.64,0,86,0,3.21,1
"2016/10/06"," 12:19:31",-16.389366,-71.524544,2438.13,0,310,0,3.24,1
"2016/10/06"," 12:22:50",-16.389023,-71.524719,2493.01,1296,333,0,42.46,1
"2016/10/06"," 12:26:03",-16.389023,-71.524719,2493.01,1296,0,0,0,1
"2016/10/06"," 12:29:08",-16.389383,-71.524658,2442.46,0,170,0,40.56,1
"2016/10/06"," 12:32:14",-16.389416,-71.524506,2449.19,792,102,0,16.62,1
"2016/10/06"," 12:35:20",-16.389343,-71.52446,2423.72,0,31,0,9.49,1
"2016/10/06"," 12:38:25",-16.38933,-71.524429,2423.7,1260,66,0,3.61,1
"2016/10/06"," 12:41:31",-16.389412,-71.524513,2438.5,0,224,0,12.78,1
"2016/10/06"," 12:44:37",-16.389442,-71.524467,2427.84,0,124,0,5.93,1
