"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-06","07:48:15",-16.388859,-71.523636,2443.7,180,18,-2,0,1
"2016-10-06","07:55:13",-16.388905,-71.523613,2447.6,900,238,0,5.67,1
"2016-10-06","08:03:34",-16.388929,-71.523598,2440.8,180,283,0,3.11,NA
"2016-10-06","08:10:02",-16.389477,-71.523865,2497.34,1296,54,0,67.26,NA
"2016-10-06","08:16:37",-16.389128,-71.523621,2440.27,0,218,0,46.73,NA
"2016-10-06","08:19:46",-16.389238,-71.523643,2455.55,0,68,0,12.45,NA
"2016-10-06","08:22:52",-16.389132,-71.52356,2426.09,0,187,0,14.74,NA
"2016-10-06","08:25:58",-16.38917,-71.523514,2427.05,900,171,0,6.48,NA
"2016-10-06","08:29:03",-16.389166,-71.523537,2418.11,0,0,0,2.49,NA
"2016-10-06","08:32:14",-16.389112,-71.523705,2458.09,0,215,0,18.9,NA
"2016-10-06","08:35:21",-16.389093,-71.523651,2445.09,576,204,0,6.14,NA
"2016-10-06","08:38:29",-16.389057,-71.523582,2418.46,0,206,0,8.38,NA
"2016-10-06","08:41:35",-16.389034,-71.523567,2444.98,792,231,0,3.02,NA
"2016-10-06","08:44:44",-16.388897,-71.523438,2465.18,0,58,0,20.53,NA
"2016-10-06","08:47:50",-16.389,-71.523567,2446.22,432,24,0,17.9,NA
"2016-10-06","08:50:58",-16.389109,-71.523628,2436.66,0,0,0,13.76,NA
"2016-10-06","08:54:06",-16.38887,-71.523605,2438.94,1116,14,0,26.69,NA
"2016-10-06","08:57:14",-16.389061,-71.523666,2425.14,720,203,0,22.21,NA
"2016-10-06","09:00:47",-16.389082,-71.523781,2433.96,396,123,0,12.49,NA
"2016-10-06","09:04:25",-16.388916,-71.523529,2443.29,252,114,0,32.61,NA
"2016-10-06","09:07:56",-16.388992,-71.523621,2425.29,288,236,0,12.95,NA
"2016-10-06","09:11:03",-16.389093,-71.52372,2436.74,0,98,0,15.42,NA
"2016-10-06","09:14:08",-16.389158,-71.523788,2440.35,1260,0,0,10.24,NA
"2016-10-06","09:17:16",-16.389093,-71.523712,2448.82,828,240,0,10.86,NA
"2016-10-06","09:20:22",-16.389128,-71.523651,2424.08,0,0,0,7.58,NA
"2016-10-06","09:23:31",-16.389071,-71.52356,2437.84,180,0,0,11.59,NA
"2016-10-06","09:26:58",-16.388943,-71.523636,2434.55,3636,25,0,16.38,NA
"2016-10-06","09:30:24",-16.388948,-71.523643,2431.67,72,124,0,0.93,NA
"2016-10-06","09:33:44",-16.388973,-71.523651,2462.57,504,104,0,2.91,NA
"2016-10-06","09:34:51",-16.388954,-71.523674,2453.41,756,171,-1,3.24,NA
"2016-10-06","09:40:06",-16.388954,-71.523674,2453.41,756,171,0,0,NA
"2016-10-06","09:48:20",-16.389153,-71.52359,2438.5,1656,313,0,23.87,NA
"2016-10-06","09:57:36",-16.388861,-71.52359,2455.75,936,161,0,32.47,NA
"2016-10-06","10:21:40",-16.388861,-71.52359,2455.75,936,161,0,0,NA
"2016-10-06","10:25:28",-16.389597,-71.523598,2501.85,1044,52,0,81.84,NA
"2016-10-06","10:28:36",-16.389595,-71.523743,2470.35,1944,53,0,15.47,NA
"2016-10-06","10:33:15",-16.389595,-71.523743,2470.35,1944,53,0,0,NA
"2016-10-06","10:44:50",-16.389099,-71.52356,2429.25,576,53,0,58.51,NA
"2016-10-06","10:58:44",-16.389168,-71.523582,2450.99,0,31,0,8.02,NA
"2016-10-06","11:02:15",-16.389206,-71.523598,2447.23,360,67,0,4.56,NA
"2016-10-06","11:09:21",-16.389132,-71.523552,2434.37,144,145,0,9.58,NA
