Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/10/05, 00:01:14, -16.393349, -71.492134, 2640.99,  1296.00, 0, -2, 0.00, 1
2016/10/05, 00:04:23, -16.393532, -71.492065, 2645.30,  0.00, 160, 0, 21.64, 1
2016/10/05, 00:07:43, -16.393486, -71.491997, 2632.48,  1728.00, 54, 0, 8.88, 
2016/10/05, 00:10:47, -16.393471, -71.492264, 2660.83,  1728.00, 273, 0, 28.53, 
2016/10/05, 00:13:52, -16.393450, -71.492081, 2654.96,  2736.00, 83, 0, 19.66, 
2016/10/05, 00:17:18, -16.393467, -71.492073, 2637.86,  288.00, 155, 0, 2.07, 
2016/10/05, 00:20:27, -16.393442, -71.492012, 2639.46,  0.00, 66, 0, 7.08, 
2016/10/05, 00:23:32, -16.393509, -71.492012, 2648.05,  3456.00, 180, 0, 7.45, 
2016/10/05, 00:26:45, -16.393385, -71.492035, 2625.00,  1152.00, 349, 0, 14.00, 
2016/10/05, 00:29:52, -16.393587, -71.492012, 2663.27,  0.00, 173, 0, 22.59, 
2016/10/05, 00:33:07, -16.393517, -71.492043, 2641.72,  288.00, 336, 0, 8.46, 
2016/10/05, 00:36:31, -16.393562, -71.492035, 2654.06,  648.00, 170, 0, 5.08, 
2016/10/05, 00:39:38, -16.393469, -71.492035, 2656.01,  0.00, 0, 0, 10.34, 
2016/10/05, 00:42:44, -16.393459, -71.492027, 2658.29,  0.00, 37, 0, 1.40, 
2016/10/05, 00:46:12, -16.393454, -71.492012, 2648.48,  1404.00, 70, 0, 1.69, 
2016/10/05, 00:49:44, -16.393507, -71.492065, 2646.78,  468.00, 223, 0, 8.17, 
2016/10/05, 00:53:25, -16.393551, -71.492088, 2650.80,  1620.00, 206, 0, 5.47, 
2016/10/05, 00:56:34, -16.393539, -71.492180, 2630.16,  0.00, 277, 0, 9.90, 
2016/10/05, 01:00:02, -16.393570, -71.492165, 2635.13,  1152.00, 155, 0, 3.80, 
2016/10/05, 01:03:10, -16.393446, -71.492043, 2651.29,  648.00, 43, 0, 18.96, 
2016/10/05, 01:06:32, -16.393459, -71.492081, 2641.33,  1296.00, 250, 0, 4.30, 
2016/10/05, 01:09:40, -16.393463, -71.492073, 2646.37,  0.00, 117, 0, 0.96, 
2016/10/05, 01:12:48, -16.393549, -71.492126, 2635.35,  0.00, 210, 0, 11.11, 
2016/10/05, 01:16:20, -16.393393, -71.491989, 2634.85,  8172.00, 40, 0, 22.68, 
