"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016/10/25"," 08:05:10",-16.393606,-71.492027,2677.21,2808,216,0,34.39,NA
"2016/10/25"," 08:10:49",-16.3936,-71.492188,2619.42,720,63,0,17.19,NA
"2016/10/25"," 08:16:51",-16.393661,-71.492134,2619.11,0,27,0,8.9,NA
"2016/10/25"," 08:19:53",-16.393534,-71.492065,2664.12,540,50,0,15.92,NA
"2016/10/25"," 08:22:55",-16.393471,-71.49205,2624.59,0,15,0,7.19,NA
"2016/10/25"," 08:26:09",-16.393465,-71.492027,2651.9,936,35,0,2.54,NA
"2016/10/25"," 08:29:11",-16.39345,-71.492058,2625.75,1404,219,0,3.7,NA
"2016/10/25"," 08:32:13",-16.393518,-71.492096,2646.15,684,65,0,8.58,NA
"2016/10/25"," 08:35:17",-16.393503,-71.492081,2646.43,396,35,0,2.31,NA
"2016/10/25"," 08:38:19",-16.393566,-71.492134,2645.4,720,55,0,9,NA
"2016/10/25"," 08:41:26",-16.393623,-71.492058,2649.71,720,358,0,10.29,NA
"2016/10/25"," 08:44:30",-16.393557,-71.492142,2634.45,720,202,0,11.58,NA
"2016/10/25"," 08:47:33",-16.393513,-71.492126,2645.18,0,326,0,5.18,NA
"2016/10/25"," 08:50:35",-16.393484,-71.492126,2651.39,756,0,0,3.22,NA
"2016/10/25"," 08:53:36",-16.393528,-71.492035,2636.32,432,61,0,10.87,1
"2016/10/25"," 08:56:39",-16.393631,-71.492104,2631.6,0,307,0,13.61,1
"2016/10/25"," 08:59:49",-16.393709,-71.492111,2635.85,1656,72,0,8.71,NA
"2016/10/25"," 09:03:03",-16.393621,-71.492073,2636,576,236,0,10.59,NA
"2016/10/25"," 09:06:28",-16.393526,-71.492027,2630.93,3996,291,0,11.65,NA
"2016/10/25"," 09:09:41",-16.393633,-71.492096,2633.56,1404,14,0,13.99,NA
"2016/10/25"," 09:12:54",-16.393463,-71.492172,2642.48,2016,24,0,20.57,NA
"2016/10/25"," 09:16:11",-16.393423,-71.492157,2658.7,1116,227,0,4.73,NA
"2016/10/25"," 09:19:28",-16.393587,-71.492264,2638.18,0,60,0,21.51,NA
"2016/10/25"," 09:22:54",-16.393732,-71.492287,2640.88,1980,146,0,16.31,NA
"2016/10/25"," 09:26:48",-16.393461,-71.492256,2649.1,2448,173,0,30.31,NA
"2016/10/25"," 09:31:28",-16.39362,-71.492073,2626.81,1404,46,0,26.34,NA
"2016/10/25"," 09:34:55",-16.393576,-71.49189,2640.9,1404,66,0,20.13,NA
"2016/10/25"," 09:39:40",-16.393448,-71.49189,2634.53,432,180,0,14.23,NA
"2016/10/25"," 09:45:42",-16.393814,-71.492165,2678.41,720,93,0,50.17,NA
"2016/10/25"," 09:51:27",-16.393658,-71.492081,2657.16,936,282,0,19.52,NA
"2016/10/25"," 09:54:52",-16.393402,-71.491898,2618.72,900,200,0,34.52,NA
"2016/10/25"," 09:59:36",-16.393576,-71.491928,2632.54,0,335,0,19.61,NA
"2016/10/25"," 10:02:39",-16.393621,-71.492035,2648.03,0,273,0,12.46,NA
"2016/10/25"," 10:05:41",-16.393593,-71.492035,2643.05,1548,79,0,3.11,NA
"2016/10/25"," 10:08:47",-16.393599,-71.492027,2673.52,756,49,0,1.08,NA
"2016/10/25"," 10:11:54",-16.393545,-71.492004,2639.2,2520,67,0,6.49,NA
"2016/10/25"," 10:15:03",-16.393759,-71.492142,2631.37,288,45,0,27.98,NA
"2016/10/25"," 10:18:24",-16.393553,-71.492027,2650.5,1440,41,0,25.98,NA
"2016/10/25"," 10:21:27",-16.393448,-71.491951,2628.95,0,66,0,14.21,NA
"2016/10/25"," 10:24:30",-16.39353,-71.491959,2663.44,1260,42,0,9.16,NA
"2016/10/25"," 10:27:44",-16.393587,-71.492058,2648.59,1188,112,0,12.32,NA
"2016/10/25"," 10:31:19",-16.393553,-71.492035,2592.63,180,71,0,4.51,NA
"2016/10/25"," 10:34:44",-16.393602,-71.49202,2642.42,0,0,0,5.68,NA
"2016/10/25"," 10:37:47",-16.393621,-71.492073,2638.16,0,214,0,6.04,NA
"2016/10/25"," 10:40:54",-16.393749,-71.492149,2643.11,108,20,0,16.38,NA
"2016/10/25"," 10:44:04",-16.393606,-71.492096,2635.77,0,0,0,16.88,NA
"2016/10/25"," 10:47:21",-16.393431,-71.491982,2628.16,504,0,0,22.95,NA
"2016/10/25"," 10:50:38",-16.393551,-71.491928,2634.57,1152,119,0,14.53,NA
"2016/10/25"," 10:53:51",-16.393585,-71.492035,2652.48,720,230,0,12.02,NA
"2016/10/25"," 10:57:08",-16.3936,-71.492027,2654.5,864,254,0,1.87,NA
"2016/10/25"," 11:00:16",-16.393667,-71.491943,2647.86,5508,61,0,11.65,NA
"2016/10/25"," 11:03:50",-16.393583,-71.49202,2665.27,1188,87,0,12.44,NA
"2016/10/25"," 11:07:31",-16.393589,-71.49205,2639.92,72,254,0,3.27,NA
"2016/10/25"," 11:11:31",-16.393625,-71.491913,2635.55,15336,342,0,15.15,NA
"2016/10/25"," 11:12:04",-16.393236,-71.491913,2729.29,3780,7,0,43.25,NA
"2016/10/25"," 11:15:08",-16.393867,-71.492004,2648.18,0,296,0,70.83,NA
"2016/10/25"," 11:18:33",-16.393564,-71.492012,2665.58,1620,192,0,33.7,NA
"2016/10/25"," 11:21:54",-16.393497,-71.492218,2745,1116,159,0,23.2,NA
"2016/10/25"," 11:25:46",-16.393724,-71.492119,2627,6840,158,0,27.36,NA
"2016/10/25"," 11:30:12",-16.393501,-71.491997,2624.55,3168,125,0,28,NA
"2016/10/25"," 11:34:52",-16.393595,-71.492035,2648.06,1512,173,0,11.21,NA
"2016/10/25"," 11:39:01",-16.393621,-71.491966,2666.39,576,266,0,7.91,NA
"2016/10/25"," 11:42:06",-16.393509,-71.491928,2621.34,0,313,0,13.1,NA
"2016/10/25"," 11:45:08",-16.393589,-71.492012,2619.38,1440,37,0,12.63,NA
"2016/10/25"," 11:48:13",-16.393539,-71.491852,2644.06,3960,55,0,17.95,NA
"2016/10/25"," 11:51:17",-16.393518,-71.491989,2636.32,0,189,0,14.8,NA
"2016/10/25"," 11:54:45",-16.393633,-71.491966,2605.02,1692,207,0,13.02,NA
"2016/10/25"," 11:58:10",-16.393497,-71.491959,2611.55,2520,189,0,15.14,NA
"2016/10/25"," 12:02:20",-16.393541,-71.492035,2656.87,1044,242,0,9.47,NA
"2016/10/25"," 12:06:34",-16.39356,-71.492065,2649.39,0,332,0,3.83,NA
"2016/10/25"," 12:09:40",-16.393541,-71.492065,2637.98,0,120,0,2.11,NA
"2016/10/25"," 12:12:44",-16.393579,-71.49205,2650.64,5148,88,0,4.52,NA
"2016/10/25"," 12:15:52",-16.393602,-71.492035,2642.72,0,119,0,3.02,NA
"2016/10/25"," 12:19:21",-16.393578,-71.491905,2628.92,1512,273,0,14.12,NA
"2016/10/25"," 12:22:50",-16.393597,-71.491982,2642.93,756,104,0,8.48,NA
"2016/10/25"," 12:26:30",-16.393351,-71.492126,2594.98,684,272,0,31.37,NA
"2016/10/25"," 12:30:31",-16.393557,-71.491989,2629.62,0,41,0,27.17,NA
"2016/10/25"," 12:33:38",-16.39353,-71.491829,2612.61,3852,80,0,17.33,NA
"2016/10/25"," 12:36:42",-16.393602,-71.491989,2639.64,0,333,0,18.85,NA
"2016/10/25"," 12:39:53",-16.393593,-71.492043,2660.6,0,217,0,5.85,NA
"2016/10/25"," 12:43:18",-16.393518,-71.492004,2615.23,1296,268,0,9.32,NA
"2016/10/25"," 12:46:37",-16.393602,-71.491959,2647.4,72,291,0,10.5,NA
"2016/10/25"," 12:49:45",-16.393635,-71.491974,2638.55,0,249,0,4,NA
"2016/10/25"," 12:52:49",-16.393456,-71.492165,2631.02,0,0,0,28.48,NA
"2016/10/25"," 12:55:54",-16.39353,-71.492119,2635.37,0,48,0,9.58,NA
"2016/10/25"," 12:59:00",-16.393488,-71.492073,2634.94,216,13,0,6.77,NA
"2016/10/25"," 13:02:15",-16.393431,-71.49221,2649.16,468,78,0,15.93,NA
"2016/10/25"," 13:05:47",-16.393492,-71.492302,2651.72,684,306,0,11.93,NA
"2016/10/25"," 13:09:27",-16.393541,-71.492111,2642.1,396,337,0,21.09,NA
"2016/10/25"," 13:13:14",-16.39353,-71.492119,2640.92,0,23,0,1.49,NA
"2016/10/25"," 13:16:25",-16.393505,-71.49221,2618.37,0,0,0,10.1,NA
"2016/10/25"," 13:19:39",-16.393459,-71.492142,2617.45,0,75,0,8.88,NA
"2016/10/25"," 13:23:02",-16.393543,-71.492142,2651.68,0,86,0,9.34,NA
"2016/10/25"," 13:26:21",-16.393572,-71.491989,2645.1,0,71,0,16.64,NA
"2016/10/25"," 13:29:43",-16.393555,-71.492012,2637.65,396,120,0,3.1,NA
"2016/10/25"," 13:33:01",-16.393505,-71.491882,2670.91,1980,305,0,14.94,NA
"2016/10/25"," 13:36:19",-16.393608,-71.491951,2656.47,1692,171,0,13.61,NA
