"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-04","07:43:36",-16.386995,-71.52491,2825.81,5220,299,-2,0,1
"2016-11-04","08:17:59",-16.386995,-71.52491,2825.81,432,141,-1,0,1
"2016-11-04","08:42:56",-16.388786,-71.523582,2433.48,288,316,0,244.4,1
"2016-11-04","09:02:23",-16.388786,-71.523514,2444.9,144,61,0,7.25,1
"2016-11-04","09:05:35",-16.388788,-71.523521,2437.17,864,206,0,0.78,1
"2016-11-04","09:08:44",-16.38883,-71.523544,2419.7,360,225,0,5.28,1
"2016-11-04","09:11:55",-16.388805,-71.523537,2422.89,468,84,0,2.88,1
"2016-11-04","09:15:05",-16.38884,-71.523598,2404.84,252,249,0,7.58,1
"2016-11-04","09:18:17",-16.388733,-71.523491,2467.6,684,192,0,16.49,1
"2016-11-04","09:21:24",-16.38872,-71.523392,2514.43,324,0,0,10.66,1
"2016-11-04","09:24:54",-16.388718,-71.523384,2493.33,1548,237,0,0.88,1
"2016-11-04","09:28:49",-16.388769,-71.52346,2444.29,468,52,0,9.89,1
"2016-11-04","09:33:59",-16.388891,-71.523529,2468.47,432,168,0,15.43,1
"2016-11-04","09:38:58",-16.388857,-71.523582,2441.09,0,275,0,6.8,1
"2016-11-04","09:42:09",-16.388821,-71.523575,2432.34,1260,79,0,4.07,1
"2016-11-04","09:45:20",-16.388845,-71.523575,2452.69,216,296,0,2.67,1
"2016-11-04","09:48:28",-16.388771,-71.523613,2418.75,936,21,0,9.17,1
"2016-11-04","09:51:53",-16.38879,-71.523613,2421.08,2124,72,0,2.11,1
"2016-11-04","09:55:03",-16.389206,-71.523537,2444.92,4068,288,0,46.96,1
"2016-11-04","09:58:22",-16.389767,-71.524918,2249.68,108,206,0,159.98,1
"2016-11-04","10:01:51",-16.389963,-71.525322,2225.8,1404,71,0,48.29,1
"2016-11-04","10:05:09",-16.389513,-71.52433,2352.63,2340,310,0,117.06,1
"2016-11-04","10:08:30",-16.389389,-71.523872,2404.54,3024,245,0,50.77,1
"2016-11-04","10:12:10",-16.38916,-71.523727,2428.6,1116,250,0,29.79,1
"2016-11-04","10:16:02",-16.389297,-71.523842,2399.03,0,0,0,19.56,1
"2016-11-04","10:19:32",-16.389254,-71.523659,2428.33,0,219,0,20.1,1
"2016-11-04","10:23:10",-16.389091,-71.523521,2429.7,0,0,0,23.35,1
"2016-11-04","10:26:13",-16.389057,-71.523476,2427.05,0,0,0,6.11,1
"2016-11-04","10:29:16",-16.389078,-71.523468,2416.22,0,0,0,2.49,1
"2016-11-04","10:32:19",-16.389091,-71.523537,2427.11,0,0,0,7.5,1
