"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-11","07:45:49",-16.388876,-71.523529,2439.08,1080,85,-2,0,1
"2016-10-11","07:57:43",-16.388876,-71.523529,2439.08,0,229,0,0,1
"2016-10-11","08:00:48",-16.388721,-71.52343,2445.55,1584,317,0,20.21,1
"2016-10-11","08:03:58",-16.388754,-71.523491,2445.65,432,61,0,7.47,1
"2016-10-11","08:07:04",-16.388702,-71.523407,2486.57,1980,126,0,10.66,1
"2016-10-11","08:10:55",-16.388742,-71.523521,2418.83,1188,4,0,12.95,1
"2016-10-11","08:17:02",-16.388733,-71.523483,2443.27,1440,7,0,4.18,1
"2016-10-11","08:20:11",-16.388924,-71.523537,2443.59,0,28,0,22.01,1
"2016-10-11","08:23:17",-16.38867,-71.52346,2457.01,1152,20,0,29.41,1
"2016-10-11","08:26:23",-16.388792,-71.523567,2434.73,180,329,0,17.73,1
"2016-10-11","08:29:31",-16.388741,-71.523476,2446.37,1584,64,0,11.24,1
"2016-10-11","08:32:38",-16.388889,-71.523689,2406.18,3636,237,0,28.06,1
"2016-10-11","08:35:47",-16.388943,-71.523552,2408.59,0,265,0,15.8,1
"2016-10-11","08:38:54",-16.388931,-71.523628,2419.93,1872,24,0,8.22,1
"2016-10-11","08:42:25",-16.388805,-71.52359,2416.05,432,38,0,14.59,1
"2016-10-11","08:45:40",-16.388847,-71.523529,2426.85,576,217,0,8.01,1
"2016-10-11","08:49:12",-16.388752,-71.523544,2422.52,2448,26,0,10.68,1
"2016-10-11","08:52:24",-16.38913,-71.523483,2454.12,2088,19,0,42.53,1
"2016-10-11","08:55:39",-16.389435,-71.523781,2402.66,180,149,0,46.48,1
"2016-10-11","08:58:46",-16.38913,-71.523224,2409.75,2952,200,0,68.42,1
"2016-10-11","09:01:23",-16.388853,-71.523552,2438.11,2664,355,-1,46.62,1
"2016-10-11","09:04:38",-16.388901,-71.523613,2408.76,9072,182,0,8.42,1
"2016-10-11","09:08:11",-16.389059,-71.523735,2389.49,2016,202,0,21.86,1
"2016-10-11","09:11:26",-16.388702,-71.523422,2437.05,0,349,0,51.87,1
"2016-10-11","09:14:35",-16.3888,-71.523529,2461.79,720,30,0,15.78,1
"2016-10-11","09:17:49",-16.38899,-71.52359,2413.43,1116,155,0,22.11,1
"2016-10-11","09:21:04",-16.388905,-71.523544,2437.59,540,10,0,10.65,1
"2016-10-11","09:24:44",-16.388922,-71.523636,2408.38,5868,119,0,9.99,1
"2016-10-11","09:28:11",-16.388893,-71.523598,2428.62,360,247,0,5.18,1
"2016-10-11","10:19:08",-16.388893,-71.523598,2428.62,360,247,-4,0,1
"2016-10-11","16:22:43",-16.389328,-71.523743,2483.4,828,232,-2,0,1
"2016-10-11","16:28:02",-16.389402,-71.523476,2527.26,1584,86,0,29.65,1
"2016-10-11","16:34:08",-16.389154,-71.523827,2402.6,864,52,0,46.5,1
"2016-10-11","16:38:16",-16.389227,-71.523834,2427.27,360,238,0,8.15,1
"2016-10-11","16:41:32",-16.389244,-71.523788,2436.22,324,266,0,5.26,1
"2016-10-11","16:45:09",-16.389238,-71.523811,2433.05,396,187,0,2.54,1
"2016-10-11","16:49:45",-16.389202,-71.523865,2418.18,396,0,-1,7.01,1
"2016-10-11","16:53:01",-16.389215,-71.52375,2451.21,900,2,0,12.35,1
"2016-10-11","16:56:30",-16.389168,-71.523827,2406.61,252,237,0,9.74,1
"2016-10-11","17:00:06",-16.389189,-71.523468,2453,396,318,0,38.37,1
"2016-10-11","17:04:13",-16.389341,-71.523727,2443.91,2772,173,0,32.39,1
"2016-10-11","17:08:23",-16.388731,-71.523621,2445.04,5256,332,0,68.77,1
"2016-10-11","17:12:44",-16.389277,-71.523575,2589.74,324,288,0,60.91,1
