"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-11","08:09:04",-16.388809,-71.523621,2450.49,36,79,-2,0,1
"2016-11-11","08:12:46",-16.388821,-71.52359,2441.12,504,357,-1,3.57,1
"2016-11-11","08:15:42",-16.388781,-71.523499,2429.85,2592,300,-1,10.68,1
"2016-11-11","08:21:08",-16.388912,-71.523476,2455.88,1224,296,0,14.77,1
"2016-11-11","08:27:01",-16.388897,-71.523506,2449.8,540,212,0,3.61,1
"2016-11-11","08:30:20",-16.388868,-71.523087,2544.05,2484,2,0,44.81,1
"2016-11-11","08:31:30",-16.388872,-71.523643,2424.35,2520,230,-1,59.31,1
"2016-11-11","08:34:37",-16.388977,-71.523483,2458.6,756,24,0,20.68,1
"2016-11-11","08:37:52",-16.389069,-71.523354,2460.63,3744,132,0,17.15,1
"2016-11-11","08:41:04",-16.38925,-71.523422,2465.76,1476,137,0,21.39,1
"2016-11-11","08:44:30",-16.389387,-71.523186,2550.84,792,12,0,29.43,1
"2016-11-11","08:47:37",-16.389547,-71.52401,2432.71,7020,247,0,89.68,1
"2016-11-11","08:50:44",-16.38973,-71.524269,2428.36,5904,33,0,34.31,1
"2016-11-11","08:53:51",-16.388988,-71.523476,2404.18,0,258,0,118.17,1
"2016-11-11","08:57:00",-16.389137,-71.523468,2432.01,864,254,0,16.59,1
"2016-11-11","09:00:05",-16.389111,-71.52356,2436.15,1836,50,0,10.23,1
"2016-11-11","09:03:14",-16.389114,-71.523483,2426.2,864,96,0,8.22,1
"2016-11-11","09:05:44",-16.388935,-71.523323,2384.62,2196,291,-1,26.22,1
"2016-11-11","09:08:48",-16.389086,-71.523499,2424.32,0,0,0,25.19,1
"2016-11-11","09:11:53",-16.389067,-71.523491,2421.58,0,0,0,2.28,1
"2016-11-11","09:14:58",-16.389038,-71.523491,2418.46,0,0,0,3.22,1
"2016-11-11","09:18:03",-16.389088,-71.523491,2424.36,0,0,0,5.56,1
"2016-11-11","09:21:07",-16.389059,-71.523491,2420.51,0,0,0,3.22,1
"2016-11-11","09:24:11",-16.389114,-71.523529,2424.55,0,0,0,7.34,1
"2016-11-11","09:27:15",-16.38909,-71.523521,2430.42,0,32,0,2.8,1
"2016-11-11","09:30:21",-16.389181,-71.523529,2429.85,0,349,0,10.15,1
"2016-11-11","09:31:40",-16.389133,-71.523605,2461.24,2232,206,-1,9.71,1
"2016-11-11","09:34:48",-16.389124,-71.523567,2434.81,468,53,0,4.18,1
"2016-11-11","09:37:58",-16.38908,-71.523499,2423.47,504,169,0,8.75,1
"2016-11-11","09:41:04",-16.389099,-71.523506,2419.98,0,179,0,2.24,1
"2016-11-11","09:44:10",-16.389111,-71.523598,2423.54,1332,117,0,9.9,1
"2016-11-11","09:47:16",-16.389132,-71.523521,2425.18,216,359,0,8.54,1
"2016-11-11","09:50:24",-16.389225,-71.52356,2426.48,0,29,0,11.15,1
"2016-11-11","09:53:32",-16.389286,-71.523598,2428.84,288,24,0,7.9,1
"2016-11-11","09:56:38",-16.389175,-71.523552,2431.77,0,7,0,13.28,1
"2016-11-11","10:00:11",-16.389301,-71.523598,2446.34,2628,254,0,14.85,1
"2016-11-11","10:03:27",-16.389177,-71.523537,2437.23,936,319,0,15.25,1
"2016-11-11","10:06:56",-16.389271,-71.523598,2446.68,936,225,0,12.31,1
"2016-11-11","10:10:21",-16.389194,-71.523537,2428.49,756,247,0,10.75,1
"2016-11-11","10:14:00",-16.389168,-71.523537,2433.55,324,185,0,2.89,1
"2016-11-11","10:17:11",-16.389114,-71.523499,2418.19,468,62,0,7.24,1
"2016-11-11","10:20:36",-16.389135,-71.523476,2420.68,0,69,0,3.39,1
"2016-11-11","10:24:03",-16.389153,-71.523506,2423.3,3564,250,0,3.77,1
"2016-11-11","10:27:27",-16.389095,-71.523483,2432.07,2556,116,0,6.9,1
"2016-11-11","10:31:05",-16.389101,-71.523476,2428.65,1188,144,0,1,1
"2016-11-11","10:35:08",-16.389095,-71.523582,2444.18,8748,252,0,11.33,1
"2016-11-11","10:38:33",-16.389105,-71.523628,2438.61,1512,256,0,5.03,1
"2016-11-11","10:42:00",-16.389988,-71.524307,2422.56,0,63,0,122.01,1
"2016-11-11","10:45:04",-16.38965,-71.524086,2393.38,3924,330,0,44.37,1
"2016-11-11","10:48:10",-16.390043,-71.524071,2426.14,288,285,0,43.73,1
"2016-11-11","10:51:15",-16.38974,-71.524185,2398.33,1116,127,0,35.82,1
"2016-11-11","10:54:22",-16.390001,-71.52475,2466.53,0,313,0,66.9,1
"2016-11-11","10:57:29",-16.390018,-71.524452,2444.99,0,275,0,31.85,1
"2016-11-11","11:00:35",-16.389992,-71.524315,2435.17,5904,41,0,14.9,1
"2016-11-11","11:03:43",-16.389624,-71.524086,2425.43,0,201,0,47.66,1
"2016-11-11","11:06:54",-16.389963,-71.524597,2426.43,0,31,0,66.28,1
"2016-11-11","11:10:03",-16.390028,-71.524834,2444.23,0,64,0,26.3,1
"2016-11-11","11:13:10",-16.389582,-71.524071,2423.55,0,326,0,95.31,1
"2016-11-11","11:16:17",-16.389532,-71.524132,2431.58,1152,107,0,8.56,1
"2016-11-11","11:20:40",-16.389654,-71.523659,2428.05,3960,133,-4,52.25,1
"2016-11-12","06:06:17",-16.389635,-71.523682,2428.01,504,1,-2,0,1
"2016-11-12","06:10:09",-16.389723,-71.523605,2421.72,1620,126,0,12.78,1
"2016-11-12","06:14:45",-16.38962,-71.523628,2412.65,0,345,0,11.71,1
"2016-11-12","06:17:51",-16.389797,-71.523552,2422.15,0,183,0,21.29,1
"2016-11-12","06:20:59",-16.389694,-71.523567,2397.84,1512,43,0,11.56,1
"2016-11-12","06:24:05",-16.389578,-71.523544,2395.98,0,346,0,13.13,1
"2016-11-12","06:27:31",-16.389574,-71.523544,2401.11,1008,179,0,0.44,1
"2016-11-12","06:30:54",-16.389696,-71.523582,2435.37,900,117,0,14.16,1
"2016-11-12","06:34:53",-16.389427,-71.523598,2442.59,0,238,0,29.96,1
"2016-11-12","06:36:25",-16.389544,-71.523621,2437.25,0,78,-1,13.24,1
"2016-11-12","06:36:43",-16.389551,-71.523575,2439.46,0,35,-1,4.97,1
"2016-11-12","06:37:29",-16.389082,-71.523697,2505.09,1152,0,-1,53.75,1
"2016-11-12","06:38:40",-16.389074,-71.523453,2434.46,936,223,-1,26.04,1
