"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2017-01-24","14:54:16",-16.388052,-71.522339,2434.55,648,326,-2,0,1
"2017-01-24","15:18:06",-16.388052,-71.522339,2434.55,648,326,0,0,1
"2017-01-24","15:21:18",-16.387791,-71.522064,2501.2,7488,314,0,41.27,1
"2017-01-24","15:55:59",-16.387791,-71.522064,2501.2,7488,314,0,0,1
"2017-01-24","16:06:38",-16.408106,-71.51638,2920.27,5904,29,0,2338.88,1
"2017-01-24","16:27:49",-16.387447,-71.522301,2409.54,144,242,0,2382.42,1
"2017-01-24","16:31:21",-16.388079,-71.522324,2446.15,4392,52,0,70.32,1
"2017-01-24","16:52:55",-16.388302,-71.522629,2437.28,0,19,0,40.91,1
"2017-01-24","16:56:00",-16.388504,-71.522591,2436.16,1548,133,0,22.82,1
"2017-01-24","16:59:27",-16.388374,-71.522667,2434.28,1476,178,0,16.57,1
"2017-01-24","17:09:26",-16.388315,-71.522667,2412.17,1404,332,0,6.56,1
"2017-01-24","17:19:38",-16.388281,-71.522743,2449.45,612,257,0,8.95,1
"2017-01-24","17:22:46",-16.388233,-71.522888,2489.53,612,355,0,16.36,1
"2017-01-24","17:25:51",-16.388378,-71.522728,2439.25,180,22,0,23.48,1
"2017-01-24","17:28:56",-16.388233,-71.522957,2434.47,396,109,0,29.27,1
"2017-01-24","17:32:04",-16.388128,-71.522301,2461.41,1656,253,0,70.95,1
"2017-01-24","17:35:09",-16.388239,-71.522697,2447.79,1620,70,0,44.01,1
"2017-01-24","17:38:34",-16.387861,-71.522408,2441.91,1296,189,0,52.13,1
"2017-01-24","17:42:08",-16.38776,-71.522369,2439.61,1044,27,0,11.98,1
"2017-01-24","17:46:14",-16.388414,-71.522789,2441.32,2268,223,0,85.42,1
"2017-01-24","17:51:27",-16.388065,-71.52253,2453.02,1872,194,0,47.64,1
"2017-01-24","17:59:10",-16.387943,-71.522476,2458.1,252,168,0,14.74,1
"2017-01-24","18:09:22",-16.389568,-71.52449,2848.27,2088,263,0,280.73,1
"2017-01-24","18:19:17",-16.38813,-71.522629,2488.32,1800,310,0,254.91,1
"2017-01-24","18:27:42",-16.388268,-71.522766,2548.68,1008,272,0,21.19,1
"2017-01-24","18:35:56",-16.38949,-71.524956,3062.11,1332,1,0,270.26,1
"2017-01-24","18:43:14",-16.389645,-71.52507,3264.36,468,27,0,21.09,1
"2017-01-24","18:50:20",-16.388372,-71.522308,2441.54,1584,346,0,326.88,1
"2017-01-24","18:57:14",-16.388151,-71.522438,2432.95,3564,73,0,28.22,1
"2017-01-24","19:03:56",-16.388105,-71.522354,2456.05,4464,233,0,10.32,1
