"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2017-01-31","07:40:09",-16.388298,-71.522682,2434.9,252,253,-2,0,1
"2017-01-31","07:43:19",-16.388308,-71.52269,2436.59,864,265,0,1.4,1
"2017-01-31","07:46:24",-16.388372,-71.522644,2455.6,360,0,0,8.64,1
"2017-01-31","07:49:55",-16.388319,-71.522621,2449.03,108,286,0,6.38,1
"2017-01-31","07:57:06",-16.388319,-71.522621,2449.03,108,286,0,0,1
"2017-01-31","08:11:27",-16.388311,-71.522842,2456.49,468,276,0,23.59,1
"2017-01-31","08:15:28",-16.388134,-71.52285,2422.36,396,37,0,19.7,1
"2017-01-31","08:26:24",-16.388105,-71.522751,2511.85,1224,21,0,11.04,1
"2017-01-31","08:38:06",-16.388172,-71.522804,2441.78,864,328,0,9.35,1
"2017-01-31","08:47:46",-16.388342,-71.52269,2462.41,792,318,0,22.48,1
"2017-01-31","09:00:15",-16.388205,-71.522461,2462.04,576,104,0,28.79,1
"2017-01-31","09:52:12",-16.388205,-71.522461,2462.04,576,104,0,0,1
"2017-01-31","09:56:12",-16.387371,-71.520454,3573.93,4896,105,0,233.32,1
"2017-01-31","10:00:44",-16.387194,-71.523132,2427.34,22608,317,0,286.36,1
"2017-01-31","10:10:49",-16.387735,-71.522484,2469.11,1800,312,0,91.64,1
"2017-01-31","10:23:17",-16.387903,-71.522316,2450.71,2664,335,0,25.89,1
"2017-01-31","10:34:49",-16.387909,-71.522438,2416.04,1080,349,0,13.03,1
"2017-01-31","10:43:42",-16.388321,-71.522125,2369.74,12168,124,0,56.69,1
"2017-01-31","10:47:45",-16.387987,-71.522255,2418.65,1908,163,0,39.64,1
"2017-01-31","11:03:00",-16.387987,-71.522255,2418.65,1908,163,0,0,1
"2017-01-31","11:10:18",-16.387938,-71.522446,2443.28,72,192,0,21.09,1
"2017-01-31","11:13:27",-16.387911,-71.522293,2395.87,0,309,0,16.6,1
"2017-01-31","11:16:36",-16.38826,-71.522331,2429.25,0,0,0,39.02,1
"2017-01-31","11:19:47",-16.388165,-71.522835,2425.95,4284,45,0,54.79,1
"2017-01-31","11:22:57",-16.387995,-71.522827,2428.95,4680,100,0,18.92,1
"2017-01-31","11:26:16",-16.388199,-71.522835,2439.44,972,182,0,22.7,1
"2017-01-31","11:29:29",-16.388365,-71.522804,2478.19,1872,295,0,18.75,1
"2017-01-31","11:32:56",-16.388124,-71.522919,2440.61,1728,26,0,29.47,1
"2017-01-31","11:36:13",-16.388115,-71.52282,2427.96,3024,21,0,10.61,1
"2017-01-31","11:39:22",-16.388205,-71.522835,2436.79,0,20,0,10.13,1
"2017-01-31","11:42:30",-16.388144,-71.522812,2380.32,5688,18,0,7.21,1
"2017-01-31","11:45:39",-16.388357,-71.522804,2459.32,0,339,0,23.7,1
"2017-01-31","11:48:46",-16.388391,-71.522713,2447.7,2808,132,0,10.42,1
"2017-01-31","11:52:17",-16.388212,-71.522766,2434.93,1008,34,0,20.69,1
"2017-01-31","11:55:34",-16.388014,-71.522804,2417.59,324,229,0,22.39,1
"2017-01-31","11:58:51",-16.388311,-71.522865,2431.34,0,27,0,33.66,1
"2017-01-31","12:02:21",-16.388195,-71.522789,2472.6,1368,356,0,15.24,1
"2017-01-31","12:08:57",-16.38813,-71.522827,2455.44,2628,348,0,8.29,1
"2017-01-31","12:25:24",-16.38825,-71.522903,2408.62,16236,220,0,15.61,1
"2017-01-31","14:36:12",-16.38825,-71.522903,2408.62,16236,220,0,0,1
"2017-01-31","14:40:03",-16.387966,-71.522491,2448.94,1008,102,0,54.12,1
"2017-01-31","14:43:15",-16.388208,-71.522545,2438.59,720,336,0,27.52,1
"2017-01-31","14:46:31",-16.388247,-71.522781,2432.88,1620,187,0,25.55,1
"2017-01-31","14:49:39",-16.388178,-71.522827,2421.59,1872,52,0,9.11,1
"2017-01-31","14:53:13",-16.388264,-71.522377,2429.33,900,55,0,48.95,1
"2017-01-31","15:00:41",-16.388279,-71.522728,2453.8,756,85,0,37.48,1
"2017-01-31","15:06:09",-16.388201,-71.522697,2437.79,864,101,0,9.28,1
"2017-01-31","15:09:46",-16.388201,-71.522697,2437.79,864,101,0,0,1
"2017-01-31","15:14:22",-16.388229,-71.522827,2406.37,900,26,0,14.21,1
"2017-01-31","15:20:54",-16.388229,-71.522827,2406.37,900,26,0,0,1
"2017-01-31","15:24:31",-16.388161,-71.52272,2431.68,648,310,0,13.69,1
"2017-01-31","15:28:41",-16.388199,-71.522408,2420.21,1728,0,0,33.55,1
"2017-01-31","15:32:44",-16.388149,-71.522346,2505.38,1044,67,0,8.64,1
"2017-01-31","15:48:42",-16.388149,-71.522346,2505.38,1044,67,0,0,1
"2017-01-31","15:55:51",-16.388025,-71.522346,2392.83,7416,252,0,13.79,1
"2017-01-31","15:59:07",-16.387993,-71.522263,2479.18,972,241,0,9.54,1
"2017-01-31","16:02:17",-16.388044,-71.522293,2462.75,1008,205,0,6.51,1
"2017-01-31","16:05:25",-16.387943,-71.522308,2466.41,2052,256,0,11.34,1
"2017-01-31","16:08:37",-16.388767,-71.521164,2673.29,1872,300,0,152.61,1
"2017-01-31","16:13:08",-16.388296,-71.522263,2450.99,468,60,0,128.4,1
"2017-01-31","16:20:46",-16.388121,-71.522369,2532.4,0,38,0,22.51,1
"2017-01-31","16:24:30",-16.387974,-71.522392,2408.16,864,343,0,16.53,1
"2017-01-31","16:31:26",-16.387804,-71.522491,2391.6,1224,22,0,21.65,1
"2017-01-31","16:37:55",-16.388313,-71.522179,2467.54,936,264,0,65.66,1
"2017-01-31","16:43:12",-16.388081,-71.522301,2422.34,612,263,0,28.89,1
"2017-01-31","17:36:40",-16.388081,-71.522301,2422.34,612,263,0,0,1
"2017-01-31","17:52:30",-16.387806,-71.522476,2453.47,900,219,0,35.83,1
"2017-01-31","17:56:17",-16.387903,-71.522583,2452.34,3456,206,0,15.7,1
"2017-01-31","18:12:36",-16.387823,-71.522461,2425.13,3384,173,0,15.76,1
"2017-01-31","18:32:12",-16.385761,-71.513481,302.75,5400,345,0,985.03,1
"2017-01-31","18:53:07",-16.387774,-71.519379,1888.8,5652,74,0,667.82,1
"2017-01-31","20:03:11",-16.387774,-71.519379,1888.8,5652,74,0,0,1
"2017-01-31","20:09:02",-16.387964,-71.522308,2404.44,1080,295,0,313.17,1
"2017-01-31","20:12:26",-16.388147,-71.52243,2442.73,2412,65,0,24.15,1
"2017-01-31","20:19:03",-16.388046,-71.521553,2441.24,1620,0,0,94.23,1
"2017-01-31","20:22:09",-16.387997,-71.521378,2442.54,1512,302,0,19.45,1
"2017-01-31","20:25:14",-16.387985,-71.521881,2374.43,1872,280,0,53.68,1
"2017-01-31","20:28:48",-16.388138,-71.521637,2459.24,972,41,0,31.1,1
"2017-01-31","20:33:01",-16.388113,-71.521927,2354.81,1620,242,0,31.06,1
"2017-01-31","20:36:08",-16.388269,-71.521942,2481.77,2520,249,0,17.42,1
"2017-01-31","20:39:13",-16.388098,-71.521629,2426.95,1188,68,0,38.42,1
"2017-01-31","20:42:20",-16.388182,-71.521469,2478.03,1008,39,0,19.46,1
"2017-01-31","20:45:25",-16.388142,-71.521706,2439.32,3636,262,0,25.67,1
"2017-01-31","20:48:29",-16.388056,-71.521614,2422.87,0,0,0,13.7,1
"2017-01-31","20:51:39",-16.38805,-71.521538,2457.51,936,6,0,8.13,1
"2017-01-31","20:54:45",-16.388132,-71.521523,2447.33,1044,64,0,9.26,1
"2017-01-31","20:57:49",-16.388374,-71.522209,2422.99,1080,194,0,77.97,1
"2017-01-31","21:01:00",-16.388212,-71.522156,2426.86,1620,118,0,18.88,1
"2017-01-31","21:04:05",-16.388069,-71.521416,2501.08,792,295,0,80.53,1
"2017-01-31","21:07:30",-16.388121,-71.521637,2414.57,1008,352,0,24.27,1
"2017-01-31","21:10:38",-16.387978,-71.521584,2436.05,0,0,0,16.88,1
"2017-01-31","21:14:16",-16.38802,-71.521599,2467.39,5040,350,0,4.94,1
"2017-01-31","21:17:30",-16.38802,-71.521599,2467.39,5040,350,0,0,1
"2017-01-31","21:20:37",-16.38806,-71.521599,2442.64,504,223,0,4.45,1
"2017-01-31","21:23:44",-16.38802,-71.521584,2419.17,0,202,0,4.73,1
"2017-01-31","21:27:00",-16.38802,-71.521584,2419.17,0,202,0,0,1
"2017-01-31","21:30:08",-16.388033,-71.521576,2435.7,0,150,0,1.68,1
"2017-01-31","21:36:43",-16.388033,-71.521576,2435.7,0,150,0,0,1
"2017-01-31","21:40:44",-16.388033,-71.521637,2433.18,648,291,0,6.51,1
"2017-01-31","21:44:59",-16.388033,-71.521637,2433.18,648,291,0,0,1
