Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/10/15, 14:55:32, -16.390800, -71.493057, 2659.99,  3528.00, 170, -2, 0.00, 1
2016/10/15, 14:56:43, -16.390684, -71.493050, 2663.42,  0.00, 136, 0, 12.92, 1
2016/10/15, 14:58:00, -16.390745, -71.493050, 2668.27,  72.00, 109, 0, 6.78, 1
2016/10/15, 14:59:17, -16.390675, -71.493057, 2668.49,  0.00, 47, 0, 7.82, 1
2016/10/15, 15:00:56, -16.390860, -71.492928, 2686.58,  1080.00, 61, 0, 24.75, 1
2016/10/15, 15:02:53, -16.390709, -71.492996, 2676.53,  3528.00, 87, 0, 18.29, 1
2016/10/15, 15:05:37, -16.390713, -71.493233, 2671.72,  720.00, 270, 0, 25.29, 1
2016/10/15, 15:08:56, -16.390713, -71.493233, 2671.72,  720.00, 270, 0, 0.00, 1
2016/10/15, 15:10:08, -16.390537, -71.493088, 2671.87,  8712.00, 13, 0, 24.95, 1
2016/10/15, 15:11:21, -16.390633, -71.493019, 2660.97,  26712.00, 260, 0, 12.97, 1
2016/10/15, 15:11:24, -16.390694, -71.493301, 2651.72,  22392.00, 268, 0, 30.84, 1
2016/10/15, 15:11:27, -16.390688, -71.493523, 2642.54,  22284.00, 270, 0, 23.69, 1
2016/10/15, 15:11:30, -16.390696, -71.493782, 2632.40,  23148.00, 268, 0, 27.64, 1
2016/10/15, 15:11:44, -16.390717, -71.494003, 2633.35,  13032.00, 270, 0, 23.69, 1
2016/10/15, 15:11:47, -16.390739, -71.493423, 2657.10,  1944.00, 269, 0, 61.92, 1
2016/10/15, 15:12:56, -16.390736, -71.492950, 2671.79,  0.00, 111, 0, 50.46, 1
2016/10/15, 15:14:05, -16.390736, -71.492950, 2671.79,  0.00, 111, 0, 0.00, 1
2016/10/15, 15:17:49, -16.390675, -71.493042, 2669.48,  0.00, 0, -1, 11.93, 1
2016/10/15, 15:20:51, -16.390675, -71.493042, 2669.48,  0.00, 0, 0, 0.00, 1
2016/10/15, 15:22:00, -16.390694, -71.493103, 2658.17,  1476.00, 161, 0, 6.84, 1
2016/10/15, 15:23:09, -16.390743, -71.493156, 2653.65,  0.00, 154, 0, 7.85, 1
2016/10/15, 15:24:18, -16.390743, -71.493156, 2653.65,  0.00, 154, 0, 0.00, 1
2016/10/15, 15:25:27, -16.390680, -71.493134, 2668.69,  0.00, 154, 0, 7.39, 1
2016/10/15, 15:26:36, -16.390676, -71.493050, 2673.89,  1584.00, 154, 0, 8.97, 1
2016/10/15, 15:27:45, -16.390667, -71.493027, 2674.04,  0.00, 154, 0, 2.65, 1
2016/10/15, 15:28:54, -16.390667, -71.493027, 2674.04,  0.00, 154, 0, 0.00, 1
2016/10/15, 15:30:03, -16.390667, -71.493027, 2674.04,  0.00, 154, 0, 0.00, 1
2016/10/15, 15:31:12, -16.390699, -71.493019, 2671.81,  1584.00, 136, 0, 3.66, 1
2016/10/15, 15:32:21, -16.390678, -71.493011, 2672.17,  0.00, 136, 0, 2.49, 1
2016/10/15, 15:33:30, -16.390692, -71.492989, 2671.73,  0.00, 136, 0, 2.82, 1
2016/10/15, 15:34:39, -16.390705, -71.492958, 2670.61,  0.00, 136, 0, 3.61, 1
2016/10/15, 15:35:48, -16.390705, -71.492958, 2670.61,  0.00, 136, 0, 0.00, 1
2016/10/15, 15:36:57, -16.390656, -71.492973, 2673.44,  0.00, 27, 0, 5.68, 1
2016/10/15, 15:38:06, -16.390722, -71.492973, 2676.47,  0.00, 212, 0, 7.34, 1
2016/10/15, 15:39:15, -16.390663, -71.492889, 2677.82,  468.00, 54, 0, 11.11, 1
2016/10/15, 15:40:24, -16.390656, -71.492874, 2677.15,  0.00, 54, 0, 1.78, 1
2016/10/15, 15:41:33, -16.390697, -71.492897, 2678.92,  0.00, 48, 0, 5.18, 1
2016/10/15, 15:42:42, -16.390697, -71.492897, 2678.92,  0.00, 48, 0, 0.00, 1
