"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-18","08:10:22",-16.393078,-71.501038,2503.61,3744,42,-2,0,1
"2016-10-18","08:10:27",-16.393061,-71.501198,2512.35,4176,118,-4,17.17,1
"2016-10-18","08:15:02",-16.393225,-71.501038,2520.44,1404,248,-2,0,1
"2016-10-18","08:18:14",-16.393257,-71.501122,2485.69,612,287,0,9.64,1
"2016-10-18","08:21:26",-16.393406,-71.501289,2504.7,2628,114,0,24.33,1
"2016-10-18","08:24:52",-16.393349,-71.501175,2494.32,648,243,0,13.71,1
"2016-10-18","08:27:58",-16.393316,-71.501259,2489.16,756,189,0,9.68,1
"2016-10-18","08:31:05",-16.393322,-71.501213,2494.6,0,212,0,4.95,1
"2016-10-18","08:34:31",-16.393358,-71.501236,2471.09,3636,105,0,4.7,1
"2016-10-18","08:37:38",-16.393358,-71.501259,2475.13,0,156,0,2.45,1
"2016-10-18","08:40:44",-16.393511,-71.501373,2515.97,3276,253,0,20.91,1
"2016-10-18","08:43:49",-16.393377,-71.501297,2483.91,1512,196,0,16.96,1
"2016-10-18","08:46:54",-16.393351,-71.501289,2500.45,1188,214,0,3.01,1
"2016-10-18","08:50:01",-16.393366,-71.501236,2487.44,0,168,0,5.89,1
"2016-10-18","08:53:07",-16.393349,-71.501259,2498.19,1512,31,0,3.1,1
"2016-10-18","08:56:16",-16.39337,-71.501328,2488.7,648,34,0,7.72,1
"2016-10-18","08:59:23",-16.393353,-71.501328,2516.25,468,29,0,1.89,1
"2016-10-18","09:02:30",-16.393328,-71.501419,2532.92,0,304,0,10.1,1
"2016-10-18","09:05:57",-16.393412,-71.501274,2489.46,144,117,0,18.07,1
"2016-10-18","09:09:05",-16.393398,-71.50135,2516.39,0,136,0,8.26,1
"2016-10-18","09:12:12",-16.393452,-71.501282,2534.45,0,71,0,9.42,1
"2016-10-18","09:15:18",-16.393261,-71.501083,2499.43,1944,84,0,30.03,1
"2016-10-18","09:18:27",-16.393274,-71.501373,2544.28,3132,53,0,30.97,1
"2016-10-18","09:21:38",-16.393345,-71.501328,2511.19,1152,120,0,9.24,1
"2016-10-18","09:24:47",-16.393497,-71.501266,2500.14,0,198,0,18.15,1
