"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2017-01-04","16:11:38",-16.39698,-71.509697,2454.24,288,0,-2,0,1
"2017-01-04","17:13:05",-16.39698,-71.509697,2454.24,288,0,0,0,1
"2017-01-04","17:19:43",-16.396889,-71.509666,2437.95,936,18,0,10.65,1
"2017-01-04","17:23:13",-16.397179,-71.50988,2461.48,648,215,0,39.51,1
"2017-01-04","17:36:09",-16.396801,-71.509544,2435.47,936,40,0,55.24,1
"2017-01-04","17:46:21",-16.396679,-71.509224,2464.32,0,68,0,36.73,1
"2017-01-04","17:59:24",-16.396923,-71.509705,2441.93,216,242,0,58.04,1
"2017-01-04","18:11:11",-16.396801,-71.509613,2431.39,1224,35,0,16.74,1
"2017-01-04","18:20:59",-16.396135,-71.50882,2451.11,2628,48,0,112.43,1
"2017-01-04","18:29:48",-16.396057,-71.506752,2434.2,792,87,0,220.77,1
"2017-01-04","18:32:55",-16.39608,-71.506859,2444.26,1116,257,0,11.7,1
"2017-01-04","18:36:00",-16.396137,-71.507248,2455.96,1044,261,0,41.98,1
"2017-01-04","18:40:32",-16.396793,-71.508232,2441.07,6696,235,0,127.82,1
"2017-01-04","18:48:18",-16.396923,-71.509682,2451.93,7668,264,0,155.35,1
"2017-01-04","18:54:59",-16.39673,-71.509995,2438.82,180,302,0,39.69,1
"2017-01-04","18:58:06",-16.396925,-71.509804,2397.91,864,136,0,29.75,1
"2017-01-04","19:01:09",-16.396919,-71.509857,2394.12,2196,276,0,5.69,1
"2017-01-04","19:04:23",-16.396868,-71.509796,2435.42,1800,48,0,8.63,1
"2017-01-04","19:07:32",-16.396801,-71.509819,2435.23,1044,341,0,7.84,1
"2017-01-04","19:11:02",-16.396784,-71.509857,2451.05,792,295,0,4.47,1
"2017-01-04","19:15:45",-16.397011,-71.50972,2433.6,2664,149,0,29.17,1
"2017-01-04","19:20:56",-16.396862,-71.50972,2458.65,864,0,0,16.57,1
"2017-01-04","19:24:22",-16.396662,-71.509956,2523.75,504,311,0,33.59,1
"2017-01-04","19:28:53",-16.396839,-71.509796,2458.46,1512,139,0,26.05,1
"2017-01-04","19:33:14",-16.396812,-71.509666,2431.48,0,77,0,14.19,1
"2017-01-04","19:36:29",-16.39678,-71.509842,2464.23,1008,280,0,19.11,1
"2017-01-04","19:39:55",-16.39674,-71.509834,2440.02,1044,10,0,4.53,1
"2017-01-04","19:43:51",-16.396797,-71.509666,2420.73,648,109,0,19.01,1
"2017-01-04","19:47:59",-16.396915,-71.509682,2441.59,936,187,0,13.23,1
"2017-01-04","19:52:10",-16.396849,-71.509804,2513.27,2052,299,0,14.94,1
