"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-12","09:04:19",-16.393879,-71.500221,2246.36,720,49,-2,0,1
"2016-10-12","09:08:49",-16.393879,-71.500221,2246.36,3456,98,0,0,1
"2016-10-12","09:13:35",-16.393381,-71.501335,2518.95,1296,102,0,131.1,1
"2016-10-12","09:17:09",-16.393284,-71.501434,2587.92,2016,254,0,15.1,1
"2016-10-12","09:20:32",-16.39348,-71.501457,2503.51,0,306,0,21.93,NA
"2016-10-12","09:21:44",-16.393438,-71.501389,2512.35,684,297,0,8.63,NA
"2016-10-12","09:23:12",-16.393476,-71.501366,2515.05,900,224,0,4.89,NA
"2016-10-12","09:25:34",-16.393404,-71.501518,2533.98,828,264,0,18.08,1
"2016-10-12","09:26:39",-16.39344,-71.50148,2538.36,864,165,0,5.7,1
"2016-10-12","09:27:44",-16.393526,-71.501404,2509.79,0,227,0,12.54,NA
"2016-10-12","09:28:52",-16.393482,-71.50135,2501.56,1548,130,0,7.56,NA
"2016-10-12","09:29:56",-16.393427,-71.50148,2538.86,4032,111,0,15.16,NA
"2016-10-12","09:31:07",-16.39341,-71.501434,2524.17,1476,218,0,5.26,NA
"2016-10-12","09:32:38",-16.393444,-71.501465,2519.64,612,179,0,5.02,NA
"2016-10-12","09:33:42",-16.393385,-71.50148,2534.88,3600,251,0,6.75,1
"2016-10-12","09:34:50",-16.393461,-71.501312,2513.59,144,0,0,19.81,1
"2016-10-12","09:35:56",-16.393421,-71.501282,2504.64,612,308,0,5.48,NA
"2016-10-12","09:37:01",-16.393442,-71.501282,2509.66,648,21,0,2.34,NA
"2016-10-12","09:38:06",-16.393406,-71.50148,2529.14,1476,267,0,21.5,NA
"2016-10-12","09:39:10",-16.393499,-71.501534,2520,2052,61,0,11.84,NA
"2016-10-12","09:40:16",-16.393442,-71.501213,2496.57,0,70,0,34.82,NA
"2016-10-12","09:41:23",-16.39353,-71.501442,2520.84,0,275,0,26.32,NA
"2016-10-12","09:42:28",-16.393471,-71.501251,2522.57,0,21,0,21.4,NA
"2016-10-12","09:43:32",-16.393482,-71.501404,2532.27,360,251,0,16.37,NA
"2016-10-12","09:44:39",-16.393465,-71.501213,2496.65,396,292,0,20.46,NA
"2016-10-12","09:45:54",-16.393467,-71.501495,2520.77,936,0,0,30.08,NA
"2016-10-12","09:46:59",-16.393452,-71.501335,2506.71,4284,106,0,17.15,NA
"2016-10-12","09:48:06",-16.393444,-71.501366,2514.2,0,115,0,3.42,NA
"2016-10-12","09:49:13",-16.393507,-71.501411,2500.69,0,84,0,8.49,NA
"2016-10-12","09:50:21",-16.39345,-71.501381,2508.09,0,168,0,7.1,NA
"2016-10-12","09:51:28",-16.39344,-71.501526,2528.89,756,91,0,15.51,NA
"2016-10-12","09:52:55",-16.393597,-71.501007,2453.67,1296,49,0,58.05,NA
"2016-10-12","09:54:01",-16.393539,-71.501373,2489.8,0,152,0,39.57,NA
"2016-10-12","09:55:05",-16.393385,-71.501343,2542.41,2880,50,0,17.42,1
"2016-10-12","09:56:15",-16.393486,-71.501434,2522.87,288,353,0,14.84,1
"2016-10-12","09:57:21",-16.393473,-71.501419,2507.83,0,67,0,2.16,NA
"2016-10-12","09:58:29",-16.393402,-71.501381,2528.48,0,57,0,8.87,NA
"2016-10-12","09:59:41",-16.393566,-71.501358,2496.02,792,56,0,18.4,NA
"2016-10-12","10:00:49",-16.393486,-71.50135,2502.38,0,52,0,8.94,NA
"2016-10-12","10:02:00",-16.393492,-71.501343,2487.93,2592,31,0,1,1
"2016-10-12","10:03:23",-16.393438,-71.50135,2502.12,936,73,0,6.05,1
"2016-10-12","10:04:27",-16.393585,-71.501472,2488.89,3564,57,0,20.89,NA
"2016-10-12","10:05:36",-16.393385,-71.501251,2504.73,1944,59,0,32.41,NA
"2016-10-12","10:06:48",-16.393536,-71.501404,2500.55,504,216,0,23.42,NA
"2016-10-12","10:08:34",-16.393507,-71.501411,2504.5,216,43,0,3.31,1
"2016-10-12","10:10:27",-16.393316,-71.501381,2545.05,2160,9,0,21.48,1
"2016-10-12","10:12:39",-16.393515,-71.501404,2508.57,1476,240,0,22.26,NA
"2016-10-12","10:14:31",-16.393557,-71.501266,2485.7,1512,351,0,15.44,NA
"2016-10-12","10:15:41",-16.393555,-71.501411,2505.46,0,46,0,15.47,NA
"2016-10-12","10:16:48",-16.39344,-71.501328,2520.42,0,130,0,15.55,NA
"2016-10-12","10:17:59",-16.393566,-71.501472,2524.12,684,117,0,20.79,NA
"2016-10-12","10:19:04",-16.393562,-71.501381,2497.38,1152,218,0,9.72,NA
"2016-10-12","10:20:09",-16.393499,-71.501488,2506.52,36,173,0,13.39,1
"2016-10-12","10:21:21",-16.39353,-71.501488,2538.72,900,156,0,3.45,1
"2016-10-12","10:22:26",-16.393454,-71.501846,2489.85,5472,297,0,39.11,1
"2016-10-12","10:23:31",-16.393412,-71.501984,2497.71,468,294,0,15.44,1
"2016-10-12","10:24:36",-16.393381,-71.501831,2485.31,0,192,0,16.68,NA
"2016-10-12","10:25:41",-16.393324,-71.501862,2492.22,0,0,0,7.15,NA
