Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/10/04, 10:25:41, -16.393072, -71.493881, 2685.97,  720.00, 0, -2, 0.00, 1
2016/10/04, 10:26:05, -16.393059, -71.493935, 2658.72,  1548.00, 284, -1, 5.94, 1
2016/10/04, 10:29:21, -16.393064, -71.493889, 2679.72,  1224.00, 96, 0, 4.94, 1
2016/10/04, 10:30:57, -16.393049, -71.493797, 2720.24,  576.00, 80, -4, 9.95, 1
2016/10/05, 07:00:50, -16.393040, -71.494057, 2653.07,  252.00, 0, -2, 0.00, 1
2016/10/05, 07:04:33, -16.393007, -71.494125, 2643.79,  2340.00, 296, -4, 8.13, 1
2016/10/05, 07:06:25, -16.393059, -71.494041, 2662.66,  0.00, 0, -2, 0.00, 1
2016/10/05, 07:09:52, -16.392878, -71.493912, 2658.45,  108.00, 34, 0, 24.38, 1
2016/10/05, 07:13:14, -16.392939, -71.493881, 2667.25,  108.00, 154, 0, 7.55, 1
2016/10/05, 07:16:43, -16.393040, -71.494080, 2634.74,  540.00, 242, 0, 24.02, 1
2016/10/05, 07:20:24, -16.393047, -71.494049, 2646.97,  288.00, 103, 0, 3.40, 1
2016/10/05, 07:25:14, -16.393103, -71.493881, 2669.26,  1584.00, 109, 0, 18.97, 1
2016/10/05, 07:30:21, -16.393057, -71.494057, 2657.18,  360.00, 285, 0, 19.46, 1
2016/10/05, 07:33:59, -16.393076, -71.493996, 2654.20,  1620.00, 107, 0, 6.84, 1
2016/10/05, 07:39:14, -16.393017, -71.494003, 2652.01,  1332.00, 353, 0, 6.60, 1
2016/10/05, 07:45:42, -16.393028, -71.493843, 2660.73,  900.00, 94, 0, 17.11, 1
2016/10/05, 07:53:17, -16.393099, -71.494041, 2651.18,  1008.00, 249, -4, 22.55, 1
2016/10/05, 13:36:40, -16.393030, -71.493935, 2646.35,  2232.00, 0, -2, 0.00, 1
2016/10/05, 13:49:00, -16.393030, -71.493935, 2646.35,  4356.00, 0, 0, 0.00, 1
2016/10/05, 13:51:01, -16.393166, -71.493965, 2656.97,  1008.00, 191, -1, 15.46, 1
2016/10/05, 13:54:06, -16.393063, -71.493988, 2650.03,  2016.00, 347, 0, 11.71, 1
2016/10/05, 13:57:14, -16.393229, -71.494072, 2660.34,  1296.00, 205, 0, 20.52, 1
2016/10/05, 14:00:21, -16.392899, -71.493896, 2645.09,  972.00, 27, 0, 41.22, 1
2016/10/05, 14:03:36, -16.392963, -71.493896, 2644.61,  648.00, 180, 0, 7.12, 1
2016/10/05, 14:08:12, -16.392916, -71.493835, 2668.48,  1296.00, 51, 0, 8.35, 1
2016/10/05, 14:11:22, -16.393047, -71.493935, 2656.66,  792.00, 216, 0, 18.05, 1
2016/10/05, 14:14:28, -16.393091, -71.493919, 2652.57,  2160.00, 160, 0, 5.18, 1
2016/10/05, 14:17:40, -16.393064, -71.494003, 2649.54,  792.00, 288, 0, 9.45, 1
2016/10/05, 14:20:10, -16.393103, -71.493988, 2695.96,  4608.00, 159, -1, 4.62, 1
2016/10/05, 14:23:33, -16.393095, -71.493980, 2673.19,  324.00, 43, 0, 1.23, 1
2016/10/05, 14:27:17, -16.393101, -71.493919, 2676.70,  2664.00, 95, 0, 6.54, 1
2016/10/05, 14:31:24, -16.393023, -71.493965, 2666.70,  792.00, 330, 0, 9.97, 1
2016/10/05, 14:35:57, -16.393135, -71.493919, 2651.69,  2052.00, 158, 0, 13.39, 1
2016/10/05, 14:39:05, -16.392967, -71.493835, 2684.31,  2448.00, 25, 0, 20.72, 1
2016/10/05, 14:42:12, -16.393091, -71.493919, 2667.28,  0.00, 213, 0, 16.44, 1
2016/10/05, 14:45:23, -16.393141, -71.493988, 2655.05,  0.00, 232, 0, 9.22, 1
2016/10/05, 14:51:51, -16.393141, -71.493988, 2655.05,  0.00, 0, 0, 0.00, 1
2016/10/05, 14:55:31, -16.393059, -71.493851, 2677.42,  972.00, 58, 0, 17.23, 1
2016/10/05, 14:59:01, -16.392872, -71.494057, 2592.67,  0.00, 313, 0, 30.25, 1
2016/10/05, 15:02:29, -16.392937, -71.494225, 2581.24,  540.00, 248, -4, 19.32, 1
2016/10/06, 08:39:58, -16.393076, -71.493965, 2660.97,  252.00, 0, -2, 0.00, 1
2016/10/06, 08:45:10, -16.392960, -71.493866, 2690.85,  0.00, 39, 0, 16.67, 1
2016/10/06, 08:48:26, -16.393127, -71.493973, 2647.51,  792.00, 211, 0, 21.80, 1
2016/10/06, 08:51:36, -16.392939, -71.493881, 2667.23,  576.00, 25, 0, 23.09, 1
2016/10/06, 08:54:44, -16.393080, -71.494019, 2629.67,  936.00, 223, 0, 21.51, 1
2016/10/06, 08:57:54, -16.392879, -71.493912, 2657.26,  0.00, 27, 0, 25.10, 1
2016/10/06, 09:01:03, -16.393126, -71.494125, 2655.14,  1224.00, 219, 0, 35.65, 1
2016/10/06, 09:04:10, -16.393059, -71.494263, 2651.66,  252.00, 296, 0, 16.50, 1
2016/10/06, 09:07:21, -16.393103, -71.494179, 2653.76,  0.00, 118, 0, 10.21, 1
2016/10/06, 09:10:28, -16.392998, -71.494339, 2666.76,  3816.00, 304, 0, 20.68, 1
2016/10/06, 09:13:40, -16.393074, -71.493988, 2661.25,  2880.00, 102, 0, 38.38, 1
2016/10/06, 09:16:46, -16.393091, -71.493973, 2623.01,  0.00, 139, 0, 2.48, 1
2016/10/06, 09:20:21, -16.393047, -71.493965, 2669.90,  0.00, 9, 0, 4.97, 1
2016/10/06, 09:23:26, -16.393017, -71.493988, 2656.22,  0.00, 323, 0, 4.14, 1
2016/10/06, 09:26:33, -16.393089, -71.493973, 2662.25,  540.00, 168, 0, 8.16, 1
2016/10/06, 09:29:48, -16.393114, -71.494003, 2651.59,  576.00, 229, 0, 4.24, 1
2016/10/06, 09:36:18, -16.393114, -71.494003, 2651.59,  576.00, 0, 0, 0.00, 1
2016/10/06, 09:39:26, -16.393053, -71.493965, 2654.91,  0.00, 30, 0, 7.90, 1
2016/10/06, 09:42:32, -16.393017, -71.494049, 2665.78,  0.00, 294, 0, 9.81, 1
2016/10/06, 09:45:39, -16.393061, -71.493988, 2647.20,  1080.00, 126, 0, 8.14, 1
2016/10/06, 09:48:44, -16.393356, -71.493896, 2653.31,  5328.00, 163, 0, 34.24, 1
2016/10/06, 09:51:53, -16.394190, -71.493622, 2649.57,  1152.00, 162, 0, 97.23, 1
2016/10/06, 09:55:02, -16.394663, -71.493256, 2632.98,  1296.00, 143, 0, 65.50, 1
2016/10/06, 09:58:09, -16.393721, -71.494034, 2657.92,  2556.00, 321, 0, 133.64, 1
2016/10/06, 10:01:16, -16.393070, -71.493996, 2667.01,  0.00, 3, 0, 72.50, 1
2016/10/06, 10:04:23, -16.393074, -71.493942, 2661.29,  432.00, 94, 0, 5.78, 1
2016/10/06, 11:09:35, -16.393074, -71.493942, 2661.29,  432.00, 0, 0, 0.00, 1
2016/10/06, 11:13:56, -16.393038, -71.494003, 2654.86,  0.00, 301, 0, 7.64, 1
2016/10/06, 11:17:04, -16.393061, -71.493980, 2656.61,  0.00, 136, 0, 3.54, 1
2016/10/06, 11:20:19, -16.393013, -71.494003, 2645.26,  1188.00, 335, 0, 5.87, 1
2016/10/06, 11:21:49, -16.393126, -71.493828, 2620.56,  1548.00, 123, -1, 22.50, 1
2016/10/06, 11:25:49, -16.393061, -71.493942, 2651.66,  0.00, 300, -4, 14.15, 1
2016/10/07, 13:33:22, -16.393053, -71.493912, 2642.37,  1476.00, 0, -2, 0.00, 1
2016/10/07, 13:36:40, -16.393103, -71.493942, 2636.73,  468.00, 209, 0, 6.42, 1
2016/10/07, 13:38:22, -16.393053, -71.494118, 2647.90,  5508.00, 286, -1, 19.58, 1
2016/10/07, 13:41:29, -16.393061, -71.493912, 2665.10,  0.00, 92, 0, 21.99, 1
2016/10/07, 13:44:35, -16.393297, -71.493988, 2653.56,  0.00, 197, 0, 27.47, 1
2016/10/07, 13:47:43, -16.393335, -71.494064, 2641.23,  0.00, 242, 0, 9.14, 1
2016/10/07, 13:50:48, -16.393030, -71.494034, 2650.01,  0.00, 5, 0, 34.07, 1
2016/10/07, 13:51:52, -16.393019, -71.494064, 2629.44,  2016.00, 290, -1, 3.43, 1
2016/10/07, 13:53:50, -16.392996, -71.494041, 2638.33,  1728.00, 43, -1, 3.54, 1
2016/10/07, 13:54:10, -16.392982, -71.494003, 2642.40,  2196.00, 68, -1, 4.34, 1
2016/10/07, 13:56:34, -16.393023, -71.494049, 2635.85,  1152.00, 227, -1, 6.70, 1
2016/10/07, 13:56:51, -16.393013, -71.494034, 2627.89,  1368.00, 55, -1, 1.95, 1
