"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-11","07:55:04",-16.389469,-71.524521,2416.3,1332,303,-2,0,1
"2016-11-11","07:58:17",-16.383028,-71.524971,5674.72,2628,4,0,717.81,1
"2016-11-11","08:01:36",-16.389482,-71.524544,2436.25,1728,245,0,719.1,1
"2016-11-11","08:05:03",-16.389343,-71.524261,2446.29,900,95,0,33.92,1
"2016-11-11","08:08:32",-16.38938,-71.524498,2460.16,432,132,0,25.61,1
"2016-11-11","08:12:14",-16.389893,-71.524895,2382.78,1656,331,0,71.05,1
"2016-11-11","08:15:21",-16.389446,-71.524529,2435.72,576,34,0,63.21,1
"2016-11-11","08:18:31",-16.389559,-71.52475,2443.62,0,94,0,26.71,1
"2016-11-11","08:21:47",-16.389662,-71.524788,2439.82,3240,236,0,12.15,1
"2016-11-11","08:25:16",-16.38961,-71.524803,2420.46,1224,232,0,6,1
"2016-11-11","08:29:02",-16.389496,-71.524727,2442.88,360,43,0,15.05,1
"2016-11-11","08:33:39",-16.389462,-71.52462,2431.47,684,54,0,12.02,1
"2016-11-11","08:38:26",-16.389349,-71.524475,2453.44,684,234,0,19.93,1
"2016-11-11","08:43:13",-16.389387,-71.524467,2457.28,684,63,0,4.31,1
"2016-11-11","08:48:13",-16.389091,-71.5243,2481.71,3816,31,0,37.43,1
"2016-11-11","08:53:37",-16.39003,-71.525192,2374.74,5724,186,0,141.27,1
"2016-11-11","08:59:20",-16.389429,-71.524544,2461.35,252,98,0,96.15,1
"2016-11-11","09:05:35",-16.389603,-71.524475,2432.1,540,314,0,20.7,1
"2016-11-11","09:11:35",-16.389593,-71.524567,2433.13,0,322,0,9.88,1
"2016-11-11","09:14:43",-16.38957,-71.524582,2434.82,360,331,0,3.02,1
"2016-11-11","09:18:00",-16.389606,-71.524467,2428.33,324,234,0,12.9,1
"2016-11-11","09:21:41",-16.389359,-71.524551,2440.96,792,169,0,28.89,1
