"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-20","07:46:01",-16.394522,-71.502754,2451.95,792,177,-2,0,1
"2016-10-20","07:47:14",-16.394505,-71.502838,2491.86,2484,214,-1,9.16,1
"2016-10-20","07:50:56",-16.394608,-71.502708,2462.5,504,52,0,17.99,1
"2016-10-20","07:55:04",-16.39463,-71.502823,2482.26,792,0,0,12.51,1
"2016-10-20","07:58:21",-16.394657,-71.502853,2484.19,360,156,0,4.39,1
"2016-10-20","08:01:35",-16.394728,-71.502861,2457.6,1260,178,0,7.94,1
"2016-10-20","08:05:35",-16.390434,-71.510048,4636.11,11520,296,0,903.2,1
"2016-10-20","08:06:11",-16.394297,-71.503311,2625.78,0,246,0,837.25,1
"2016-10-20","08:09:20",-16.394634,-71.502823,2475.6,0,149,0,64.14,1
"2016-10-20","08:12:50",-16.394945,-71.502022,2237.85,360,288,0,92.18,1
"2016-10-20","08:16:32",-16.394417,-71.502861,2445.28,4680,267,0,107.04,1
"2016-10-20","08:19:40",-16.394566,-71.50251,2372.52,0,227,0,40.94,1
"2016-10-20","08:22:54",-16.394594,-71.502892,2478.6,1872,143,0,40.87,1
"2016-10-20","08:24:04",-16.394543,-71.502724,2440.44,0,145,-1,18.8,1
"2016-10-20","08:27:14",-16.394329,-71.502739,2446.06,1152,191,0,23.85,1
"2016-10-20","08:30:28",-16.394129,-71.50264,2446.06,144,215,0,24.62,1
"2016-10-20","08:33:39",-16.39448,-71.503044,2455.5,0,56,0,58.14,1
"2016-10-20","08:36:49",-16.394524,-71.50322,2451.24,936,73,0,19.4,1
"2016-10-20","08:39:59",-16.394934,-71.504478,2440.98,4680,218,0,141.73,1
"2016-10-20","08:43:09",-16.394524,-71.504135,2442.9,6228,259,0,58.46,1
"2016-10-20","08:46:21",-16.394592,-71.503433,2444.49,5256,82,0,75.27,1
"2016-10-20","08:49:35",-16.394579,-71.502815,2425.31,1368,352,0,65.94,1
"2016-10-20","08:53:05",-16.394251,-71.502579,2435.33,2844,131,0,44.32,1
"2016-10-20","08:56:22",-16.394251,-71.502579,2435.33,2844,131,0,0,1
"2016-10-20","08:59:40",-16.394594,-71.502686,2438.75,1944,21,0,39.81,1
"2016-10-20","09:06:59",-16.39477,-71.503021,2463.93,0,0,0,40.74,1
"2016-10-20","09:21:36",-16.394112,-71.502678,2543.83,2340,40,0,81.81,1
"2016-10-20","09:37:41",-16.394917,-71.502838,2436.73,3096,190,0,91.12,1
"2016-10-20","10:09:21",-16.394278,-71.503036,2454.13,5004,42,-1,74.13,1
"2016-10-20","10:13:07",-16.394562,-71.502739,2470.98,1260,293,0,44.73,1
"2016-10-20","10:26:48",-16.394505,-71.502647,2546.09,2232,70,0,11.68,1
"2016-10-20","10:35:15",-16.394596,-71.502785,2438.02,648,301,0,17.86,1
"2016-10-20","10:38:49",-16.394644,-71.502502,2589.06,1188,189,0,30.66,1
"2016-10-20","10:44:59",-16.394548,-71.502678,2577.65,2772,229,0,21.6,1
"2016-10-20","10:49:20",-16.394464,-71.502487,2600.46,1116,7,-1,22.41,1
"2016-10-20","10:56:20",-16.394548,-71.502609,2581.8,936,166,0,16.02,1
"2016-10-20","11:03:39",-16.394461,-71.502609,2572.09,684,206,0,9.67,1
"2016-10-20","11:08:54",-16.394604,-71.502899,2358.73,0,138,0,34.78,1
"2016-10-20","11:13:59",-16.394518,-71.502777,2408.64,4644,221,0,16.15,1
"2016-10-20","11:24:33",-16.396231,-71.504005,2773.66,24444,212,0,231.17,1
"2016-10-20","11:25:09",-16.394634,-71.502747,2459.08,0,35,0,222.58,1
"2016-10-20","11:28:21",-16.394363,-71.5028,2480.98,6768,226,0,30.66,1
"2016-10-20","11:31:51",-16.39431,-71.502586,2442.24,2808,2,0,23.58,1
"2016-10-20","11:39:11",-16.39456,-71.502785,2478.64,5508,33,0,34.98,1
"2016-10-20","11:49:04",-16.39456,-71.502785,2478.64,5508,33,0,0,1
"2016-10-20","12:06:09",-16.394663,-71.502907,2464.68,468,243,0,17.34,1
"2016-10-20","12:23:40",-16.39451,-71.502563,2454.51,3528,214,0,40.45,1
"2016-10-20","12:27:21",-16.39435,-71.502113,2394.93,1620,250,0,51.19,1
"2016-10-20","12:37:04",-16.394598,-71.502518,2436.28,1872,216,0,51.25,1
"2016-10-20","12:40:10",-16.394499,-71.502663,2471.11,1548,47,0,18.99,1
"2016-10-20","12:43:16",-16.394611,-71.502831,2456.25,756,222,0,21.82,1
"2016-10-20","12:46:30",-16.394567,-71.502716,2447.16,1512,154,0,13.21,1
"2016-10-20","12:50:02",-16.394464,-71.502701,2456.67,900,273,0,11.56,1
"2016-10-20","12:53:30",-16.394627,-71.502853,2453.44,180,93,0,24.32,1
"2016-10-20","12:57:13",-16.394669,-71.502892,2447.78,1188,62,0,6.25,1
"2016-10-20","13:00:34",-16.394547,-71.502853,2473.79,720,273,0,14.19,1
"2016-10-20","13:05:04",-16.394476,-71.502792,2492.98,576,14,0,10.23,1
"2016-10-20","13:11:20",-16.394577,-71.502724,2453.55,972,121,0,13.37,1
"2016-10-20","13:14:30",-16.39464,-71.502747,2447.34,0,80,0,7.42,1
"2016-10-20","13:17:39",-16.394699,-71.502663,2437.13,0,276,0,11.11,1
"2016-10-20","13:20:52",-16.394611,-71.502899,2463.07,1368,106,0,27.01,1
"2016-10-20","13:24:10",-16.394684,-71.502716,2434.49,1512,223,0,21.14,1
"2016-10-20","13:27:24",-16.394556,-71.502617,2463.01,2052,136,0,17.72,1
"2016-10-20","13:30:31",-16.394548,-71.502396,2566.28,4068,135,0,23.59,1
"2016-10-20","13:33:39",-16.39468,-71.502701,2428.5,0,0,0,35.69,1
"2016-10-20","13:36:48",-16.394638,-71.502785,2449.33,0,248,0,10.1,1
