"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-18","08:49:20",-16.394028,-71.500465,2236,144,73,-2,0,1
"2016-10-18","08:53:06",-16.39398,-71.500664,2246.41,1620,196,0,21.89,1
"2016-10-18","08:58:22",-16.394854,-71.501938,2253.74,2232,218,0,167.08,1
"2016-10-18","09:03:14",-16.3944,-71.50219,2253.58,756,93,0,57.19,1
"2016-10-18","09:08:56",-16.394787,-71.502213,2254.86,3924,163,0,43.1,1
"2016-10-18","09:15:47",-16.394545,-71.502144,2263.94,1404,23,0,27.9,1
"2016-10-18","09:25:17",-16.394148,-71.503716,2627.2,1008,207,0,173.4,1
"2016-10-18","09:35:44",-16.39435,-71.502869,2441.71,432,339,0,93.1,1
"2016-10-18","09:45:12",-16.394274,-71.502899,2491.67,1548,122,0,9.04,1
"2016-10-18","09:51:01",-16.39467,-71.502678,2556.35,3132,1,-1,49.95,1
"2016-10-18","09:58:48",-16.394346,-71.502914,2483.95,612,323,0,43.95,1
"2016-10-18","10:05:31",-16.394485,-71.502747,2450.54,396,68,0,23.58,1
"2016-10-18","10:09:52",-16.394007,-71.503159,2555.47,1296,354,0,68.97,1
"2016-10-18","10:18:40",-16.394491,-71.502945,2467.42,0,0,0,58.46,1
"2016-10-18","10:27:33",-16.394495,-71.502655,2457.98,1296,47,0,30.94,1
"2016-10-18","10:35:09",-16.394598,-71.502876,2466.92,756,174,0,26.21,1
"2016-10-18","10:43:01",-16.394653,-71.502869,2460.15,324,95,0,6.16,1
"2016-10-18","10:49:58",-16.394758,-71.502769,2474.34,396,293,0,15.81,1
"2016-10-18","10:53:24",-16.394583,-71.502792,2454.93,2664,355,0,19.61,1
"2016-10-18","11:03:00",-16.394583,-71.502792,2454.93,2664,355,0,0,1
"2016-10-18","11:19:45",-16.394264,-71.502678,2504.08,3528,181,0,37.5,1
"2016-10-18","11:35:26",-16.394232,-71.502762,2526.41,0,242,-1,9.64,1
"2016-10-18","11:49:07",-16.394424,-71.502518,2414.99,3168,90,0,33.66,1
"2016-10-18","11:52:14",-16.394339,-71.502701,2444.27,0,98,0,21.69,1
"2016-10-18","11:55:44",-16.394306,-71.502808,2462.23,0,175,0,11.99,1
"2016-10-18","12:03:35",-16.393978,-71.502068,2322.11,0,163,0,86.96,1
"2016-10-18","12:06:48",-16.393835,-71.501205,2529.4,1188,119,0,93.42,1
"2016-10-18","12:10:21",-16.393539,-71.501671,2483.67,2124,131,0,59.62,1
"2016-10-18","12:15:48",-16.393742,-71.502411,2290.38,2160,30,0,82.1,1
"2016-10-18","12:21:59",-16.394375,-71.502525,2317.28,0,26,0,71.43,1
"2016-10-18","12:27:13",-16.394314,-71.502586,2337.9,1692,3,0,9.4,1
"2016-10-18","12:36:15",-16.394432,-71.502884,2424.3,1692,316,-1,34.39,1
"2016-10-18","12:40:33",-16.394297,-71.503227,2357.62,1404,317,0,39.55,1
"2016-10-18","12:53:29",-16.394516,-71.502846,2428.14,3132,165,0,47.38,1
"2016-10-18","13:13:51",-16.394314,-71.502937,2478.9,3492,146,0,24.47,1
"2016-10-18","13:17:06",-16.394627,-71.50296,2472.89,4068,62,0,34.89,1
"2016-10-18","13:20:40",-16.39456,-71.50296,2471.38,19296,166,0,7.45,1
"2016-10-18","13:22:23",-16.394428,-71.502945,2476.41,12168,140,0,14.76,1
"2016-10-18","13:23:06",-16.394428,-71.502945,2476.41,12168,140,0,0,1
"2016-10-18","13:26:14",-16.394159,-71.503067,2483.89,5400,149,0,32.62,1
"2016-10-18","13:29:21",-16.394646,-71.502953,2452.69,7056,176,0,55.5,1
"2016-10-18","13:32:27",-16.394442,-71.503014,2472.81,10512,159,0,23.6,1
"2016-10-18","13:33:01",-16.394327,-71.503113,2489.57,15516,160,0,16.58,1
"2016-10-18","13:33:36",-16.394373,-71.502991,2471.62,0,4,0,13.98,1
"2016-10-18","13:37:09",-16.394703,-71.502876,2433.16,1368,179,0,38.69,1
"2016-10-18","13:40:21",-16.394672,-71.502838,2438.6,3492,190,0,5.32,1
"2016-10-18","13:43:57",-16.394842,-71.502876,2430.38,180,271,0,19.33,1
"2016-10-18","13:47:06",-16.393963,-71.502945,2500.44,2628,180,0,98.02,1
"2016-10-18","13:50:16",-16.394459,-71.503006,2471.14,2232,317,0,55.54,1
"2016-10-18","13:53:24",-16.393801,-71.503105,2515.5,0,34,0,73.92,1
"2016-10-18","13:56:55",-16.394653,-71.502991,2458.84,4392,206,0,95.52,1
"2016-10-18","14:00:04",-16.394493,-71.502892,2457.85,0,21,0,20.69,1
"2016-10-18","14:03:13",-16.394238,-71.502815,2430.58,3600,241,0,29.52,1
"2016-10-18","14:06:25",-16.394064,-71.502815,2445.31,1584,185,0,19.35,1
"2016-10-18","14:09:35",-16.394529,-71.5028,2480.68,180,163,0,51.73,1
"2016-10-18","14:12:44",-16.394249,-71.502945,2466.04,2592,258,0,34.77,1
"2016-10-18","14:15:50",-16.39439,-71.50296,2492.27,4428,204,0,15.76,1
"2016-10-18","14:19:00",-16.394106,-71.503036,2485.37,1836,128,0,32.6,1
"2016-10-18","14:23:00",-16.394106,-71.503036,2485.37,1836,128,0,0,1
"2016-10-18","14:26:44",-16.394453,-71.502815,2464.48,1044,12,0,45.22,1
"2016-10-18","14:30:13",-16.394381,-71.50293,2456.78,1656,19,0,14.65,1
"2016-10-18","14:33:54",-16.394444,-71.503021,2489.28,4068,14,0,11.97,1
"2016-10-18","14:37:01",-16.394623,-71.503166,2487.85,2808,202,0,25.21,1
"2016-10-18","14:40:08",-16.39435,-71.502449,2539.27,0,267,0,82.29,1
"2016-10-18","14:43:48",-16.395264,-71.499054,5404.96,1440,82,0,376.15,1
"2016-10-18","14:47:17",-16.394451,-71.502831,2470.27,1512,143,0,412.92,1
"2016-10-18","14:50:23",-16.393988,-71.502609,2313.54,0,12,0,56.67,1
"2016-10-18","14:54:02",-16.394375,-71.502831,2469.66,1980,58,0,49.12,1
"2016-10-18","14:57:54",-16.394224,-71.502975,2530.2,324,349,0,22.76,1
