"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-13","07:57:34",-16.393236,-71.492645,2656.13,468,247,-2,0,1
"2016-10-13","08:01:17",-16.393236,-71.492645,2656.13,0,314,0,0,1
"2016-10-13","08:02:21",-16.393307,-71.49263,2632.18,5400,39,0,8.06,1
"2016-10-13","08:03:26",-16.393356,-71.492149,2650.95,0,52,0,51.6,1
"2016-10-13","08:04:31",-16.393248,-71.492081,2619.95,1548,178,0,14.03,1
"2016-10-13","08:05:36",-16.393227,-71.492081,2636.34,0,195,0,2.34,1
"2016-10-13","08:06:41",-16.393211,-71.49205,2681.96,1116,220,0,3.76,1
"2016-10-13","08:07:45",-16.393259,-71.49205,2644.69,0,237,0,5.34,1
"2016-10-13","08:08:49",-16.393421,-71.492195,2639.23,0,0,0,23.74,1
"2016-10-13","08:09:54",-16.393436,-71.49218,2649.01,0,14,0,2.31,1
"2016-10-13","08:10:58",-16.393393,-71.492172,2643.18,0,0,0,4.86,1
"2016-10-13","08:12:02",-16.393227,-71.492081,2653.17,0,194,0,20.86,1
"2016-10-13","08:13:09",-16.393204,-71.492065,2660.33,0,210,0,3.07,1
"2016-10-13","08:14:15",-16.393236,-71.492111,2658.22,0,194,0,6.06,1
"2016-10-13","08:15:20",-16.393385,-71.492134,2640.13,0,227,0,16.75,1
"2016-10-13","08:16:24",-16.393417,-71.492142,2649.19,3312,345,-4,3.66,1
"2016-10-13","09:46:28",-16.394596,-71.493752,2400.76,4104,251,-2,0,1
"2016-10-13","09:47:53",-16.393106,-71.492332,2662.8,1836,67,0,224.49,1
"2016-10-13","09:49:46",-16.39333,-71.492523,2610.41,4536,236,0,32.18,1
"2016-10-13","09:52:37",-16.39333,-71.492523,2610.41,4536,236,0,0,1
"2016-10-13","09:54:00",-16.393347,-71.492592,2604.15,144,21,0,7.6,1
"2016-10-13","09:55:38",-16.393373,-71.492332,2624.79,7488,145,0,27.89,1
"2016-10-13","09:56:06",-16.393608,-71.492287,2605.37,612,248,-1,26.57,1
"2016-10-13","09:56:56",-16.393518,-71.492233,2617.61,792,153,-1,11.55,1
"2016-10-13","09:58:03",-16.393482,-71.492264,2618.5,4644,157,0,5.19,1
"2016-10-13","10:00:19",-16.393526,-71.492325,2627.95,2664,225,0,8.14,1
"2016-10-13","10:02:10",-16.393921,-71.49221,2583.67,1944,85,0,45.6,1
"2016-10-13","10:03:22",-16.393566,-71.491699,2663.86,7128,248,0,67.3,1
"2016-10-13","10:04:33",-16.393707,-71.491821,2656.82,5796,47,0,20.38,1
"2016-10-13","10:05:44",-16.393873,-71.491974,2640.58,3312,184,0,24.64,1
"2016-10-13","10:06:49",-16.393486,-71.492249,2630.61,1296,23,0,52.08,1
"2016-10-13","10:07:56",-16.393641,-71.492371,2617.2,4248,271,0,21.6,1
