"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-25","15:50:28",-16.393421,-71.492157,2639.27,144,59,-2,0,1
"2016-10-25","15:52:26",-16.393438,-71.492241,2625.26,0,214,-1,9.16,1
"2016-10-25","15:52:35",-16.393459,-71.492195,2637.43,0,126,-1,5.43,1
"2016-10-25","15:53:01",-16.393473,-71.492226,2638.72,0,114,-1,3.66,1
"2016-10-25","15:53:14",-16.393503,-71.492226,2641.02,0,226,-1,3.34,1
"2016-10-25","15:56:21",-16.393503,-71.492126,2638.89,612,275,0,10.67,1
"2016-10-25","15:59:27",-16.393333,-71.492043,2581.62,396,41,0,20.87,1
"2016-10-25","16:02:33",-16.393457,-71.492195,2634.71,1080,85,0,21.28,1
"2016-10-25","16:05:42",-16.39348,-71.492126,2616.65,468,43,0,7.79,1
"2016-10-25","16:08:47",-16.39349,-71.492233,2606.68,1224,21,0,11.47,1
"2016-10-25","16:11:54",-16.393194,-71.492531,2632.14,1404,90,0,45.76,1
"2016-10-25","16:14:23",-16.393324,-71.492302,2641.38,288,116,-1,28.38,1
"2016-10-25","16:17:27",-16.393183,-71.492462,2635.85,5652,147,0,23.18,1
"2016-10-25","16:20:35",-16.393503,-71.492157,2624.36,0,119,-4,48.21,1
"2016-10-25","20:19:13",-16.39348,-71.492126,2622.91,1224,280,-2,0,1
"2016-10-25","20:27:11",-16.393385,-71.492218,2603.13,504,285,0,14.42,1
"2016-10-25","20:36:43",-16.393299,-71.492233,2582.49,540,287,0,9.7,1
"2016-10-25","20:43:36",-16.393496,-71.492195,2616.2,396,35,0,22.28,1
"2016-10-25","20:50:17",-16.393341,-71.492218,2559.64,864,68,0,17.41,1
"2016-10-25","20:53:30",-16.393093,-71.492462,2632.66,2232,134,0,37.92,1
"2016-10-25","20:56:43",-16.393343,-71.492249,2669.67,900,112,0,35.9,1
"2016-10-25","20:59:53",-16.393446,-71.492119,2646.53,0,48,0,17.99,1
"2016-10-25","21:03:09",-16.393503,-71.49205,2689.97,1620,151,0,9.71,1
"2016-10-25","21:06:16",-16.393463,-71.492073,2663.06,1584,252,0,5.08,1
"2016-10-25","21:09:52",-16.393431,-71.492142,2632.79,1224,105,-4,8.18,1
"2016-10-26","01:01:51",-16.39196,-71.491394,3291.97,252,58,-2,0,1
"2016-10-26","01:06:45",-16.393284,-71.49202,2705.57,1260,43,0,161.66,1
"2016-10-26","01:07:48",-16.393507,-71.492241,2616.78,792,279,-1,34.21,1
"2016-10-26","01:11:18",-16.393452,-71.492279,2615.82,144,219,0,7.34,1
"2016-10-26","01:14:39",-16.39329,-71.492073,2664.54,1116,69,0,28.41,1
"2016-10-26","01:17:57",-16.393633,-71.492386,2554.19,3996,235,0,50.69,1
"2016-10-26","01:21:09",-16.393404,-71.492867,2570.31,5292,266,0,57.28,1
"2016-10-26","01:24:11",-16.393356,-71.493301,2645.82,2808,244,0,46.6,1
"2016-10-26","01:27:10",-16.393305,-71.493095,2632.8,0,0,0,22.69,1
"2016-10-26","01:30:17",-16.393253,-71.493103,2633.14,0,34,0,5.84,1
"2016-10-26","01:33:32",-16.393579,-71.492172,2660.84,1368,184,0,105.72,1
