"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016/10/07"," 10:02:52",-16.393538,-71.492142,2653.55,1152,330,0,8.19,NA
"2016/10/07"," 10:04:04",-16.393551,-71.492073,2629.36,0,101,-1,7.5,NA
"2016/10/07"," 10:04:12",-16.393637,-71.492142,2636.27,792,217,-1,12.07,NA
"2016/10/07"," 10:07:25",-16.393637,-71.492142,2636.27,792,0,0,0,NA
"2016/10/07"," 10:10:30",-16.393585,-71.492363,2579.73,0,283,0,24.27,NA
"2016/10/07"," 10:13:37",-16.393591,-71.492088,2598.41,540,91,0,29.34,NA
"2016/10/07"," 10:16:45",-16.393612,-71.49221,2617.51,288,259,0,13.22,NA
"2016/10/07"," 10:20:01",-16.393671,-71.49221,2628.65,1008,180,0,6.56,NA
"2016/10/07"," 10:24:30",-16.393671,-71.49221,2628.65,1008,0,0,0,NA
"2016/10/07"," 10:30:13",-16.393969,-71.492691,2610.61,1296,237,0,61.08,NA
"2016/10/07"," 11:10:57",-16.393969,-71.492691,2610.61,1296,0,0,0,NA
"2016/10/07"," 11:39:10",-16.393496,-71.492538,2719.71,2520,17,0,55.07,NA
"2016/10/07"," 11:42:18",-16.393383,-71.492119,2617.89,0,74,0,46.43,NA
"2016/10/07"," 11:45:27",-16.393351,-71.49205,2661.55,36,64,0,8.18,1
"2016/10/07"," 11:48:34",-16.393955,-71.492249,2643.39,2736,197,0,70.44,1
"2016/10/07"," 11:51:49",-16.393194,-71.492393,2646.52,576,349,0,86,NA
"2016/10/07"," 11:55:07",-16.393347,-71.492401,2645.72,0,182,0,17.03,NA
"2016/10/07"," 11:58:19",-16.39369,-71.491928,2644.85,0,127,0,63.25,NA
"2016/10/07"," 12:01:29",-16.393476,-71.492096,2624.34,0,323,0,29.79,NA
"2016/10/07"," 12:04:38",-16.393444,-71.492043,2661.5,0,57,0,6.68,NA
"2016/10/07"," 12:07:47",-16.393774,-71.492035,2664.82,0,178,0,36.7,NA
"2016/10/07"," 12:11:19",-16.393539,-71.492195,2666.08,468,326,0,31.21,1
"2016/10/07"," 12:14:59",-16.393389,-71.492111,2644.16,3024,28,0,18.93,1
"2016/10/07"," 12:18:43",-16.393349,-71.492294,2647.58,3168,282,0,20.02,NA
"2016/10/07"," 12:22:07",-16.393341,-71.492035,2644.95,2052,88,0,27.64,NA
"2016/10/07"," 12:25:18",-16.393646,-71.492157,2653.22,0,200,0,36.33,NA
"2016/10/07"," 12:28:31",-16.393555,-71.492104,2629.21,1944,29,0,11.59,NA
"2016/10/07"," 12:31:45",-16.393482,-71.492043,2626.09,108,38,0,10.4,NA
"2016/10/07"," 12:34:54",-16.393589,-71.492126,2647.33,216,216,0,14.83,NA
"2016/10/07"," 12:38:20",-16.393534,-71.492058,2645.64,1008,49,0,9.49,NA
"2016/10/07"," 12:45:34",-16.393534,-71.492058,2645.64,1008,0,0,0,NA
"2016/10/07"," 12:59:42",-16.393347,-71.492073,2644.54,0,355,0,20.85,NA
"2016/10/07"," 13:02:52",-16.393393,-71.49231,2639.8,792,258,0,25.79,NA
"2016/10/07"," 13:06:27",-16.393431,-71.491997,2638.06,648,97,0,33.66,NA
"2016/10/07"," 13:15:07",-16.393431,-71.491997,2638.06,648,0,0,0,NA
"2016/10/07"," 13:18:49",-16.393375,-71.49202,2627.61,1260,338,0,6.69,NA
"2016/10/07"," 13:26:12",-16.393579,-71.492271,2617.68,468,229,0,35.09,NA
"2016/10/07"," 13:35:23",-16.393377,-71.492142,2620.21,1044,31,0,26.34,NA
"2016/10/07"," 13:49:17",-16.393377,-71.492142,2620.21,1044,0,0,0,NA
"2016/10/07"," 14:06:50",-16.39348,-71.492188,2641.85,0,203,0,12.46,NA
"2016/10/07"," 14:10:05",-16.393404,-71.492043,2663.65,972,61,0,17.63,NA
"2016/10/07"," 14:13:16",-16.393389,-71.492043,2635.16,0,0,0,1.67,NA
"2016/10/07"," 14:16:23",-16.393393,-71.492142,2636.53,396,267,0,10.57,NA
"2016/10/07"," 14:19:32",-16.393429,-71.492142,2634.56,4067,180,0,4,NA
"2016/10/07"," 14:22:47",-16.393543,-71.491829,2582.22,828,110,0,35.71,NA
"2016/10/07"," 14:28:13",-16.393391,-71.492004,2650.08,1476,312,0,25.18,NA
"2016/10/07"," 14:31:38",-16.393539,-71.492134,2637.46,972,220,0,21.52,NA
"2016/10/07"," 14:34:46",-16.393543,-71.492119,2641.6,3168,105,0,1.66,NA
"2016/10/07"," 14:38:03",-16.393677,-71.492165,2646.02,6408,198,0,15.69,NA
"2016/10/07"," 14:41:14",-16.393585,-71.492172,2654.82,468,355,0,10.26,NA
