"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-12-06","07:49:42",-16.393682,-71.499992,2517.65,468,126,-2,0,1
"2016-12-06","07:50:35",-16.393698,-71.500023,2510.94,0,249,-1,3.76,1
"2016-12-06","07:50:53",-16.393702,-71.500023,2510.51,0,194,-1,0.44,1
"2016-12-06","07:53:56",-16.393782,-71.500092,2498.59,3708,8,0,11.55,1
"2016-12-06","07:56:54",-16.393764,-71.499893,2537.04,2016,47,-1,21.32,1
"2016-12-06","08:00:06",-16.393688,-71.499893,2515.23,5544,354,0,8.45,1
"2016-12-06","08:03:31",-16.393869,-71.500137,2604.22,1800,319,0,32.9,1
"2016-12-06","08:06:43",-16.393715,-71.500015,2512.73,756,175,0,21.51,1
"2016-12-06","08:09:25",-16.393667,-71.500252,2609.94,324,259,-1,25.84,1
"2016-12-06","08:13:39",-16.393505,-71.500198,2542.59,0,110,0,18.91,1
"2016-12-06","08:16:46",-16.393646,-71.500069,2516.67,1800,325,0,20.86,1
"2016-12-06","08:19:53",-16.393711,-71.500038,2508.7,1728,30,0,7.95,1
"2016-12-06","08:22:58",-16.393738,-71.499992,2515.99,1836,70,0,5.75,1
"2016-12-06","08:26:03",-16.393675,-71.5,2518.74,648,0,0,7.06,1
"2016-12-06","08:29:09",-16.393702,-71.500031,2533.67,0,0,0,4.47,1
"2016-12-06","08:32:15",-16.393663,-71.500046,2557.34,1296,322,0,4.62,1
"2016-12-06","08:35:23",-16.393759,-71.499939,2487.31,0,197,0,15.63,1
"2016-12-06","08:38:34",-16.393698,-71.5,2512.79,648,221,0,9.4,1
"2016-12-06","08:41:43",-16.393745,-71.500015,2518.99,0,241,0,5.47,1
"2016-12-06","08:44:50",-16.393698,-71.499969,2508.48,1080,138,0,7.17,1
"2016-12-06","08:48:08",-16.393747,-71.499985,2507.63,540,345,0,5.71,1
"2016-12-06","08:51:16",-16.393749,-71.500015,2432.06,720,0,0,3.21,1
"2016-12-06","08:54:35",-16.393719,-71.499985,2514.49,576,147,0,4.62,1
"2016-12-06","08:57:42",-16.393705,-71.500114,2525.5,684,111,0,13.85,1
"2016-12-06","09:01:03",-16.393686,-71.50013,2522.38,1044,244,0,2.72,1
"2016-12-06","09:04:25",-16.3937,-71.499725,2515.1,324,32,0,43.23,1
"2016-12-06","09:07:37",-16.393681,-71.499886,2515.72,1656,57,0,17.3,1
"2016-12-06","09:10:49",-16.394167,-71.500923,2595.87,576,24,0,123.12,1
"2016-12-06","09:14:27",-16.393782,-71.499947,2518.79,252,356,0,112.57,1
"2016-12-06","09:15:03",-16.393818,-71.499992,2517.09,0,291,-1,6.25,1
"2016-12-06","09:15:56",-16.393818,-71.499771,2501.87,9072,104,-1,23.58,1
"2016-12-06","09:19:09",-16.393871,-71.500145,2528.02,3816,130,0,40.33,1
"2016-12-06","09:21:10",-16.393852,-71.500069,2541.56,900,184,-1,8.38,1
"2016-12-06","09:24:18",-16.393736,-71.5,2508.61,0,56,0,14.85,1
"2016-12-06","09:27:27",-16.393745,-71.500023,2520.16,0,0,0,2.65,1
"2016-12-06","09:30:36",-16.3937,-71.500031,2527.59,288,285,0,5.08,1
"2016-12-06","09:33:46",-16.393764,-71.500015,2524.64,36,0,0,7.32,1
"2016-12-06","09:36:55",-16.393723,-71.5,2521.14,504,0,0,4.83,1
"2016-12-06","09:39:59",-16.393738,-71.500008,2519.92,0,0,0,1.87,1
"2016-12-06","09:43:07",-16.393724,-71.5,2517.98,936,9,0,1.78,1
"2016-12-06","09:46:13",-16.393602,-71.5,2486.62,1224,355,0,13.57,1
"2016-12-06","09:49:21",-16.393814,-71.499992,2538.98,432,19,0,23.59,1
"2016-12-06","09:52:26",-16.393772,-71.500031,2517.66,432,49,0,6.25,1
"2016-12-06","09:55:41",-16.393465,-71.499893,2472.46,900,128,-4,37.18,1
"2016-12-06","10:00:38",-16.393744,-71.499939,2505.45,4644,2,-2,0,1
"2016-12-06","10:03:49",-16.393591,-71.500031,2516.94,1116,0,0,19.64,1
"2016-12-06","13:17:27",-16.393797,-71.5,2525.84,756,101,-4,23.14,1
"2016-12-06","13:21:07",-16.394201,-71.500397,2556.61,2952,73,-2,0,1
"2016-12-06","13:24:17",-16.39386,-71.500023,2538.69,0,167,0,55.04,1
"2016-12-06","13:24:46",-16.393631,-71.499977,2526.69,2016,229,-1,25.93,1
"2016-12-06","13:28:29",-16.393698,-71.500046,2529.42,0,182,0,10.47,1
"2016-12-06","13:31:37",-16.393654,-71.499962,2520.43,1620,356,0,10.21,1
"2016-12-06","13:34:48",-16.393774,-71.499969,2509.41,0,300,0,13.36,1
