"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-22","08:12:33",-16.393738,-71.500015,2519.81,612,15,-2,0,1
"2016-11-22","08:15:36",-16.393732,-71.5,2520.66,1584,84,0,1.73,1
"2016-11-22","08:18:17",-16.393795,-71.500023,2504.65,1908,84,-1,7.42,1
"2016-11-22","08:21:22",-16.393824,-71.500114,2500.42,3168,20,0,10.23,1
"2016-11-22","08:24:25",-16.393747,-71.5,2518.58,3024,106,0,14.87,1
"2016-11-22","08:27:31",-16.393635,-71.500038,2564.87,0,220,0,13.1,1
"2016-11-22","08:30:38",-16.393671,-71.500053,2546.73,2196,77,0,4.31,1
"2016-11-22","08:33:44",-16.393705,-71.500092,2548.99,2628,40,0,5.62,1
"2016-11-22","08:36:50",-16.39357,-71.500008,2518.39,0,0,0,17.48,1
"2016-11-22","08:39:59",-16.393738,-71.499962,2517.89,2124,32,0,19.31,1
"2016-11-22","08:43:16",-16.393684,-71.499977,2537.85,0,167,0,6.21,1
"2016-11-22","08:46:44",-16.393742,-71.500099,2536.75,1764,258,0,14.52,1
"2016-11-22","08:50:07",-16.394699,-71.500137,2569.91,6048,10,0,106.49,1
"2016-11-22","08:53:39",-16.393724,-71.500206,2562.28,900,113,0,108.66,1
"2016-11-22","08:56:49",-16.393818,-71.500298,2553.82,2268,111,0,14.34,1
"2016-11-22","09:00:03",-16.393759,-71.499977,2536.36,0,88,0,34.87,1
"2016-11-22","09:03:25",-16.3937,-71.500412,2521.65,972,306,0,46.86,1
"2016-11-22","09:06:38",-16.393074,-71.501419,2537.48,1980,182,0,128,1
"2016-11-22","09:10:10",-16.39356,-71.501244,2510.4,1872,104,0,57.17,1
"2016-11-22","09:14:15",-16.393702,-71.498848,3472.78,24300,92,0,256.08,1
"2016-11-22","09:14:55",-16.393543,-71.501404,2522.17,5184,203,0,273.23,1
"2016-11-22","09:18:10",-16.39357,-71.501274,2542.84,4716,274,0,14.19,1
"2016-11-22","09:21:18",-16.393349,-71.500931,2520.73,0,54,0,44.08,1
"2016-11-22","09:24:30",-16.393673,-71.499977,2513.05,0,356,0,107.96,1
