"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-28","08:09:16",-16.393679,-71.499756,2534.66,1404,25,-2,0,1
"2016-11-28","08:12:22",-16.393454,-71.49987,2503.47,756,112,0,27.82,1
"2016-11-28","08:15:27",-16.394014,-71.499336,2457.88,0,352,0,84.39,1
"2016-11-28","08:18:32",-16.393473,-71.499733,2480.12,0,352,0,73.57,1
"2016-11-28","08:21:44",-16.393263,-71.499855,2551.07,432,319,0,26.73,1
"2016-11-28","08:24:59",-16.393467,-71.49987,2576.7,576,252,0,22.74,1
"2016-11-28","08:27:08",-16.393559,-71.499763,2550.78,0,0,-1,15.33,1
"2016-11-28","08:30:16",-16.39337,-71.499855,2496.59,0,140,0,23.19,1
"2016-11-28","08:33:27",-16.393507,-71.499954,2614.32,324,267,0,18.54,1
"2016-11-28","08:36:36",-16.392828,-71.499992,2929.34,1260,192,0,75.61,1
"2016-11-28","08:39:42",-16.39332,-71.500114,2521.03,0,284,0,56.23,1
"2016-11-28","08:42:53",-16.393213,-71.500023,2549.32,144,340,0,15.36,1
"2016-11-28","08:46:01",-16.393251,-71.500313,2474.29,1656,20,0,31.22,1
"2016-11-28","08:49:18",-16.393158,-71.499947,2571.21,684,306,-4,40.39,1
"2016-11-28","11:57:40",-16.393158,-71.499947,2571.21,684,306,-2,0,1
"2016-11-28","12:00:49",-16.393736,-71.49987,2478.29,648,136,0,64.79,1
"2016-11-28","12:03:54",-16.393526,-71.499741,2456.2,0,0,0,27.1,1
"2016-11-28","12:13:32",-16.393526,-71.499741,2456.2,0,0,0,0,1
"2016-11-28","12:16:39",-16.393435,-71.499741,2450.52,324,313,0,10.12,1
"2016-11-28","12:19:41",-16.39315,-71.50061,2457.97,0,72,0,97.97,1
"2016-11-28","12:22:47",-16.394196,-71.502129,2462.77,9504,233,0,199.46,1
"2016-11-28","12:25:50",-16.395851,-71.5065,2415.39,9288,253,0,501.27,1
"2016-11-28","12:28:52",-16.39747,-71.509384,2382.55,7560,235,0,356.45,1
"2016-11-28","12:31:56",-16.399485,-71.510834,2389.2,5940,109,0,272.26,1
"2016-11-28","12:35:01",-16.401402,-71.510406,2379.74,612,230,0,218,1
"2016-11-28","12:38:03",-16.401903,-71.51062,2415.89,0,300,0,60.2,1
"2016-11-28","12:41:11",-16.402061,-71.510834,2409.15,612,343,0,28.81,1
"2016-11-28","12:44:19",-16.401966,-71.510521,2387.38,648,138,0,35.02,1
"2016-11-28","12:47:23",-16.402092,-71.51088,2432.48,720,235,0,40.78,1
"2016-11-28","12:50:29",-16.402205,-71.510849,2434.93,576,341,0,12.99,1
"2016-11-28","12:53:24",-16.401312,-71.510193,2521.39,324,96,-1,121.48,1
"2016-11-28","12:53:38",-16.401405,-71.510033,2479.23,2340,137,-1,19.96,1
"2016-11-28","12:54:16",-16.401712,-71.510475,2460.66,20700,235,-1,58.21,1
"2016-11-28","12:54:50",-16.401909,-71.510101,2458.82,0,30,0,45.51,1
"2016-11-28","12:57:56",-16.400743,-71.507797,2521.65,5796,61,0,277.87,1
"2016-11-28","13:00:53",-16.399141,-71.506363,2442.51,1188,321,-1,234.8,1
"2016-11-28","13:01:06",-16.39912,-71.506401,2470.91,2268,70,-1,4.68,1
"2016-11-28","13:04:09",-16.398392,-71.506935,2473.78,0,230,0,98.98,1
"2016-11-28","13:07:16",-16.396351,-71.507324,2471.9,4752,36,0,230.71,1
"2016-11-28","13:10:19",-16.394577,-71.506508,2604.49,10620,117,0,215.61,1
"2016-11-28","13:10:52",-16.395109,-71.504784,2519.85,5508,43,0,193.19,1
"2016-11-28","13:13:55",-16.393988,-71.502251,2453.12,3708,71,0,297.57,1
"2016-11-28","13:16:58",-16.392904,-71.501434,2558.59,7092,88,0,148.74,1
"2016-11-28","13:20:01",-16.392561,-71.499786,2394.04,5076,199,0,179.89,1
"2016-11-28","13:23:04",-16.392458,-71.499687,2409.03,0,0,0,15.58,1
"2016-11-28","13:26:07",-16.392427,-71.49971,2390.23,0,192,0,4.23,1
"2016-11-28","13:27:17",-16.392857,-71.499741,2414.85,6048,291,-4,47.93,1
"2016-11-28","13:29:42",-16.392824,-71.499687,2403.05,432,296,-2,0,1
"2016-11-28","13:30:38",-16.392229,-71.499786,2453.18,0,338,-1,67,1
"2016-11-28","13:33:44",-16.392908,-71.49971,2397.16,0,351,0,75.94,1
"2016-11-28","13:36:51",-16.39283,-71.499847,2418.49,468,195,0,16.99,1
"2016-11-28","13:40:22",-16.392828,-71.500046,2435.18,2412,333,0,21.23,1
"2016-11-28","13:43:30",-16.393051,-71.499825,2463.96,252,317,0,34.21,1
