"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-04","07:50:33",-16.388775,-71.523575,2430.69,1368,125,-2,0,1
"2016-11-04","08:01:27",-16.388775,-71.523575,2430.69,180,141,0,0,1
"2016-11-04","08:13:25",-16.388746,-71.523582,2437.61,252,178,0,3.31,1
"2016-11-04","08:16:32",-16.388676,-71.52359,2430.11,0,203,0,7.83,1
"2016-11-04","08:19:38",-16.388718,-71.523567,2439.26,0,137,0,5.28,1
"2016-11-04","08:22:43",-16.388704,-71.523582,2427.79,0,292,0,2.23,1
"2016-11-04","08:25:48",-16.388779,-71.523582,2436.12,0,0,0,8.34,1
"2016-11-04","08:28:56",-16.388851,-71.523598,2449.79,1188,314,0,8.19,1
"2016-11-04","08:32:06",-16.388741,-71.523567,2429.09,864,297,0,12.67,1
"2016-11-04","08:35:14",-16.388958,-71.523529,2429.49,0,0,0,24.47,1
"2016-11-04","08:38:26",-16.388927,-71.52356,2438.74,432,0,0,4.78,1
"2016-11-04","08:41:39",-16.388912,-71.523575,2435.92,1080,161,0,2.31,1
"2016-11-04","08:44:53",-16.388901,-71.523575,2448.52,0,0,0,1.22,1
"2016-11-04","08:48:07",-16.388756,-71.52356,2436.8,0,209,0,16.2,1
"2016-11-04","08:51:18",-16.388737,-71.52359,2425.53,540,8,0,3.83,1
"2016-11-04","08:54:31",-16.38872,-71.523582,2429.66,0,331,0,2.07,1
"2016-11-04","08:57:46",-16.388689,-71.523643,2434.18,0,313,0,7.36,1
"2016-11-04","09:00:57",-16.388773,-71.52359,2434.33,0,6,0,10.92,1
"2016-11-04","09:04:11",-16.388657,-71.523506,2421.44,1116,125,0,15.71,1
"2016-11-04","09:07:30",-16.38876,-71.523552,2440.49,684,341,0,12.46,1
"2016-11-04","09:10:42",-16.388781,-71.523567,2437.81,468,38,0,2.83,1
"2016-11-04","09:13:51",-16.388805,-71.523552,2439.89,1008,224,0,3.11,1
"2016-11-04","09:17:04",-16.388758,-71.52356,2432.31,540,29,0,5.3,1
"2016-11-04","09:20:18",-16.388767,-71.523552,2447.88,360,202,0,1.32,1
"2016-11-04","09:23:32",-16.388716,-71.523514,2435.87,324,50,0,6.97,1
"2016-11-04","09:26:47",-16.38875,-71.523651,2417.96,468,168,0,15.1,1
"2016-11-04","09:30:13",-16.388786,-71.523499,2446.43,612,295,0,16.7,1
"2016-11-04","09:33:43",-16.388851,-71.523773,2373.49,2052,54,0,30.11,1
"2016-11-04","09:37:35",-16.388779,-71.52359,2427.08,972,35,0,21.1,1
"2016-11-04","09:41:20",-16.388712,-71.523361,2514.43,612,247,0,25.54,1
"2016-11-04","09:45:27",-16.388376,-71.522484,2712.59,1800,110,0,100.74,1
"2016-11-04","09:50:01",-16.388742,-71.52359,2447.13,396,352,0,124.81,1
"2016-11-04","09:54:25",-16.388834,-71.523598,2443.25,720,73,0,10.27,1
"2016-11-04","09:57:38",-16.388969,-71.523735,2429.35,1692,72,0,20.95,1
"2016-11-04","10:00:57",-16.389017,-71.523964,2408.74,72,35,0,25.01,1
"2016-11-04","10:04:10",-16.388828,-71.523643,2469.6,864,192,0,40.18,1
"2016-11-04","10:07:21",-16.388729,-71.523476,2461.98,1836,355,0,20.94,1
"2016-11-04","10:10:38",-16.38872,-71.523605,2442.83,0,251,0,13.8,1
"2016-11-04","10:13:46",-16.388824,-71.523575,2449.61,1152,246,0,12,1
"2016-11-04","10:16:58",-16.388811,-71.523552,2449.19,0,177,0,2.85,1
"2016-11-04","10:20:08",-16.388716,-71.523575,2448.7,0,248,0,10.84,1
"2016-11-04","10:23:16",-16.388798,-71.523582,2445.5,0,63,0,9.15,1
"2016-11-04","10:26:30",-16.388758,-71.523521,2449.46,648,23,0,7.88,1
"2016-11-04","10:29:41",-16.388926,-71.523643,2447.99,0,234,0,22.77,1
"2016-11-04","10:32:48",-16.388981,-71.523735,2441.75,108,233,0,11.56,1
"2016-11-04","10:35:56",-16.388851,-71.523682,2445.35,0,293,0,15.52,1
"2016-11-04","10:39:02",-16.388813,-71.523613,2443.87,792,265,0,8.49,1
"2016-11-04","10:42:11",-16.388725,-71.523338,2451.07,0,53,0,30.93,1
"2016-11-04","10:45:21",-16.388786,-71.523605,2444.32,0,4,0,29.28,1
"2016-11-04","10:48:48",-16.388735,-71.523445,2451.9,0,180,0,17.99,1
"2016-11-04","10:52:11",-16.38888,-71.523605,2453.21,432,18,0,23.48,1
"2016-11-04","10:55:21",-16.388729,-71.523529,2444.56,0,192,0,18.65,1
"2016-11-04","11:02:40",-16.388729,-71.523529,2444.56,0,192,0,0,1
"2016-11-04","11:17:25",-16.389208,-71.523834,2447.93,1980,69,0,62.41,1
"2016-11-04","11:33:05",-16.389086,-71.523529,2430.29,0,256,0,35.25,1
"2016-11-04","11:36:33",-16.389027,-71.523399,2426.11,612,311,0,15.34,1
"2016-11-04","11:46:43",-16.389229,-71.52372,2471.07,756,291,0,40.95,1
"2016-11-04","11:56:04",-16.389439,-71.523682,2467.84,1152,330,0,23.7,1
"2016-11-04","12:05:32",-16.389277,-71.523697,2447.66,1944,358,0,18.08,1
"2016-11-04","12:14:11",-16.388741,-71.52356,2405.08,3636,8,0,61.37,1
"2016-11-04","12:17:42",-16.389668,-71.523491,2460.26,1224,294,0,103.34,1
"2016-11-04","12:22:48",-16.389217,-71.523758,2412.14,540,334,0,57.67,1
"2016-11-04","12:27:53",-16.389088,-71.523605,2445.64,432,309,0,21.73,1
"2016-11-04","12:33:51",-16.389404,-71.523682,2480.79,1764,82,0,36.08,1
"2016-11-04","12:40:45",-16.388966,-71.523758,2387.26,1224,359,0,49.37,1
"2016-11-04","12:47:17",-16.389029,-71.523804,2391.81,1152,315,0,8.55,1
"2016-11-04","12:52:58",-16.389145,-71.523712,2442.42,2880,196,0,16.21,1
"2016-11-04","12:57:12",-16.389139,-71.523643,2422.74,1188,359,0,7.39,1
"2016-11-04","13:04:13",-16.389135,-71.523499,2463.6,1440,48,0,15.37,1
"2016-11-04","13:07:49",-16.388983,-71.523743,2403.45,2880,256,0,31.04,1
