"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-11","08:56:09",-16.389217,-71.524635,2422.92,1584,356,-2,0,1
"2016-10-11","09:11:56",-16.389217,-71.524635,2422.92,1116,320,0,0,1
"2016-10-11","09:14:56",-16.389328,-71.524452,2376.91,2592,109,0,23.1,1
"2016-10-11","09:17:58",-16.389257,-71.524597,2386.81,792,266,0,17.37,1
"2016-10-11","09:21:02",-16.389635,-71.524796,2440.13,3888,269,0,47.09,1
"2016-10-11","09:24:08",-16.389557,-71.525162,2447.81,2880,291,0,40,1
"2016-10-11","09:27:10",-16.389927,-71.526337,2434.91,4428,233,0,131.92,1
"2016-10-11","09:30:11",-16.388971,-71.525177,2265.22,4860,89,0,163.13,1
"2016-10-11","09:33:27",-16.389151,-71.524063,2412.82,1620,47,0,120.51,1
"2016-10-11","09:36:33",-16.388634,-71.523384,2392.81,0,19,0,92.47,1
"2016-10-11","09:39:44",-16.389019,-71.523926,2440.26,0,316,0,71.94,1
"2016-10-11","09:42:51",-16.388786,-71.523575,2403.73,0,0,0,45.53,1
"2016-10-11","09:46:18",-16.38872,-71.523689,2452.4,900,174,0,14.2,1
"2016-10-11","09:49:37",-16.388788,-71.523651,2469.81,252,57,0,8.58,1
"2016-10-11","09:51:28",-16.388769,-71.523613,2426.65,0,41,-1,4.57,1
"2016-10-11","09:51:52",-16.388811,-71.523628,2446.82,1512,285,-1,4.94,1
"2016-10-11","09:52:59",-16.388798,-71.523628,2440.57,540,314,-1,1.45,1
"2016-10-11","09:56:34",-16.388859,-71.523628,2451.21,864,243,0,6.78,1
"2016-10-11","10:00:26",-16.388781,-71.52356,2411.57,684,239,0,11.31,1
"2016-10-11","10:04:49",-16.388815,-71.523552,2422.73,1908,204,0,3.88,1
"2016-10-11","10:08:03",-16.388792,-71.523582,2463.27,1260,54,0,4.1,1
"2016-10-11","10:11:17",-16.388739,-71.523582,2444.81,1332,16,0,5.89,1
"2016-10-11","10:14:42",-16.388752,-71.52359,2447.35,540,5,0,1.68,1
"2016-10-11","10:18:12",-16.388973,-71.523407,2436.38,1044,191,0,31.38,1
"2016-10-11","10:22:02",-16.389082,-71.52346,2434.17,1836,43,0,13.37,1
"2016-10-11","10:26:05",-16.389122,-71.523483,2412.38,1296,251,0,5.08,1
"2016-10-11","10:30:01",-16.389057,-71.523483,2426.1,1044,10,0,7.23,1
"2016-10-11","10:33:18",-16.389034,-71.523643,2450.37,2448,357,0,17.26,1
"2016-10-11","12:19:46",-16.389034,-71.523643,2450.37,2448,357,0,0,1
"2016-10-11","12:40:03",-16.389097,-71.523636,2431.53,648,139,0,7.04,1
"2016-10-11","12:43:33",-16.389069,-71.523804,2417.72,648,298,0,18.19,1
"2016-10-11","13:01:08",-16.389139,-71.523766,2452.86,72,39,0,8.78,1
"2016-10-11","13:03:41",-16.389128,-71.523682,2427.9,3492,256,-1,9.04,1
"2016-10-11","13:06:53",-16.389477,-71.523705,2452.29,720,0,0,38.88,1
"2016-10-11","13:10:26",-16.388811,-71.523918,2384.11,2484,309,0,77.46,1
"2016-10-11","13:18:50",-16.389021,-71.523659,2415.81,2376,337,0,36.18,1
"2016-10-11","13:24:57",-16.389206,-71.523605,2442.36,1872,201,0,21.36,1
"2016-10-11","13:30:07",-16.388443,-71.523888,2353.55,1404,157,0,90.05,1
"2016-10-11","13:33:57",-16.388443,-71.523888,2353.55,1404,157,0,0,1
"2016-10-11","13:37:10",-16.389719,-71.523544,2503.1,3888,183,0,146.55,1
"2016-10-11","13:40:28",-16.388285,-71.523918,2349.83,0,0,-4,164.37,1
"2016-10-11","15:54:57",-16.389236,-71.523796,2427.65,108,89,-2,0,1
"2016-10-11","15:58:04",-16.389351,-71.523872,2424.14,0,307,0,15.14,1
"2016-10-11","16:01:13",-16.389238,-71.524048,2422,1440,334,0,22.59,1
"2016-10-11","16:04:20",-16.389477,-71.523987,2448.29,0,109,0,27.36,1
"2016-10-11","16:08:10",-16.389275,-71.524162,2423.57,432,352,0,29.21,1
"2016-10-11","16:11:52",-16.38921,-71.524193,2422.01,1584,297,0,7.95,1
"2016-10-11","16:16:18",-16.390024,-71.523605,2503.99,0,128,0,110.12,1
"2016-10-11","16:19:47",-16.389412,-71.523979,2440.16,756,140,0,78.88,1
"2016-10-11","16:24:04",-16.389437,-71.523987,2430.08,4176,152,0,2.91,1
"2016-10-11","16:27:55",-16.389277,-71.524071,2429.19,792,95,0,19.92,1
"2016-10-11","16:31:23",-16.389118,-71.524086,2415.5,324,128,0,17.75,1
"2016-10-11","16:35:04",-16.389448,-71.523949,2450.55,0,198,0,39.5,1
"2016-10-11","16:38:10",-16.389183,-71.523857,2419.64,648,136,-4,31.06,1
"2016-10-11","17:31:40",-16.390076,-71.523666,2837.04,1728,74,-2,0,1
"2016-10-11","17:32:27",-16.389008,-71.523888,2357.15,828,134,0,121.09,1
"2016-10-11","17:35:35",-16.389072,-71.523788,2387.28,324,76,0,12.82,1
"2016-10-11","17:38:44",-16.389214,-71.523804,2429.14,504,39,0,15.88,1
"2016-10-11","17:42:01",-16.389284,-71.523819,2411.95,360,343,0,7.95,1
"2016-10-11","17:45:29",-16.389126,-71.523804,2426.71,1152,16,0,17.64,1
"2016-10-11","17:48:46",-16.389164,-71.523827,2409.65,1008,0,0,4.89,1
"2016-10-11","17:52:29",-16.38916,-71.523811,2415.16,684,72,0,1.76,1
"2016-10-11","17:56:36",-16.389236,-71.523804,2433.56,468,337,0,8.48,1
"2016-10-11","18:00:08",-16.389257,-71.523788,2425.97,540,204,0,2.89,1
"2016-10-11","18:03:58",-16.389244,-71.52375,2443.94,0,0,0,4.3,1
"2016-10-11","18:07:02",-16.389221,-71.52375,2429.5,0,0,0,2.56,1
"2016-10-11","18:10:09",-16.389229,-71.523819,2412.37,324,0,0,7.41,1
"2016-10-11","18:13:16",-16.389233,-71.523766,2425.05,540,0,0,5.67,1
"2016-10-11","18:16:23",-16.389242,-71.523827,2409.1,288,0,0,6.58,1
"2016-10-11","18:19:29",-16.389238,-71.523819,2421.6,468,0,0,0.96,1
"2016-10-11","18:22:34",-16.389217,-71.523781,2424.68,36,346,0,4.68,1
"2016-10-11","18:25:39",-16.389208,-71.523743,2454.79,252,260,0,4.18,1
"2016-10-11","18:28:43",-16.38924,-71.523796,2400.55,504,146,0,6.68,1
"2016-10-11","18:31:45",-16.389162,-71.523727,2495.01,792,359,0,11.38,1
