"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-25","08:40:33",-16.388895,-71.523575,2427.93,2736,149,-2,0,1
"2016-11-25","08:43:37",-16.388891,-71.523659,2444.22,288,0,0,8.97,1
"2016-11-25","08:47:04",-16.388819,-71.523659,2435.39,1440,0,0,8.01,1
"2016-11-25","08:50:11",-16.388821,-71.523613,2429.64,504,31,0,4.91,1
"2016-11-25","08:53:21",-16.388893,-71.523628,2428.26,108,0,0,8.16,1
"2016-11-25","08:56:31",-16.388876,-71.523567,2446.61,684,212,0,6.78,1
"2016-11-25","08:59:43",-16.388823,-71.523582,2440.06,360,185,0,6.11,1
"2016-11-25","09:02:53",-16.388943,-71.523491,2442.68,576,161,0,16.5,1
"2016-11-25","09:06:02",-16.389225,-71.523636,2446.21,0,21,0,34.96,1
"2016-11-25","09:09:14",-16.389261,-71.523659,2442.53,792,0,0,4.7,1
"2016-11-25","09:12:25",-16.389259,-71.523621,2440.56,252,0,0,4.06,1
"2016-11-25","09:15:36",-16.389181,-71.523567,2441.82,720,22,0,10.41,1
"2016-11-25","09:18:46",-16.389181,-71.523605,2425.93,1764,0,0,4.05,1
"2016-11-25","09:21:52",-16.389208,-71.523643,2449.6,0,42,0,5.04,1
"2016-11-25","09:25:02",-16.389128,-71.523643,2443.12,828,0,0,8.9,1
"2016-11-25","09:28:13",-16.38925,-71.523666,2446.69,0,340,0,13.79,1
"2016-11-25","09:31:20",-16.389128,-71.523575,2431.07,0,84,0,16.68,1
"2016-11-25","09:34:37",-16.389143,-71.523506,2420.42,2304,72,0,7.55,1
"2016-11-25","09:38:02",-16.388828,-71.52478,2694.47,648,2,0,140.35,1
"2016-11-25","09:41:34",-16.389357,-71.522537,2198.82,2520,277,0,246.4,1
"2016-11-25","09:45:23",-16.389238,-71.523186,2328.79,1548,0,0,70.49,1
"2016-11-25","09:49:07",-16.389133,-71.523567,2429.28,756,0,0,42.29,1
"2016-11-25","09:52:16",-16.389048,-71.523659,2453.7,1080,0,0,13.63,1
"2016-11-25","09:55:29",-16.389101,-71.523613,2445.57,432,207,0,7.67,1
"2016-11-25","09:58:39",-16.388941,-71.523804,2496.21,864,0,0,27.05,1
"2016-11-25","10:02:06",-16.389093,-71.523666,2458.06,360,243,0,22.41,1
"2016-11-25","10:05:42",-16.38905,-71.523758,2467.65,1116,24,0,10.92,1
"2016-11-25","10:09:39",-16.389187,-71.523605,2433.82,1656,37,0,22.33,1
"2016-11-25","10:12:46",-16.388792,-71.523575,2479.25,3600,17,0,44.04,1
"2016-11-25","10:16:03",-16.388817,-71.523422,2451.51,0,5,0,16.56,1
"2016-11-25","10:19:11",-16.38904,-71.523529,2442.38,1764,181,0,27.3,1
"2016-11-25","10:22:39",-16.389482,-71.523544,2419.45,5832,24,0,49.17,1
"2016-11-25","10:25:54",-16.386787,-71.525085,2753.71,3564,8,0,341.8,1
"2016-11-25","10:29:24",-16.389933,-71.523697,2473.3,1620,189,0,379.87,1
"2016-11-25","10:32:42",-16.389307,-71.523537,2429.67,0,8,0,71.67,1
"2016-11-25","10:36:13",-16.388964,-71.523705,2469.27,2808,295,0,42.14,1
"2016-11-25","10:39:44",-16.38938,-71.523422,2431.1,0,295,0,55.24,1
"2016-11-25","10:42:50",-16.389158,-71.523544,2431.87,1620,265,0,27.91,1
"2016-11-25","10:45:57",-16.3892,-71.523598,2446.37,432,354,0,7.42,1
"2016-11-25","10:49:09",-16.389116,-71.52356,2429.1,1836,204,-4,10.18,1
"2016-11-26","11:56:13",-16.389235,-71.523621,2448.71,432,117,-2,0,1
"2016-11-26","13:03:17",-16.389151,-71.523674,2446.11,1368,170,0,10.92,1
"2016-11-26","14:09:34",-16.389013,-71.523766,2419.5,3744,13,-4,18.21,1
"2016-11-26","14:13:29",-16.389162,-71.52375,2429.05,828,314,-2,0,1
"2016-11-26","14:18:05",-16.389162,-71.52375,2429.05,828,314,0,0,1
"2016-11-26","14:21:15",-16.38925,-71.523605,2462.45,792,222,0,18.3,1
"2016-11-26","14:24:31",-16.38925,-71.523605,2462.45,792,222,0,0,1
"2016-11-26","14:27:57",-16.38879,-71.52375,2418.54,756,27,0,53.44,1
"2016-11-26","14:31:53",-16.389067,-71.523766,2431.03,864,190,0,30.85,1
"2016-11-26","14:35:43",-16.388851,-71.523781,2421.13,432,164,0,24.07,1
"2016-11-26","14:40:25",-16.389038,-71.523689,2422.89,792,87,0,22.99,1
"2016-11-26","14:47:14",-16.389185,-71.523636,2420.65,1548,340,0,17.3,1
"2016-11-26","14:55:36",-16.388802,-71.523811,2442.86,2808,335,0,46.5,1
"2016-11-26","15:04:25",-16.388758,-71.523849,2442.45,504,122,0,6.35,1
"2016-11-26","15:11:34",-16.388979,-71.523743,2444.32,3204,167,-1,27.05,1
"2016-11-26","15:17:42",-16.388662,-71.523788,2486.2,2412,58,-1,35.57,1
"2016-11-26","15:24:32",-16.38917,-71.523514,2442.43,2952,72,0,63.6,1
"2016-11-26","15:31:04",-16.388809,-71.523582,2418.1,1368,180,0,40.79,1
"2016-11-26","15:34:11",-16.388947,-71.523529,2438.45,396,122,0,16.35,1
"2016-11-26","15:38:19",-16.388706,-71.523506,2405.24,0,33,-1,26.91,1
"2016-11-26","15:41:26",-16.388857,-71.523438,2442.55,828,147,0,18.29,1
"2016-11-26","15:42:09",-16.388763,-71.523567,2445.72,648,225,-4,17.28,1
"2016-11-26","17:35:04",-16.389578,-71.524048,2425.05,648,232,-2,0,1
"2016-11-26","17:36:44",-16.389589,-71.523979,2414.86,3564,92,-1,7.46,1
"2016-11-26","17:36:59",-16.389538,-71.524033,2400.79,2916,219,-1,8.08,1
"2016-11-26","17:40:04",-16.38954,-71.524147,2409.24,972,317,0,12.16,1
"2016-11-26","17:43:11",-16.38954,-71.524124,2424.09,0,42,0,2.45,1
"2016-11-26","17:46:18",-16.389513,-71.52417,2429.17,0,243,0,5.75,1
"2016-11-26","17:49:26",-16.389557,-71.524147,2424.02,0,0,0,5.47,1
"2016-11-26","17:52:33",-16.389524,-71.524284,2426.49,2160,79,0,15.07,1
"2016-11-26","17:55:39",-16.389572,-71.524307,2421.32,684,314,0,5.87,1
"2016-11-26","17:58:45",-16.389391,-71.523956,2421.42,3024,316,0,42.51,1
"2016-11-26","18:01:55",-16.389368,-71.523415,2461.13,0,65,0,57.77,1
"2016-11-26","18:05:02",-16.389786,-71.523102,2586.86,1188,100,0,57.23,1
"2016-11-26","18:08:35",-16.389236,-71.52356,2443.91,3420,109,0,78.28,1
"2016-11-26","18:11:41",-16.389475,-71.524391,2410.99,2448,114,0,92.55,1
"2016-11-26","18:14:50",-16.389532,-71.524178,2419.73,16992,242,0,23.59,1
"2016-11-26","18:15:25",-16.389521,-71.523987,2422.23,0,169,0,20.41,1
"2016-11-26","18:18:30",-16.388855,-71.523521,2434.59,1008,56,0,89.19,1
"2016-11-26","18:21:35",-16.388899,-71.523575,2436.48,0,0,0,7.56,1
"2016-11-26","18:24:40",-16.388842,-71.523598,2431.26,540,285,0,6.8,1
"2016-11-26","18:27:47",-16.388996,-71.523659,2427.59,0,37,0,18.32,1
"2016-11-26","18:30:53",-16.388861,-71.523605,2432.23,1224,65,0,16.08,1
