"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-05","11:00:39",-16.389933,-71.523849,2415.94,21060,0,-2,0,1
"2016-10-05","11:17:54",-16.389933,-71.523849,2415.94,4896,0,0,0,1
"2016-10-05","11:31:22",-16.387453,-71.5214,2414.61,2016,43,0,379.87,1
"2016-10-05","11:44:19",-16.387569,-71.521645,2402.9,2304,243,0,29.15,1
"2016-10-05","11:55:20",-16.387093,-71.521194,2452.77,432,42,0,71.53,1
"2016-10-05","12:07:06",-16.386911,-71.521225,2445.34,1404,350,0,20.51,1
"2016-10-05","12:10:13",-16.386988,-71.521423,2440.42,576,247,0,22.79,1
"2016-10-05","12:13:27",-16.386663,-71.521118,2456.38,4248,41,0,48.63,1
"2016-10-05","12:16:33",-16.386427,-71.521103,2449.58,432,3,0,26.29,1
"2016-10-05","12:19:38",-16.386093,-71.521172,2464.21,1764,348,0,37.86,1
"2016-10-05","12:22:43",-16.386856,-71.521347,2486.93,252,192,0,86.87,1
"2016-10-05","12:25:54",-16.386923,-71.521423,2448.97,2556,227,0,11.01,1
"2016-10-05","12:29:02",-16.386959,-71.521393,2466.1,504,141,0,5.13,1
"2016-10-05","12:32:12",-16.38695,-71.521393,2447.92,1152,0,0,1,1
"2016-10-05","12:35:18",-16.386799,-71.521324,2407.69,9468,23,0,18.33,1
"2016-10-05","12:38:27",-16.386986,-71.521355,2506.95,0,189,0,21.05,1
"2016-10-05","12:41:33",-16.386702,-71.521294,2427.74,648,11,0,32.24,1
"2016-10-05","12:44:48",-16.386814,-71.521461,2430.42,936,235,0,21.74,1
"2016-10-05","12:48:19",-16.388168,-71.521217,3513.43,2484,170,0,152.79,1
"2016-10-05","12:51:30",-16.386909,-71.521278,2425.3,1044,357,0,140.15,1
"2016-10-05","12:54:55",-16.386784,-71.521164,2431.83,972,41,0,18.47,1
"2016-10-05","12:58:35",-16.386854,-71.521416,2416.53,180,253,0,27.99,1
"2016-10-05","13:02:51",-16.38693,-71.521393,2469.81,288,163,0,8.8,1
"2016-10-05","13:06:53",-16.387169,-71.52153,2568.88,9972,208,0,30.33,1
"2016-10-05","13:10:44",-16.387081,-71.521461,2558.12,0,36,0,12.24,1
"2016-10-05","13:13:52",-16.386938,-71.521477,2531.08,0,353,0,15.99,1
"2016-10-05","13:16:56",-16.3873,-71.521439,2668.37,1620,174,0,40.46,1
"2016-10-05","13:20:06",-16.386953,-71.521423,2501.92,576,2,0,38.62,1
"2016-10-05","13:23:13",-16.386784,-71.521477,2457.8,1296,342,0,19.66,1
"2016-10-05","13:26:19",-16.386789,-71.521301,2495.6,1044,91,0,18.78,1
"2016-10-05","13:27:27",-16.386999,-71.52137,2475.83,540,197,0,24.48,1
"2016-10-05","13:30:56",-16.387293,-71.521431,2506.13,72,191,0,33.33,1
"2016-10-05","13:35:39",-16.38686,-71.521347,2407.55,972,10,0,48.97,1
"2016-10-05","13:43:04",-16.387001,-71.521309,2446.48,2808,165,0,16.19,1
"2016-10-05","13:51:22",-16.387093,-71.521225,2487.63,2232,138,0,13.6,1
"2016-10-05","13:58:57",-16.387054,-71.521118,2464.27,2196,69,0,12.21,1
"2016-10-05","14:07:32",-16.387093,-71.521217,2448.59,324,247,0,11.42,1
"2016-10-05","14:15:26",-16.387274,-71.521072,2428.07,3348,142,0,25.38,1
"2016-10-05","14:18:40",-16.387247,-71.521233,2457.44,14868,279,0,17.44,1
"2016-10-05","14:21:55",-16.387177,-71.521194,2460.86,1548,28,0,8.83,1
"2016-10-05","14:25:57",-16.387163,-71.52121,2430.74,1368,312,0,2.31,1
"2016-10-05","14:31:46",-16.387163,-71.52121,2430.74,1368,0,0,0,1
"2016-10-05","14:35:08",-16.387411,-71.521263,2481.4,34092,191,0,28.15,1
"2016-10-05","14:43:04",-16.387411,-71.521263,2481.4,34092,0,0,0,1
"2016-10-05","14:46:40",-16.387245,-71.52121,2525.73,936,17,0,19.3,1
"2016-10-05","14:49:59",-16.387245,-71.52121,2525.73,936,0,0,0,1
"2016-10-05","14:55:54",-16.387037,-71.521255,2425.9,2016,348,0,23.62,1
"2016-10-05","15:03:50",-16.387037,-71.521255,2425.9,2016,0,0,0,1
"2016-10-05","15:07:17",-16.387562,-71.521103,2799.77,3600,164,0,60.59,1
"2016-10-05","15:15:06",-16.387299,-71.521141,2487.6,900,352,0,29.52,1
"2016-10-05","15:20:16",-16.387133,-71.521103,2469.71,252,12,0,18.9,1
"2016-10-05","15:23:44",-16.387112,-71.52121,2442.37,288,281,0,11.65,1
"2016-10-05","15:41:32",-16.387112,-71.52121,2442.37,288,0,0,0,1
"2016-10-05","15:45:21",-16.3871,-71.521301,2482.99,1872,277,0,9.8,1
"2016-10-05","15:50:26",-16.387197,-71.521179,2456.96,360,129,0,16.9,1
"2016-10-05","15:59:58",-16.387182,-71.521423,2432.73,1008,273,0,26.08,1
"2016-10-05","16:03:09",-16.387138,-71.521339,2449.96,0,61,0,10.21,1
"2016-10-05","16:06:21",-16.387234,-71.521286,2457.24,1332,152,0,12.08,1
"2016-10-05","16:09:35",-16.387142,-71.521194,2468.99,0,43,0,14.18,1
"2016-10-05","16:13:29",-16.38715,-71.521095,2473.91,2124,94,0,10.6,1
"2016-10-05","16:16:49",-16.387203,-71.521103,2453.41,648,188,0,5.95,1
"2016-10-05","16:21:24",-16.387218,-71.520882,2451.33,1512,94,0,23.63,1
"2016-10-05","16:25:59",-16.38714,-71.520737,2433.9,4067,60,0,17.73,1
"2016-10-05","16:30:25",-16.387152,-71.520943,2456.96,756,266,0,22.02,1
"2016-10-05","16:36:38",-16.387218,-71.52108,2461.15,1656,243,0,16.35,1
"2016-10-05","16:43:30",-16.387144,-71.52108,2457.85,2772,0,0,8.23,1
"2016-10-05","16:49:47",-16.387264,-71.521126,2444.97,2376,200,0,14.22,1
"2016-10-05","16:55:46",-16.387175,-71.521072,2448.6,1080,30,0,11.45,1
"2016-10-05","16:59:14",-16.387199,-71.521034,2445.04,900,123,0,4.85,1
"2016-10-05","17:07:15",-16.387199,-71.521034,2445.04,900,0,0,0,1
"2016-10-05","17:20:46",-16.38722,-71.520935,2446.37,1116,102,0,10.82,1
"2016-10-05","17:24:23",-16.387278,-71.521065,2455.67,3060,245,0,15.29,1
"2016-10-05","18:38:36",-16.387278,-71.521065,2455.67,3060,0,0,0,NA
"2016-10-05","18:45:54",-16.381519,-71.511002,9488.94,0,59,0,1250,1
"2016-10-05","19:08:31",-16.381519,-71.511002,9488.94,0,0,0,0,1
"2016-10-05","19:11:58",-16.387203,-71.521149,2445.01,2448,239,0,1253.48,1
"2016-10-05","19:15:10",-16.387268,-71.52121,2445.14,648,221,0,9.73,1
"2016-10-05","19:16:32",-16.387075,-71.521118,2482.91,2664,24,0,23.6,1
"2016-10-05","19:19:38",-16.387125,-71.521111,2484.62,1440,172,0,5.61,1
"2016-10-05","19:22:50",-16.387133,-71.521004,2472.29,1224,94,0,11.45,1
"2016-10-05","19:25:59",-16.387203,-71.521301,2440.55,576,256,0,32.63,1
"2016-10-05","19:29:17",-16.387207,-71.521065,2472.01,900,91,0,25.18,1
"2016-10-05","19:32:43",-16.387108,-71.521233,2402.87,360,301,0,21.03,1
"2016-10-05","19:36:05",-16.38722,-71.520905,2515.45,2592,109,0,37.14,1
"2016-10-05","19:39:22",-16.387291,-71.520935,2526.7,684,202,0,8.52,1
"2016-10-05","19:42:47",-16.3873,-71.520996,2501.46,1584,261,0,6.58,1
"2016-10-05","19:46:43",-16.387241,-71.521004,2516.66,432,352,0,6.62,1
"2016-10-05","19:51:02",-16.387104,-71.521126,2444.64,1044,319,0,20.04,1
"2016-10-05","19:52:31",-16.38727,-71.520996,2509.43,2412,143,0,23.09,1
"2016-10-05","19:55:44",-16.387188,-71.521111,2498.68,324,306,0,15.29,1
"2016-10-05","20:00:30",-16.386845,-71.520966,2569.44,828,22,-4,41.16,1
"2016-10-05","21:16:57",-16.387188,-71.521095,2513.05,252,0,-2,0,1
"2016-10-05","21:20:03",-16.387205,-71.521149,2455.68,792,251,0,6.06,1
"2016-10-05","21:23:14",-16.387238,-71.521149,2465.84,684,180,0,3.67,1
"2016-10-05","21:26:18",-16.387287,-71.521149,2409.8,3672,180,0,5.45,1
"2016-10-05","21:29:26",-16.387135,-71.521133,2542.75,288,5,0,16.99,1
"2016-10-05","21:32:30",-16.387268,-71.521194,2462.01,1332,203,0,16.16,1
"2016-10-05","21:35:37",-16.387138,-71.521179,2435.11,2628,6,0,14.54,1
"2016-10-05","21:38:39",-16.387188,-71.521233,2455.35,2088,226,0,8.01,1
"2016-10-05","21:41:41",-16.387102,-71.521675,2178.9,0,281,0,48.11,1
"2016-10-05","21:44:54",-16.387173,-71.521217,2536.37,1008,99,0,49.49,1
"2016-10-05","21:48:04",-16.387112,-71.521172,2450.82,468,35,0,8.31,1
"2016-10-05","21:51:15",-16.387203,-71.52121,2454.05,4104,201,0,10.9,1
"2016-10-05","21:54:21",-16.38715,-71.521347,2390.99,3528,291,0,15.76,1
"2016-10-05","21:57:27",-16.387215,-71.521286,2514.49,504,138,0,9.73,1
"2016-10-05","22:00:52",-16.387287,-71.521339,2368.07,828,215,0,9.8,1
"2016-10-05","22:03:59",-16.387203,-71.521072,2481.26,1116,71,-4,29.98,1
"2016-10-05","22:35:34",-16.387156,-71.52108,2475.35,108,0,-2,0,1
"2016-10-05","22:38:48",-16.387238,-71.521095,2463.82,396,189,0,9.26,1
"2016-10-05","22:42:38",-16.387259,-71.521111,2472.02,684,216,0,2.89,1
"2016-10-05","22:45:42",-16.387291,-71.521118,2467.12,0,191,0,3.64,1
"2016-10-05","22:48:46",-16.387308,-71.521141,2479.01,972,232,0,3.1,1
"2016-10-05","22:51:49",-16.387238,-71.521126,2466.57,1116,11,0,7.95,1
"2016-10-05","22:54:51",-16.387129,-71.52108,2469.94,684,22,0,13.08,1
"2016-10-05","22:57:54",-16.387299,-71.521088,2495.9,828,182,0,18.92,1
"2016-10-05","23:00:56",-16.38719,-71.521118,2471.75,468,345,0,12.54,1
"2016-10-05","23:03:59",-16.387144,-71.521141,2438.44,648,334,0,5.67,1
"2016-10-05","23:07:05",-16.387037,-71.521088,2428.73,576,25,0,13.17,1
"2016-10-05","23:10:07",-16.38727,-71.521042,2492.2,2736,169,0,26.37,1
"2016-10-05","23:13:10",-16.387238,-71.521065,2445.35,2232,325,0,4.32,1
"2016-10-05","23:16:13",-16.387182,-71.521156,2453.35,0,302,0,11.53,1
"2016-10-05","23:19:14",-16.387323,-71.521255,2452.27,252,213,0,18.9,1
"2016-10-05","23:22:16",-16.387222,-71.521149,2452.8,0,45,0,15.94,1
"2016-10-05","23:25:18",-16.387163,-71.521019,2470.95,0,64,0,15.34,1
"2016-10-05","23:28:19",-16.387133,-71.520996,2474.89,468,36,0,4.14,1
"2016-10-05","23:31:27",-16.387226,-71.52124,2462.36,1908,248,0,28.01,1
"2016-10-05","23:34:28",-16.387501,-71.521469,2455.65,4500,218,0,39.14,1
"2016-10-05","23:37:29",-16.387505,-71.521423,2449.23,2592,95,0,4.93,1
"2016-10-05","23:40:41",-16.387306,-71.521271,2473.44,432,36,0,27.43,1
"2016-10-05","23:43:50",-16.387241,-71.521164,2465.21,1044,57,0,13.51,1
"2016-10-05","23:46:58",-16.387196,-71.521133,2458.88,576,33,0,6,1
"2016-10-05","23:50:09",-16.38718,-71.521034,2474.4,720,80,0,10.71,1
"2016-10-05","23:53:34",-16.387245,-71.521095,2454.67,900,221,0,9.73,1
"2016-10-05","23:56:36",-16.387211,-71.52108,2463.33,972,22,0,4.11,1
"2016-10-05","23:59:38",-16.387184,-71.521095,2457.75,684,331,0,3.4,1
"2016-10-06","00:02:41",-16.387211,-71.521072,2468.82,792,140,0,3.88,1
"2016-10-06","00:05:44",-16.387215,-71.521194,2474.93,0,268,0,13.02,1
"2016-10-06","00:08:49",-16.3871,-71.521049,2507.96,0,50,0,20.07,1
"2016-10-06","00:11:57",-16.387262,-71.521278,2378.79,0,233,0,30.35,1
"2016-10-06","00:15:04",-16.387117,-71.521057,2501.45,936,55,0,28.56,1
"2016-10-06","00:18:07",-16.38718,-71.52108,2463.35,0,199,0,7.42,1
"2016-10-06","00:21:10",-16.387136,-71.521133,2468.28,0,310,0,7.48,1
"2016-10-06","00:24:11",-16.387184,-71.521072,2478.54,612,129,0,8.42,1
"2016-10-06","00:27:13",-16.387272,-71.521248,2404.13,0,242,0,21.17,1
"2016-10-06","00:30:15",-16.387283,-71.521111,2414.81,0,94,0,14.67,1
"2016-10-06","00:33:17",-16.387182,-71.521027,2458,0,38,0,14.37,1
"2016-10-06","00:36:18",-16.387243,-71.521027,2413.01,3312,180,0,6.78,1
"2016-10-06","00:39:25",-16.387184,-71.521072,2490.85,396,323,-4,8.13,1
"2016-10-06","00:42:26",-16.387169,-71.52108,2474.94,4140,0,-2,0,1
"2016-10-06","00:45:32",-16.387177,-71.521057,2454.99,684,109,0,2.61,1
"2016-10-06","00:48:34",-16.387114,-71.521027,2470.15,3060,24,0,7.7,NA
"2016-10-06","00:51:36",-16.387129,-71.521049,2483.61,0,234,0,2.88,NA
"2016-10-06","00:54:37",-16.387127,-71.521034,2453.87,324,82,0,1.62,NA
"2016-10-06","00:57:45",-16.38714,-71.521065,2453.27,684,246,0,3.61,NA
"2016-10-06","01:00:48",-16.387169,-71.521133,2482.48,468,246,0,7.94,NA
"2016-10-06","01:03:54",-16.386978,-71.520988,2496.23,1908,36,0,26.27,NA
"2016-10-06","01:06:57",-16.387186,-71.521126,2480.17,3024,212,0,27.42,NA
"2016-10-06","01:10:01",-16.387079,-71.521011,2457.05,1584,45,0,17.09,NA
"2016-10-06","01:13:04",-16.387199,-71.521034,2447.81,648,190,0,13.57,NA
"2016-10-06","01:16:27",-16.387201,-71.521156,2416.33,1548,269,0,13.02,NA
"2016-10-06","01:19:36",-16.387224,-71.521286,2500.41,2772,259,0,14.1,NA
"2016-10-06","01:22:41",-16.387218,-71.521194,2438.12,9108,86,0,9.84,NA
"2016-10-06","01:25:43",-16.387121,-71.521072,2460.87,504,50,0,16.9,NA
"2016-10-06","01:28:47",-16.38707,-71.520927,2477.7,0,69,0,16.48,NA
"2016-10-06","01:32:13",-16.386898,-71.520828,2492.82,252,28,0,21.85,NA
"2016-10-06","01:35:32",-16.386583,-71.520172,2398.21,684,63,0,78.26,NA
"2016-10-06","01:38:59",-16.387218,-71.521156,2464.11,0,236,0,126.51,NA
"2016-10-06","01:42:02",-16.387173,-71.521065,2456.19,0,62,0,10.92,NA
"2016-10-06","01:45:06",-16.387152,-71.521004,2451.4,0,70,0,6.91,NA
