"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2017-01-04","15:52:34",-16.393984,-71.500107,2587.86,828,0,-2,0,1
"2017-01-04","16:00:30",-16.393501,-71.500244,2489.41,1044,344,0,55.66,1
"2017-01-04","16:03:47",-16.393703,-71.500206,2515.83,2448,169,0,22.82,1
"2017-01-04","16:07:04",-16.393515,-71.500221,2512.8,1872,355,0,20.97,1
"2017-01-04","16:10:35",-16.393574,-71.500023,2512.92,108,107,0,22.12,1
"2017-01-04","16:14:54",-16.39361,-71.500031,2516,4680,192,0,4.09,1
"2017-01-04","16:18:03",-16.393606,-71.499969,2501.61,4356,86,0,6.63,1
"2017-01-04","16:22:57",-16.393503,-71.499977,2488.74,1728,355,0,11.48,1
"2017-01-04","16:31:58",-16.393507,-71.499855,2524.92,396,91,0,13.02,1
"2017-01-04","16:39:20",-16.394506,-71.500305,2692.81,1080,203,0,121.01,1
"2017-01-04","16:45:04",-16.393747,-71.500015,2532.48,0,20,0,89.89,1
"2017-01-04","16:51:06",-16.393728,-71.499855,2510.91,2448,82,0,17.2,1
"2017-01-04","16:54:29",-16.39397,-71.501366,2782.5,864,260,0,163.42,1
"2017-01-04","16:58:37",-16.393751,-71.499939,2519.18,1836,80,0,154.16,1
"2017-01-04","17:01:45",-16.393702,-71.500099,2519.73,540,287,0,17.92,1
"2017-01-04","17:04:54",-16.393538,-71.499825,2504.29,1368,58,0,34.45,1
"2017-01-04","17:08:03",-16.393673,-71.500061,2526.04,576,239,0,29.31,1
"2017-01-04","17:11:32",-16.393822,-71.500053,2536.87,432,177,0,16.59,1
"2017-01-04","17:15:01",-16.39366,-71.500023,2526.78,1584,10,0,18.3,1
"2017-01-04","17:18:10",-16.393805,-71.499863,2509.35,1368,133,0,23.48,1
"2017-01-04","17:21:18",-16.393845,-71.499763,2502.08,0,112,0,11.56,1
"2017-01-04","17:24:27",-16.393715,-71.499977,2522.28,0,302,0,27.02,1
"2017-01-04","17:27:34",-16.39361,-71.499992,2519.35,6732,352,0,11.78,1
"2017-01-04","17:30:41",-16.393555,-71.499924,2512.37,0,49,0,9.49,1
