"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-12-07","14:45:21",-16.392815,-71.502762,2547.93,2088,143,-2,0,1
"2016-12-07","14:54:52",-16.392815,-71.502762,2547.93,396,281,0,0,1
"2016-12-07","15:21:44",-16.392815,-71.502762,2547.93,396,281,0,0,1
"2016-12-07","15:25:26",-16.39245,-71.502808,2486.34,1872,89,0,40.88,1
"2016-12-07","15:28:32",-16.392801,-71.503159,2451.23,4176,227,0,54.09,1
"2016-12-07","15:32:02",-16.392546,-71.50309,2467.4,2052,352,0,29.29,1
"2016-12-07","15:35:31",-16.392584,-71.503159,2465.61,3924,56,0,8.49,1
"2016-12-07","15:36:04",-16.392586,-71.503113,2464.36,360,39,-1,4.91,1
"2016-12-07","15:39:09",-16.39267,-71.503113,2461.12,0,0,0,9.34,1
"2016-12-07","15:42:14",-16.392649,-71.503113,2467.91,0,0,0,2.34,1
"2016-12-07","15:45:49",-16.392609,-71.503036,2448.01,1512,62,0,9.34,1
"2016-12-07","15:49:16",-16.392647,-71.503113,2469.21,468,261,0,9.24,1
"2016-12-07","15:53:05",-16.392439,-71.503372,2419.45,252,72,0,36.03,1
"2016-12-07","15:56:31",-16.392466,-71.503357,2421.89,0,0,0,3.4,1
"2016-12-07","15:59:35",-16.392506,-71.503242,2438.19,0,297,0,13.05,1
"2016-12-07","16:02:39",-16.392502,-71.503036,2473.89,0,0,0,21.98,1
"2016-12-07","16:05:42",-16.392496,-71.503212,2447.92,0,0,0,18.79,1
"2016-12-07","16:09:06",-16.392933,-71.503227,2439.81,900,194,0,48.62,1
"2016-12-07","16:12:31",-16.392641,-71.503143,2445.82,180,189,0,33.68,1
"2016-12-07","16:15:46",-16.39263,-71.503197,2444.93,0,0,0,5.89,1
"2016-12-07","16:18:49",-16.392635,-71.503159,2463.31,0,0,0,4.09,1
"2016-12-07","16:21:54",-16.392494,-71.503136,2454.23,0,217,0,15.87,1
"2016-12-07","16:25:01",-16.392506,-71.503166,2453.6,0,28,0,3.47,1
"2016-12-07","16:28:06",-16.392538,-71.503014,2470.84,324,84,0,16.6,1
"2016-12-07","16:31:10",-16.392532,-71.503082,2460.9,0,0,0,7.28,1
"2016-12-07","16:34:15",-16.392635,-71.503235,2445.73,2340,267,0,19.94,1
"2016-12-07","16:37:26",-16.392675,-71.502953,2475.06,0,0,0,30.41,1
"2016-12-07","16:38:22",-16.392666,-71.503189,2445.87,4608,97,-1,25.2,1
"2016-12-07","16:41:26",-16.392611,-71.503075,2460.39,0,295,0,13.61,1
"2016-12-07","16:44:30",-16.392496,-71.503181,2451.09,0,0,0,17.07,1
"2016-12-07","16:47:33",-16.392504,-71.503197,2453.08,0,0,0,1.92,1
"2016-12-07","16:50:36",-16.392477,-71.503265,2436.98,0,273,0,7.85,1
"2016-12-07","16:53:39",-16.39249,-71.503281,2438.88,0,0,0,2.24,1
"2016-12-07","16:56:42",-16.392485,-71.503181,2449.6,0,0,0,10.68,1
"2016-12-07","16:59:45",-16.392508,-71.503174,2453.15,0,0,0,2.66,1
"2016-12-07","17:02:48",-16.392658,-71.503349,2445.67,0,101,0,25.03,1
"2016-12-07","17:05:51",-16.392578,-71.503136,2466.53,0,0,0,24.4,1
"2016-12-07","17:08:54",-16.392616,-71.503105,2455.69,0,0,0,5.37,1
"2016-12-07","17:11:57",-16.392601,-71.503304,2446.58,1008,77,0,21.29,1
"2016-12-07","17:15:01",-16.392633,-71.503113,2473.93,0,75,0,20.68,1
"2016-12-07","17:18:07",-16.392494,-71.503304,2443.95,1368,71,0,25.57,1
"2016-12-07","17:21:13",-16.392746,-71.503151,2447.86,648,82,0,32.43,1
"2016-12-07","17:24:20",-16.392643,-71.50322,2465.46,1152,278,0,13.61,1
"2016-12-07","17:27:29",-16.392584,-71.50325,2452.3,900,110,0,7.3,1
"2016-12-07","17:30:42",-16.392668,-71.503296,2476.54,972,67,0,10.55,1
"2016-12-07","17:33:48",-16.393171,-71.504196,2500.82,648,234,0,111.11,1
"2016-12-07","17:36:53",-16.393072,-71.503975,2500.9,6984,257,0,26.02,1
"2016-12-07","17:39:57",-16.392862,-71.503517,2465.21,2592,230,0,54.15,1
"2016-12-07","17:43:03",-16.393147,-71.50425,2473.65,0,174,0,84.37,1
"2016-12-07","17:46:08",-16.392962,-71.503716,2454.76,216,61,0,60.56,1
"2016-12-07","17:49:32",-16.392593,-71.503113,2454.64,288,61,0,76.3,1
"2016-12-07","17:52:37",-16.392527,-71.503128,2458.17,0,0,0,7.51,1
"2016-12-07","17:55:41",-16.3927,-71.503166,2456.82,612,18,0,19.66,1
"2016-12-07","17:58:46",-16.392687,-71.503143,2454.67,0,250,0,2.85,1
"2016-12-07","18:01:53",-16.392696,-71.503151,2465.05,1584,0,0,1.32,1
"2016-12-07","18:03:51",-16.39258,-71.503113,2454.73,0,205,-1,13.52,1
"2016-12-07","18:06:55",-16.392675,-71.50312,2461.61,0,250,0,10.59,1
"2016-12-07","18:10:00",-16.39263,-71.503082,2440.27,0,9,0,6.44,1
"2016-12-07","18:13:04",-16.392597,-71.503044,2436.25,792,289,0,5.47,1
"2016-12-07","18:16:08",-16.392481,-71.50309,2431.6,4644,2,0,13.8,1
"2016-12-07","18:19:10",-16.392792,-71.503098,2484.52,3348,5,0,34.59,1
"2016-12-07","18:22:13",-16.39262,-71.503136,2455.37,0,0,0,19.55,1
"2016-12-07","18:25:16",-16.392635,-71.503113,2452.57,0,0,0,2.97,1
"2016-12-07","18:28:22",-16.393862,-71.503036,2453.17,3708,166,0,136.68,1
"2016-12-07","18:31:24",-16.394844,-71.504425,2447,0,0,0,184.06,1
"2016-12-07","18:34:34",-16.394512,-71.504021,2454.4,6660,67,0,56.75,1
"2016-12-07","18:37:37",-16.394215,-71.50309,2456.51,4212,39,0,104.66,1
"2016-12-07","18:40:43",-16.393183,-71.503059,2464.83,360,332,0,114.8,1
"2016-12-07","18:43:47",-16.393129,-71.503174,2452.23,0,139,0,13.66,1
"2016-12-07","18:46:53",-16.393045,-71.503334,2456.95,0,249,0,19.46,1
"2016-12-07","18:49:55",-16.39275,-71.503487,2451.05,2664,47,0,36.64,1
"2016-12-07","18:52:58",-16.392643,-71.503319,2466.62,72,0,0,21.51,1
"2016-12-07","18:53:35",-16.392628,-71.503403,2430.63,684,189,-1,9.11,1
"2016-12-07","18:56:38",-16.392752,-71.503456,2443.27,2268,85,0,14.9,1
