"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2017-01-18","09:52:27",-16.388714,-71.511848,2480.33,648,14,-2,0,1
"2017-01-18","10:02:14",-16.388803,-71.511551,2484.29,5508,353,0,33.19,1
"2017-01-18","10:13:07",-16.388838,-71.511528,2477.74,756,239,0,4.6,1
"2017-01-18","10:16:22",-16.388712,-71.511696,2475.18,1008,279,0,22.75,1
"2017-01-18","10:19:40",-16.388811,-71.511467,2459.77,1332,134,0,26.79,1
"2017-01-18","10:23:35",-16.388617,-71.511589,2460.9,2088,57,0,25.19,1
"2017-01-18","10:31:02",-16.388641,-71.511665,2476.43,0,55,0,8.54,1
"2017-01-18","10:40:17",-16.388597,-71.511513,2468.54,0,250,0,16.94,1
"2017-01-18","10:43:24",-16.388639,-71.511566,2483.67,0,0,0,7.33,1
"2017-01-18","10:46:32",-16.388369,-71.510864,2469.73,7236,20,0,80.68,1
"2017-01-18","10:49:40",-16.388411,-71.510933,2506.58,432,216,0,8.72,1
"2017-01-18","10:52:53",-16.388411,-71.510933,2506.58,432,216,0,0,1
"2017-01-18","10:56:21",-16.38842,-71.511177,2507.83,972,128,0,26.05,1
"2017-01-18","11:00:03",-16.388403,-71.511032,2500.01,6372,348,0,15.58,1
"2017-01-18","11:03:09",-16.38847,-71.510727,2468.51,1296,0,0,33.38,1
"2017-01-18","11:06:20",-16.388601,-71.51091,2480.2,8568,309,0,24.36,1
"2017-01-18","11:09:33",-16.387886,-71.510841,2465.82,10152,318,0,79.84,1
"2017-01-18","11:10:09",-16.388531,-71.510803,2466.59,1512,25,0,71.84,1
"2017-01-18","11:13:25",-16.388563,-71.510811,2500.37,1008,134,0,3.66,1
"2017-01-18","11:16:32",-16.388479,-71.51107,2578,5508,336,0,29.17,1
"2017-01-18","11:20:04",-16.388523,-71.510788,2488.54,2304,341,0,30.48,1
"2017-01-18","11:23:13",-16.388706,-71.51091,2494.29,504,29,0,24.15,1
"2017-01-18","11:26:21",-16.388594,-71.510719,2481.99,0,85,0,23.88,1
"2017-01-18","11:30:15",-16.388575,-71.51049,2449.37,1404,252,0,24.52,1
"2017-01-18","11:34:18",-16.388634,-71.511467,2478.3,5220,265,0,104.43,1
"2017-01-18","11:37:26",-16.388813,-71.511818,2486.15,3456,254,0,42.41,1
"2017-01-18","11:40:34",-16.388758,-71.511833,2513.99,1332,69,0,6.32,1
"2017-01-18","11:43:43",-16.388828,-71.511795,2554.75,0,26,0,8.78,1
"2017-01-18","11:46:52",-16.388824,-71.51181,2488.78,0,142,0,1.66,1
"2017-01-18","11:50:00",-16.388613,-71.511345,2468.87,2952,24,0,54.87,1
"2017-01-18","11:53:08",-16.388626,-71.510811,2515.45,0,52,0,56.98,1
"2017-01-18","11:56:24",-16.388521,-71.510841,2478.33,2412,60,0,12.11,1
"2017-01-18","11:59:45",-16.38858,-71.510696,2510.65,0,250,0,16.8,1
"2017-01-18","12:03:17",-16.388645,-71.510933,2535.38,2628,235,0,26.3,1
"2017-01-18","12:06:44",-16.388689,-71.510849,2475.32,1512,350,0,10.21,1
"2017-01-18","12:10:17",-16.38858,-71.510727,2488.01,0,0,0,17.78,1
"2017-01-18","12:13:26",-16.388693,-71.511131,2482.09,4068,357,0,44.89,1
"2017-01-18","12:17:04",-16.388504,-71.51088,2528.61,6444,12,0,34.04,1
"2017-01-18","12:20:45",-16.38884,-71.510979,2465.32,0,268,0,38.83,1
"2017-01-18","12:23:56",-16.388357,-71.510895,2500.51,6300,206,0,54.45,1
"2017-01-18","12:27:04",-16.388403,-71.511086,2491,360,64,0,21.01,1
"2017-01-18","12:30:11",-16.38846,-71.510887,2482.64,0,78,0,22.15,1
"2017-01-18","12:33:19",-16.388384,-71.51104,2484.48,828,24,0,18.38,1
"2017-01-18","12:36:27",-16.388485,-71.510918,2466.6,1224,285,0,17.19,1
"2017-01-18","12:41:33",-16.388411,-71.510849,2512.54,2448,139,0,11.04,1
"2017-01-18","12:50:54",-16.3883,-71.510956,2511.57,5940,16,0,16.81,1
"2017-01-18","13:03:59",-16.388102,-71.510971,2469.5,5508,316,0,22.07,1
"2017-01-18","13:07:07",-16.388136,-71.510986,2481.05,0,322,0,4.11,1
