"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-21","09:14:49",-16.392427,-71.503006,2431.61,648,214,-2,0,1
"2016-11-21","09:17:54",-16.392382,-71.503082,2404.78,504,159,0,9.53,1
"2016-11-21","09:20:59",-16.392559,-71.502998,2460.76,180,173,0,21.63,1
"2016-11-21","09:24:03",-16.392519,-71.503082,2399.58,216,0,0,10,1
"2016-11-21","09:27:07",-16.39287,-71.50296,2463.95,2376,164,0,41.14,1
"2016-11-21","09:30:12",-16.392738,-71.502983,2421.78,2988,348,0,14.88,1
"2016-11-21","09:33:15",-16.39259,-71.502876,2447.41,360,11,0,20.03,1
"2016-11-21","09:36:21",-16.392479,-71.50293,2419.3,396,26,0,13.62,1
"2016-11-21","09:39:27",-16.392534,-71.50309,2466.32,0,85,0,18.13,1
"2016-11-21","09:42:40",-16.392473,-71.502838,2434.76,720,224,0,27.72,1
"2016-11-21","09:45:59",-16.392441,-71.503716,2850.53,648,89,0,93.73,1
"2016-11-21","09:49:12",-16.392517,-71.503204,2502.59,288,247,0,55.27,1
"2016-11-21","09:52:24",-16.392532,-71.503052,2446.59,2736,147,0,16.3,1
"2016-11-21","09:55:43",-16.392483,-71.502937,2470.9,1548,0,0,13.42,1
"2016-11-21","09:59:32",-16.391859,-71.504112,3234.44,612,338,0,143.27,1
"2016-11-21","10:03:39",-16.391859,-71.504112,3234.44,612,338,0,0,1
"2016-11-21","10:07:59",-16.392097,-71.503014,2522.78,1944,87,0,120.08,1
"2016-11-21","10:11:29",-16.392088,-71.503098,2560.61,3780,111,0,9.02,1
"2016-11-21","10:15:30",-16.392008,-71.50351,2569.7,1404,206,0,44.84,1
"2016-11-21","10:18:37",-16.392073,-71.503098,2537.26,2772,80,0,44.54,1
"2016-11-21","10:22:05",-16.392054,-71.502983,2531.85,936,218,0,12.45,1
"2016-11-21","10:25:40",-16.392046,-71.502937,2506.59,864,262,0,4.99,1
"2016-11-21","10:29:10",-16.392042,-71.502975,2508.31,1332,70,0,4.08,1
"2016-11-21","10:32:41",-16.392046,-71.502914,2520.53,1440,180,0,6.52,1
"2016-11-21","10:36:41",-16.392004,-71.502975,2518.15,612,271,0,8.01,1
"2016-11-21","10:40:45",-16.39208,-71.503014,2507.48,1476,356,0,9.42,1
"2016-11-21","10:44:55",-16.392021,-71.502991,2495.39,684,105,0,7,1
"2016-11-21","10:49:01",-16.392017,-71.503052,2522.15,3744,61,0,6.52,1
"2016-11-21","10:52:06",-16.392021,-71.503006,2511.16,1116,77,0,4.93,1
"2016-11-21","10:55:17",-16.39201,-71.502983,2510.6,1440,43,0,2.74,1
"2016-11-21","10:58:23",-16.392313,-71.502998,2512.18,0,60,0,33.73,1
"2016-11-21","11:04:18",-16.392561,-71.503006,2519.15,1872,223,0,27.59,1
"2016-11-21","11:14:10",-16.392595,-71.502838,2529.2,0,201,0,18.32,1
"2016-11-21","11:17:18",-16.392609,-71.502472,2566.86,900,104,0,39.07,1
"2016-11-21","11:20:27",-16.392735,-71.502396,2603.83,1836,103,0,16.19,1
"2016-11-21","11:23:32",-16.39266,-71.502716,2554.93,0,110,0,35.14,1
"2016-11-21","11:26:58",-16.392204,-71.502937,2446.83,2340,319,0,55.92,1
"2016-11-21","11:31:10",-16.392183,-71.503113,2461.62,2160,332,0,18.92,1
"2016-11-21","11:34:16",-16.392111,-71.503273,2422.98,864,156,0,18.85,1
"2016-11-21","11:37:30",-16.392155,-71.503136,2410.71,1620,115,0,15.41,1
"2016-11-21","11:44:35",-16.39187,-71.503357,2314.29,972,316,0,39.5,1
"2016-11-21","11:57:41",-16.392574,-71.503174,2413.9,1332,247,0,80.68,1
"2016-11-21","12:00:57",-16.392366,-71.50338,2351.52,936,99,0,31.9,1
"2016-11-21","12:09:15",-16.392437,-71.503212,2305.61,1836,123,0,19.58,1
"2016-11-21","12:18:07",-16.392679,-71.50322,2383.18,0,247,0,26.92,1
"2016-11-21","12:21:17",-16.392624,-71.503227,2383.86,0,90,0,6.16,1
"2016-11-21","12:24:25",-16.392626,-71.503052,2368.65,0,118,0,18.67,1
"2016-11-21","12:34:11",-16.392626,-71.503052,2368.65,0,118,0,0,1
"2016-11-21","12:38:14",-16.392708,-71.503227,2396.29,252,48,0,20.78,1
"2016-11-21","12:41:51",-16.392046,-71.503654,2497.41,2880,145,0,86.56,1
"2016-11-21","12:47:29",-16.392906,-71.502815,2457.45,3636,317,0,130.98,1
"2016-11-21","12:53:22",-16.392427,-71.503372,2458.81,972,265,0,79.8,1
"2016-11-21","13:00:55",-16.392849,-71.502892,2455.87,4032,122,0,69.45,1
"2016-11-21","13:04:17",-16.393076,-71.502808,2455.21,1440,16,0,26.78,1
"2016-11-21","13:09:45",-16.3927,-71.503082,2442.31,3024,5,0,51.01,1
"2016-11-21","13:11:42",-16.39287,-71.502876,2470.84,2844,319,-1,28.99,1
"2016-11-21","13:15:35",-16.39312,-71.502754,2487.64,5616,341,0,30.69,1
"2016-11-21","13:18:42",-16.393127,-71.502823,2492.57,1656,289,0,7.4,1
"2016-11-21","13:21:50",-16.392851,-71.502945,2454.27,0,332,0,33.34,1
"2016-11-21","13:24:57",-16.392937,-71.502892,2467.94,0,350,0,11.11,1
"2016-11-21","13:28:24",-16.392139,-71.503433,2372.72,3384,203,0,105.85,1
"2016-11-21","13:31:53",-16.393093,-71.502754,2527.81,1260,125,0,128.45,1
"2016-11-21","13:35:22",-16.392715,-71.502968,2493.01,396,186,0,47.83,1
"2016-11-21","13:39:05",-16.392908,-71.502861,2526.89,684,133,0,24.31,1
"2016-11-21","13:43:19",-16.39274,-71.503036,2499.95,1044,241,0,26.41,1
"2016-11-21","13:48:08",-16.392727,-71.503067,2480.18,1548,340,0,3.61,1
"2016-11-21","13:52:47",-16.392607,-71.503014,2443.42,0,123,0,14.49,1
"2016-11-21","13:56:19",-16.392561,-71.503143,2509.9,72,304,0,14.68,1
"2016-11-21","14:01:07",-16.392488,-71.503059,2542.05,3492,28,0,12.09,1
"2016-11-21","14:24:11",-16.392662,-71.503029,2540.41,4536,248,0,19.61,1
"2016-11-21","14:41:06",-16.392628,-71.503189,2536.77,3132,32,0,17.48,1
"2016-11-21","14:52:53",-16.392599,-71.50338,2445.13,3528,268,0,20.63,1
"2016-11-21","15:04:34",-16.392542,-71.502884,2471.71,2376,119,0,53.29,1
"2016-11-21","15:07:43",-16.392616,-71.503014,2464.51,0,255,0,16.13,1
"2016-11-21","15:10:57",-16.392569,-71.503075,2483.54,2304,252,0,8.35,1
"2016-11-21","15:14:12",-16.392546,-71.50309,2498.8,252,120,0,3.02,1
"2016-11-21","15:17:22",-16.392637,-71.503273,2449.54,0,101,0,21.99,1
"2016-11-21","15:20:32",-16.392578,-71.503166,2491.1,0,146,0,13.17,1
"2016-11-21","15:24:02",-16.392496,-71.503059,2500.77,1476,261,0,14.61,1
"2016-11-21","15:27:13",-16.392488,-71.503197,2525.62,2268,342,0,14.75,1
"2016-11-21","15:30:24",-16.392542,-71.503021,2495.29,1044,231,0,19.71,1
"2016-11-21","15:33:37",-16.392591,-71.503052,2472.63,2268,303,0,6.37,1
"2016-11-21","15:36:50",-16.392534,-71.503197,2470.84,1620,290,0,16.72,1
"2016-11-21","15:39:06",-16.392578,-71.503036,2482.66,1296,329,-1,17.86,1
"2016-11-21","15:39:39",-16.392635,-71.503159,2474.9,6300,291,-1,14.57,1
"2016-11-21","15:40:37",-16.392454,-71.50267,2520.45,2844,318,-1,55.91,1
"2016-11-21","15:43:48",-16.392456,-71.502937,2406.89,1044,324,0,28.48,1
"2016-11-21","15:46:55",-16.39266,-71.502907,2424.26,828,125,0,22.91,1
"2016-11-21","15:50:07",-16.392778,-71.503258,2375.06,1908,243,0,39.68,1
"2016-11-21","15:53:26",-16.392618,-71.503304,2575.13,288,67,0,18.46,1
"2016-11-21","15:56:40",-16.392569,-71.503075,2471.97,1008,243,0,25.03,1
"2016-11-21","15:59:48",-16.392666,-71.50322,2432.53,0,0,0,18.86,1
"2016-11-21","16:02:55",-16.392792,-71.503258,2366.38,5904,286,0,14.59,1
"2016-11-21","16:06:22",-16.392637,-71.503143,2477.22,2124,295,0,21.16,1
"2016-11-21","16:09:29",-16.392248,-71.50309,2499.81,576,258,0,43.62,1
"2016-11-21","16:12:40",-16.392977,-71.502975,2514.55,1116,324,0,81.98,1
"2016-11-21","16:15:50",-16.392717,-71.503189,2380.64,0,116,0,36.84,1
"2016-11-21","16:16:06",-16.392748,-71.503181,2449.18,1260,183,-1,3.55,1
"2016-11-21","16:19:19",-16.392544,-71.503113,2463.98,1404,55,0,23.82,1
"2016-11-21","16:23:20",-16.392771,-71.503029,2468.33,2484,303,0,26.78,1
