"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2017-01-31","08:12:04",-16.39258,-71.50309,2459.55,360,185,-2,0,1
"2017-01-31","08:15:08",-16.392611,-71.503098,2446.08,0,112,0,3.55,1
"2017-01-31","08:18:22",-16.392611,-71.503098,2446.08,0,112,0,0,1
"2017-01-31","08:21:34",-16.392624,-71.503174,2475.47,1404,54,0,8.24,1
"2017-01-31","08:25:04",-16.392611,-71.503258,2473.13,936,168,0,9.08,1
"2017-01-31","08:28:14",-16.392637,-71.503281,2437.92,0,139,0,3.79,1
"2017-01-31","08:31:28",-16.392647,-71.503365,2446.68,9288,33,0,9.03,1
"2017-01-31","09:13:49",-16.392647,-71.503365,2446.68,9288,33,0,0,1
"2017-01-31","09:17:15",-16.392553,-71.503242,2441.87,864,212,0,16.78,1
"2017-01-31","09:23:48",-16.392553,-71.503242,2441.87,864,212,0,0,1
"2017-01-31","09:26:57",-16.392532,-71.50325,2449.79,216,232,0,2.49,1
"2017-01-31","09:30:09",-16.392582,-71.503151,2440.2,1836,183,0,11.93,1
"2017-01-31","09:33:26",-16.392508,-71.503433,2335.84,108,107,0,31.19,1
"2017-01-31","09:37:04",-16.392914,-71.50351,2352.35,2340,318,0,45.89,1
"2017-01-31","09:40:25",-16.392668,-71.503242,2460.87,720,302,0,39.57,1
"2017-01-31","09:44:00",-16.392696,-71.503159,2456.82,1620,313,0,9.39,1
"2017-01-31","09:47:11",-16.392675,-71.503082,2481.25,0,287,0,8.54,1
"2017-01-31","09:50:28",-16.392675,-71.503082,2481.25,0,287,0,0,1
"2017-01-31","09:53:45",-16.392626,-71.503143,2462.24,6768,261,0,8.49,1
"2017-01-31","09:56:56",-16.392693,-71.503166,2445.24,0,76,0,7.84,1
"2017-01-31","10:03:33",-16.392693,-71.503166,2445.24,0,76,0,0,1
"2017-01-31","10:06:49",-16.392532,-71.503487,2433.96,7776,88,0,38.64,1
"2017-01-31","10:10:06",-16.392532,-71.503487,2433.96,7776,88,0,0,1
"2017-01-31","10:13:21",-16.392801,-71.502937,2425.43,26640,112,0,65.86,1
"2017-01-31","10:29:45",-16.392801,-71.502937,2425.43,26640,112,0,0,1
"2017-01-31","10:34:02",-16.39258,-71.503113,2464.53,0,86,0,30.93,1
"2017-01-31","10:37:11",-16.392939,-71.502922,2333.42,0,99,0,44.82,1
"2017-01-31","10:40:28",-16.392609,-71.503159,2456.41,288,278,0,44.56,1
"2017-01-31","10:43:44",-16.392672,-71.503166,2432.38,900,62,0,7.04,1
"2017-01-31","10:47:03",-16.392637,-71.503311,2425.82,864,312,0,15.95,1
"2017-01-31","10:50:13",-16.39253,-71.503212,2494.96,4104,157,0,15.91,1
"2017-01-31","10:53:22",-16.392557,-71.503181,2478.73,0,0,0,4.47,1
"2017-01-31","10:56:32",-16.392704,-71.503159,2431.23,4824,345,0,16.51,1
"2017-01-31","11:00:14",-16.392805,-71.503082,2436.53,540,209,0,13.91,1
"2017-01-31","11:03:51",-16.392506,-71.503304,2464.1,2484,50,0,40.82,1
"2017-01-31","12:33:49",-16.392506,-71.503304,2464.1,2484,50,0,0,1
"2017-01-31","13:03:41",-16.392586,-71.502937,2515.77,432,75,0,40.15,1
"2017-01-31","13:06:58",-16.392477,-71.50312,2453.66,612,286,0,22.98,1
"2017-01-31","13:27:51",-16.392477,-71.50312,2453.66,612,286,0,0,1
"2017-01-31","13:44:32",-16.392551,-71.503082,2433.72,1620,3,0,9.17,1
"2017-01-31","14:00:40",-16.392565,-71.503136,2450.19,1260,69,0,5.97,1
"2017-01-31","14:16:31",-16.39262,-71.503304,2456.71,648,328,0,18.94,1
"2017-01-31","14:29:54",-16.39336,-71.503769,2530.85,6120,207,0,96.08,1
"2017-01-31","14:40:55",-16.391472,-71.501869,2430.5,0,0,0,291.81,1
"2017-01-31","14:51:28",-16.394377,-71.503052,2451.52,972,52,0,346.8,1
"2017-01-31","15:03:33",-16.392784,-71.503036,2466.87,3456,350,0,177.14,1
"2017-01-31","15:06:47",-16.392534,-71.502892,2470.11,1728,263,0,31.76,1
"2017-01-31","15:10:34",-16.391228,-71.498657,2824.11,4068,247,0,474.54,1
"2017-01-31","15:17:49",-16.392532,-71.502953,2459.03,2592,249,0,480.67,1
"2017-01-31","15:21:41",-16.392532,-71.503159,2458.1,144,101,0,21.98,1
"2017-01-31","15:28:20",-16.392612,-71.502602,2496.52,1260,84,0,60.08,1
"2017-01-31","15:31:29",-16.39266,-71.503189,2441.39,0,98,0,62.85,1
"2017-01-31","15:34:43",-16.392773,-71.503433,2399.93,5580,81,0,28.9,1
"2017-01-31","15:38:01",-16.39263,-71.503098,2459.81,3636,251,0,39.11,1
"2017-01-31","15:41:11",-16.392738,-71.503242,2458.7,2160,127,0,19.5,1
"2017-01-31","15:44:20",-16.39275,-71.503265,2421.45,0,62,0,2.79,1
"2017-01-31","15:47:29",-16.392677,-71.503143,2460.62,216,91,0,15.34,1
"2017-01-31","15:50:38",-16.392653,-71.503143,2452.76,0,264,0,2.67,1
"2017-01-31","15:53:46",-16.39263,-71.503082,2450.52,0,0,0,6.99,1
"2017-01-31","15:56:54",-16.392635,-71.503075,2463.81,0,0,0,0.93,1
"2017-01-31","16:00:02",-16.392647,-71.503136,2456.9,0,0,0,6.64,1
"2017-01-31","16:03:11",-16.3927,-71.503159,2441.23,828,0,0,6.38,1
"2017-01-31","16:06:20",-16.392677,-71.503143,2473.01,0,0,0,3.07,1
"2017-01-31","16:09:29",-16.392626,-71.503113,2464.21,828,291,0,6.51,1
"2017-01-31","16:12:45",-16.392689,-71.503136,2456.15,108,112,0,7.42,1
"2017-01-31","16:16:08",-16.392778,-71.498878,1325.23,1260,83,0,454.33,1
"2017-01-31","16:19:19",-16.392605,-71.503098,2437.51,1368,0,0,450.58,1
"2017-01-31","16:22:30",-16.392767,-71.503319,2469.66,360,78,0,29.67,1
"2017-01-31","16:25:39",-16.392576,-71.503029,2422.99,0,61,0,37.52,1
"2017-01-31","16:28:51",-16.392633,-71.503075,2444.78,1008,241,0,8.02,1
"2017-01-31","16:32:00",-16.392675,-71.50296,2416.83,612,241,0,13.13,1
"2017-01-31","16:35:08",-16.392628,-71.503441,2458.85,2484,258,0,51.58,1
"2017-01-31","16:38:19",-16.392414,-71.502975,2439.17,0,209,0,55.11,1
"2017-01-31","16:41:27",-16.392487,-71.503151,2449.1,0,43,0,20.45,1
"2017-01-31","16:44:37",-16.392738,-71.503647,2593.26,3348,55,0,59.82,1
"2017-01-31","16:47:51",-16.392382,-71.503166,2470.23,1152,231,0,64.81,1
"2017-01-31","16:51:31",-16.392399,-71.503174,2456.67,612,149,0,2.07,1
"2017-01-31","16:54:40",-16.392391,-71.50309,2463.18,36,47,0,9,1
