"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-12-06","08:04:32",-16.393053,-71.50058,2353.55,1872,85,-2,0,1
"2016-12-06","08:10:01",-16.393852,-71.500992,2557.87,324,59,0,99.12,1
"2016-12-06","08:16:58",-16.394592,-71.50148,2527.44,8136,244,0,97.37,1
"2016-12-06","08:20:14",-16.394655,-71.501526,2475.2,0,251,0,8.55,1
"2016-12-06","08:23:27",-16.394625,-71.501694,2574.48,0,0,0,18.23,1
"2016-12-06","08:26:43",-16.394821,-71.501465,2453.75,0,39,0,32.74,1
"2016-12-06","08:30:00",-16.394838,-71.501335,2350.33,1440,238,0,14,1
"2016-12-06","08:33:17",-16.394575,-71.501633,2509.22,0,221,0,43.19,1
"2016-12-06","08:36:35",-16.394501,-71.50161,2513.28,108,14,0,8.59,1
"2016-12-06","08:39:47",-16.394505,-71.501633,2502.4,1332,138,0,2.49,1
"2016-12-06","08:43:04",-16.394516,-71.501266,2496.92,1332,82,0,39.17,1
"2016-12-06","08:46:34",-16.394007,-71.501007,2491.51,2196,38,0,62.98,1
"2016-12-06","08:50:04",-16.394072,-71.50087,2432.37,2124,153,0,16.3,1
"2016-12-06","08:53:43",-16.394398,-71.500809,2351.16,3744,164,0,36.83,1
"2016-12-06","08:58:39",-16.394125,-71.500854,2439.12,3384,174,0,30.73,1
"2016-12-06","09:05:41",-16.394035,-71.500847,2501.08,1008,166,0,10.04,1
"2016-12-06","09:13:21",-16.393969,-71.500847,2477.27,576,176,0,7.34,1
"2016-12-06","09:21:55",-16.393972,-71.500839,2499.39,2160,161,0,0.92,1
"2016-12-06","09:32:21",-16.393894,-71.50087,2490.45,900,207,0,9.28,1
"2016-12-06","09:42:07",-16.393894,-71.50087,2490.45,900,207,0,0,1
"2016-12-06","09:45:54",-16.39394,-71.500908,2505.91,360,333,0,6.53,1
"2016-12-06","09:54:00",-16.393764,-71.500916,2507.08,900,7,0,19.59,1
"2016-12-06","10:01:57",-16.393789,-71.500916,2460.43,4752,296,0,2.78,1
"2016-12-06","10:08:31",-16.39397,-71.500839,2493.78,756,21,0,21.74,1
"2016-12-06","10:12:36",-16.393839,-71.500854,2551,936,12,0,14.65,1
"2016-12-06","10:20:28",-16.393856,-71.500893,2509.75,8280,34,0,4.57,1
"2016-12-06","10:29:41",-16.394184,-71.501892,2487.23,612,33,0,112.64,1
"2016-12-06","10:33:03",-16.394432,-71.503517,2428.03,5832,64,0,175.52,1
"2016-12-06","10:36:18",-16.3958,-71.505226,2449.16,8352,265,0,237.43,1
"2016-12-06","10:39:39",-16.396172,-71.506775,2465.22,8784,263,0,170.34,1
"2016-12-06","10:43:02",-16.397604,-71.506508,2571.57,1332,86,0,161.76,1
"2016-12-06","10:46:39",-16.39975,-71.505325,2439.69,9252,145,0,269.94,1
"2016-12-06","10:49:56",-16.400496,-71.504799,2459.34,936,263,0,100.15,1
"2016-12-06","10:53:21",-16.400589,-71.504173,2610.84,4680,283,0,67.57,1
"2016-12-06","10:56:39",-16.400467,-71.504578,2499.75,1188,36,0,45.28,1
"2016-12-06","11:01:02",-16.400307,-71.505219,2352.47,0,0,0,70.65,1
"2016-12-06","11:06:54",-16.400307,-71.505219,2352.47,0,0,0,0,1
"2016-12-06","11:14:52",-16.400524,-71.503304,2704.78,2088,248,0,205.69,1
"2016-12-06","11:24:08",-16.400831,-71.498817,3531.87,4212,63,0,479.85,1
"2016-12-06","11:36:11",-16.394491,-71.502686,2513.54,6228,113,0,816.9,1
"2016-12-06","11:40:59",-16.39459,-71.501648,2476.95,396,7,-1,111.27,1
"2016-12-06","11:41:53",-16.39463,-71.50161,2478.37,2916,123,-1,6.02,1
