"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-22","08:40:59",-16.393639,-71.500679,2561.75,396,150,-2,0,1
"2016-11-22","08:44:06",-16.393681,-71.500679,2561.33,396,259,0,4.67,1
"2016-11-22","08:44:12",-16.393702,-71.500641,2547.29,576,305,-1,4.68,1
"2016-11-22","08:45:39",-16.393354,-71.50087,2583.11,0,0,-1,45.76,1
"2016-11-22","08:48:46",-16.393557,-71.50074,2581.71,0,3,0,26.49,1
"2016-11-22","08:49:27",-16.393377,-71.50071,2512.77,612,311,-1,20.27,1
"2016-11-22","08:52:39",-16.392675,-71.501335,2484.6,1044,227,0,102.66,1
"2016-11-22","08:55:49",-16.393274,-71.500801,2489.71,1476,91,0,87.64,1
"2016-11-22","08:59:02",-16.393541,-71.500694,2419.29,1404,318,0,31.81,1
"2016-11-22","09:02:18",-16.393482,-71.500755,2413.39,1152,226,0,9.24,1
"2016-11-22","09:05:31",-16.393362,-71.500694,2451.83,2016,66,0,14.85,1
"2016-11-22","09:08:39",-16.393692,-71.500259,2318.92,6228,125,0,59.16,1
"2016-11-22","09:11:47",-16.393393,-71.500122,2332.28,0,20,0,36.32,1
"2016-11-22","09:14:54",-16.39341,-71.500511,2418.33,0,275,0,41.54,1
"2016-11-22","09:18:43",-16.393559,-71.500267,2500.7,8136,76,0,30.85,1
"2016-11-22","09:22:02",-16.39345,-71.500977,2610.82,3276,324,0,76.7,1
"2016-11-22","09:25:12",-16.393164,-71.500877,2508.01,180,0,0,33.54,1
"2016-11-22","09:28:21",-16.39324,-71.500832,2521.88,0,0,0,9.72,1
"2016-11-22","09:31:30",-16.393219,-71.500786,2527.8,432,186,0,5.43,1
"2016-11-22","09:34:39",-16.393274,-71.500725,2449.61,0,0,0,8.93,1
"2016-11-22","09:37:51",-16.393288,-71.500938,2577.35,756,135,0,22.77,1
"2016-11-22","09:41:06",-16.393204,-71.501106,2574.7,4068,272,0,20.21,1
"2016-11-22","09:44:20",-16.39325,-71.500916,2589.8,864,72,0,20.9,1
"2016-11-22","09:47:41",-16.393667,-71.500732,2503.81,3960,301,0,50.35,1
"2016-11-22","09:50:51",-16.393547,-71.500771,2495.9,0,41,0,13.98,1
"2016-11-22","09:53:58",-16.393312,-71.500763,2586.71,0,0,0,26.14,1
"2016-11-22","09:57:09",-16.393238,-71.500877,2567.27,576,60,0,14.68,1
