"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-12-14","08:15:44",-16.390062,-71.52504,2413.4,612,174,-2,0,1
"2016-12-14","08:17:09",-16.390181,-71.524971,2422.99,288,105,-1,15.14,1
"2016-12-14","08:25:27",-16.388519,-71.525604,2264.68,1548,212,0,196.76,1
"2016-12-14","08:32:26",-16.38938,-71.525261,2271.49,1224,54,0,102.49,1
"2016-12-14","08:40:17",-16.389658,-71.525299,2268.03,3240,64,0,31.18,1
"2016-12-14","09:06:11",-16.391937,-71.523201,3370.03,6048,144,0,338.09,1
"2016-12-14","09:10:05",-16.390076,-71.525024,2399.81,1116,75,0,283.97,1
"2016-12-14","09:17:50",-16.389572,-71.525124,2475.69,468,22,-1,57.05,1
"2016-12-14","09:26:31",-16.389969,-71.525093,2436.52,2376,239,0,44.27,1
"2016-12-14","09:36:20",-16.389969,-71.525093,2436.52,2376,239,0,0,1
"2016-12-14","09:48:56",-16.3899,-71.525085,2437.15,1332,231,0,7.72,1
"2016-12-14","10:00:16",-16.38999,-71.525177,2439.04,3852,313,0,14.02,1
"2016-12-14","10:12:53",-16.389528,-71.526077,2123.46,1116,287,0,108.89,1
"2016-12-14","10:27:33",-16.390013,-71.524933,2407.3,1152,336,0,133.42,1
"2016-12-14","10:41:08",-16.390242,-71.525162,2408.98,0,0,0,35.29,1
"2016-12-14","10:44:39",-16.390062,-71.52491,2374.87,3420,75,0,33.52,1
"2016-12-14","10:54:16",-16.389711,-71.52494,2481.85,1512,217,0,39.16,1
"2016-12-14","11:01:12",-16.389822,-71.52494,2465.04,0,311,0,12.34,1
"2016-12-14","11:05:08",-16.390026,-71.525009,2407.66,684,113,0,23.85,1
"2016-12-14","11:12:16",-16.3906,-71.524368,2437.14,4212,82,0,93.54,1
"2016-12-14","11:15:24",-16.390133,-71.523308,2498.77,2052,233,0,124.43,1
"2016-12-14","11:18:31",-16.390581,-71.522789,2441.17,4896,94,0,74.48,1
"2016-12-14","11:21:39",-16.390701,-71.522736,2469.35,2628,114,0,14.49,1
"2016-12-14","11:24:57",-16.39053,-71.522667,2432.25,2772,214,0,20.39,1
"2016-12-14","11:28:04",-16.391006,-71.52446,2429.32,7740,207,0,198.46,1
"2016-12-14","11:31:16",-16.389952,-71.524918,2435.25,684,202,0,126.98,1
"2016-12-14","11:34:30",-16.389977,-71.524879,2410.28,0,49,0,5,1
"2016-12-14","11:37:42",-16.389935,-71.524994,2426.95,1584,172,0,13.13,1
"2016-12-14","11:41:33",-16.389757,-71.524971,2459.86,216,205,0,19.94,1
"2016-12-14","11:45:41",-16.390024,-71.525024,2402.23,1296,0,0,30.22,1
"2016-12-14","11:50:25",-16.389553,-71.524727,2404.93,5688,188,0,61.21,1
"2016-12-14","11:53:38",-16.389517,-71.525055,2396.82,4572,136,0,35.22,1
"2016-12-14","11:56:53",-16.389517,-71.525055,2396.82,4572,136,0,0,1
"2016-12-14","12:00:10",-16.389925,-71.525085,2423.87,2448,65,0,45.48,1
"2016-12-14","12:25:00",-16.389925,-71.525085,2423.87,2448,65,0,0,1
"2016-12-14","12:31:47",-16.389889,-71.525078,2397.25,432,96,0,4.07,1
"2016-12-14","12:35:27",-16.389811,-71.525131,2439.46,1512,240,0,10.35,1
"2016-12-14","12:51:56",-16.390495,-71.522659,2471,2052,206,0,274.45,1
"2016-12-14","12:55:27",-16.390106,-71.521271,2442.8,720,256,0,154.26,1
"2016-12-14","13:07:08",-16.390553,-71.521614,2451.53,972,148,0,61.72,1
"2016-12-14","13:16:29",-16.390289,-71.522423,2522.02,720,203,0,91.16,1
