"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-12","08:00:57",-16.391438,-71.502876,2477.81,3240,158,-2,0,1
"2016-10-12","08:02:33",-16.391508,-71.502991,2480.88,252,52,0,14.53,1
"2016-10-12","08:03:38",-16.391439,-71.503014,2447.04,1980,180,0,8.06,1
"2016-10-12","08:04:50",-16.391542,-71.503067,2457.44,1584,352,0,12.77,1
"2016-10-12","08:06:17",-16.391512,-71.502991,2486.35,1404,209,0,8.77,1
"2016-10-12","08:07:26",-16.391401,-71.50296,2442.43,1620,211,0,12.78,1
"2016-10-12","08:08:32",-16.391457,-71.503067,2453.69,612,70,0,13,1
"2016-10-12","08:09:38",-16.39134,-71.5028,2516.75,7488,254,0,31.31,1
"2016-10-12","08:10:42",-16.391441,-71.502945,2476.53,1152,37,0,19.12,1
"2016-10-12","08:11:47",-16.391489,-71.502769,2519.39,0,238,0,19.52,1
"2016-10-12","08:12:51",-16.391535,-71.502983,2475.94,2844,70,0,23.39,1
"2016-10-12","08:13:57",-16.391356,-71.502815,2522.2,828,211,0,26.78,1
"2016-10-12","08:15:02",-16.391535,-71.503098,2439.65,900,253,0,36.16,1
"2016-10-12","08:16:08",-16.391476,-71.502983,2414.37,1656,251,0,13.91,1
"2016-10-12","08:17:11",-16.391365,-71.502991,2448.35,1872,234,0,12.37,1
"2016-10-12","08:18:15",-16.391491,-71.503342,2311.72,3528,250,0,39.98,1
"2016-10-12","08:19:40",-16.391537,-71.503586,2276.11,3132,70,0,26.53,1
"2016-10-12","08:20:46",-16.391417,-71.502876,2446.13,1764,256,0,76.91,1
"2016-10-12","08:21:49",-16.391365,-71.50296,2467.8,252,253,0,10.66,1
"2016-10-12","08:22:53",-16.391371,-71.502953,2457.42,1152,248,0,1,1
"2016-10-12","08:23:56",-16.391386,-71.502975,2492.37,1044,134,-4,2.88,1
"2016-10-13","18:20:37",-16.391138,-71.502831,2510.05,1044,134,-2,0,1
"2016-10-13","18:29:28",-16.391138,-71.502831,2510.05,900,252,0,0,1
"2016-10-13","18:36:38",-16.390316,-71.502197,2707.22,180,170,0,113.7,1
"2016-10-13","18:41:54",-16.39142,-71.502937,2458.45,0,74,0,145.95,1
"2016-10-13","18:43:06",-16.391502,-71.503197,2439.06,432,162,0,29.2,1
"2016-10-13","18:44:35",-16.391684,-71.50325,2410.79,720,229,0,21.01,1
"2016-10-13","18:47:53",-16.391684,-71.50325,2410.79,720,229,0,0,1
"2016-10-13","18:49:23",-16.391676,-71.503128,2406.99,1800,232,0,13.04,1
"2016-10-13","18:52:04",-16.391382,-71.503052,2451.36,252,57,0,33.68,1
"2016-10-13","18:53:40",-16.391634,-71.50267,2466.37,0,0,0,49.45,1
"2016-10-13","18:54:47",-16.390869,-71.502716,2471.5,8100,50,0,85.21,1
"2016-10-13","18:55:56",-16.391117,-71.503036,2482.25,0,293,0,43.88,1
"2016-10-13","18:57:04",-16.391245,-71.503235,2469.21,0,252,0,25.56,1
"2016-10-13","18:58:12",-16.391384,-71.502869,2482.92,1692,339,0,41.99,1
"2016-10-13","18:59:21",-16.391258,-71.503006,2488.61,0,223,0,20.25,1
"2016-10-13","19:00:28",-16.391363,-71.502907,2493.22,1188,217,0,15.74,1
"2016-10-13","19:01:35",-16.391457,-71.50296,2450.72,0,0,0,11.88,1
"2016-10-13","19:02:42",-16.391258,-71.502846,2508.98,720,143,0,25.25,1
"2016-10-13","19:03:48",-16.391193,-71.502876,2502.57,1080,86,0,7.9,1
"2016-10-13","19:04:55",-16.391359,-71.502914,2492.33,756,7,0,18.9,1
"2016-10-13","19:06:04",-16.391407,-71.502953,2467.84,0,189,0,6.77,1
"2016-10-13","19:07:13",-16.391264,-71.502975,2485.64,14256,349,0,16.07,1
"2016-10-13","19:07:16",-16.391186,-71.502991,2484.17,9396,344,0,8.84,1
"2016-10-13","19:08:22",-16.391401,-71.502975,2475.15,0,258,0,23.97,1
"2016-10-13","19:09:28",-16.39139,-71.502983,2475.75,0,258,0,1.49,1
"2016-10-13","19:10:34",-16.391443,-71.502991,2475.39,8172,187,0,5.95,1
"2016-10-13","19:11:41",-16.391489,-71.503098,2474.9,0,220,0,12.51,1
"2016-10-13","19:12:48",-16.391489,-71.503098,2474.9,0,220,0,0,1
"2016-10-13","19:13:55",-16.391489,-71.503098,2474.9,0,220,0,0,1
"2016-10-13","19:15:03",-16.391489,-71.503098,2474.9,0,220,0,0,1
"2016-10-13","19:16:11",-16.391449,-71.502945,2472.87,0,79,0,16.92,1
"2016-10-13","19:17:19",-16.391432,-71.502968,2473.38,1224,287,0,3.1,1
"2016-10-13","19:18:28",-16.39143,-71.502968,2473.58,0,287,0,0.22,1
"2016-10-13","19:19:37",-16.39143,-71.502968,2473.58,0,287,0,0,1
"2016-10-13","19:20:47",-16.39143,-71.502968,2473.58,0,287,0,0,1
"2016-10-13","19:21:57",-16.39143,-71.502968,2473.58,0,287,0,0,1
"2016-10-13","19:23:08",-16.39143,-71.502968,2473.58,0,287,0,0,1
"2016-10-13","19:24:20",-16.391392,-71.502983,2477.2,0,260,0,4.52,1
"2016-10-13","19:25:33",-16.391392,-71.502983,2477.2,0,260,0,0,1
"2016-10-13","19:26:47",-16.391392,-71.502983,2477.2,0,260,0,0,1
"2016-10-13","19:28:03",-16.391392,-71.502983,2477.2,0,260,-4,0,1
