"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-10-20","06:55:13",-16.393927,-71.493294,2642.28,0,34,-2,0,1
"2016-10-20","06:58:18",-16.393265,-71.493996,2650.99,0,212,0,105.01,1
"2016-10-20","07:01:23",-16.392982,-71.494102,2652.2,17388,311,0,33.44,1
"2016-10-20","07:01:57",-16.393406,-71.493805,2653.13,7380,140,0,56.8,1
"2016-10-20","07:03:59",-16.393492,-71.493622,2648.5,1476,119,-1,21.74,1
"2016-10-20","07:07:08",-16.393517,-71.493668,2659.85,1188,8,0,5.64,1
"2016-10-20","07:10:17",-16.393209,-71.494102,2674.1,684,233,0,57.59,1
"2016-10-20","07:13:31",-16.393688,-71.494629,2758.01,1044,62,0,77.44,1
"2016-10-20","07:16:41",-16.393229,-71.494118,2657.61,0,8,0,74.67,1
"2016-10-20","07:19:50",-16.39303,-71.494087,2638.92,0,0,0,22.37,1
"2016-10-20","07:23:01",-16.393232,-71.494133,2653.71,0,70,0,22.99,1
"2016-10-20","07:26:13",-16.393229,-71.494019,2653.38,0,61,0,12.17,1
"2016-10-20","07:29:25",-16.393198,-71.494041,2662.46,25308,30,0,4.17,1
"2016-10-20","07:30:00",-16.393175,-71.493904,2701.91,2340,263,0,14.84,1
"2016-10-20","07:33:10",-16.393721,-71.493744,2632.1,0,0,0,63.07,1
"2016-10-20","07:36:23",-16.39361,-71.493584,2657.38,0,23,0,21.06,1
"2016-10-20","07:39:35",-16.393494,-71.493706,2647.13,864,354,0,18.32,1
"2016-10-20","07:42:47",-16.393532,-71.493713,2630.38,0,339,0,4.29,1
"2016-10-20","07:45:58",-16.39312,-71.493919,2675.57,0,286,0,50.81,1
"2016-10-20","07:49:13",-16.39315,-71.494125,2678.59,4644,254,0,22.23,1
"2016-10-20","07:52:25",-16.393206,-71.49411,2671.73,0,64,0,6.43,1
"2016-10-20","07:55:38",-16.392916,-71.493973,2641.06,0,234,0,35.4,1
"2016-10-20","07:58:48",-16.392862,-71.493835,2624.91,3744,67,0,15.9,1
"2016-10-20","08:01:57",-16.393242,-71.493988,2648.85,0,0,0,45.3,1
"2016-10-20","08:05:06",-16.393093,-71.494011,2660.71,0,0,0,16.75,1
"2016-10-20","08:08:15",-16.393124,-71.494102,2690.2,0,349,0,10.3,1
"2016-10-20","08:11:24",-16.393145,-71.494156,2679.95,1152,99,0,6.22,1
"2016-10-20","08:14:33",-16.393164,-71.49411,2669.76,0,0,0,5.34,1
"2016-10-20","08:17:42",-16.393148,-71.494095,2668.91,0,25,0,2.39,1
"2016-10-20","08:20:51",-16.393288,-71.49398,2677.98,0,0,0,19.82,1
"2016-10-20","08:24:10",-16.393288,-71.49398,2677.98,0,0,0,0,1
"2016-10-20","08:27:24",-16.393234,-71.494057,2673.4,0,0,0,10.17,1
"2016-10-20","08:30:40",-16.392982,-71.494034,2676.08,0,0,-4,28.13,1
"2016-10-20","08:33:45",-16.393198,-71.494026,2677.55,648,350,-2,0,1
"2016-10-20","08:35:14",-16.392967,-71.494041,2744.99,0,0,-1,25.74,1
"2016-10-20","08:36:34",-16.393047,-71.494034,2708.14,0,0,-1,8.93,1
"2016-10-20","08:39:46",-16.393047,-71.494034,2708.14,0,0,0,0,1
"2016-10-20","08:42:50",-16.393251,-71.494003,2677.8,0,0,0,22.92,1
"2016-10-20","08:46:01",-16.393251,-71.494003,2677.8,0,0,0,0,1
"2016-10-20","08:49:04",-16.392656,-71.493729,2704.93,1044,0,0,72.33,1
"2016-10-20","08:52:08",-16.393141,-71.494041,2661.71,3708,16,0,63.37,1
"2016-10-20","08:55:12",-16.392921,-71.493904,2710.23,0,79,0,28.5,1
"2016-10-20","08:58:16",-16.39292,-71.493896,2701.31,0,14,0,0.86,1
"2016-10-20","09:01:19",-16.39303,-71.493942,2648.08,396,235,0,13.18,1
"2016-10-20","09:04:23",-16.392771,-71.493767,2685.22,0,43,0,34.32,1
"2016-10-20","09:07:26",-16.393105,-71.493942,2659.96,0,320,0,41.57,1
"2016-10-20","09:10:29",-16.393446,-71.493851,2692.42,2448,8,0,39.14,1
"2016-10-20","09:13:53",-16.39327,-71.493958,2693.06,1224,2,0,22.66,1
"2016-10-20","09:16:56",-16.393288,-71.494019,2694.85,4140,13,0,6.81,1
"2016-10-20","09:19:59",-16.391087,-71.494225,2930.38,0,315,0,245.72,1
"2016-10-20","09:23:02",-16.39323,-71.493965,2665.41,0,0,0,239.9,1
"2016-10-20","09:26:13",-16.393282,-71.494011,2639.02,2556,350,0,7.58,1
"2016-10-20","09:29:25",-16.393257,-71.49395,2670.81,0,0,0,7.08,1
"2016-10-20","09:32:41",-16.393234,-71.493851,2707.85,0,99,0,10.87,1
"2016-10-20","09:36:18",-16.393644,-71.493996,2757.07,7560,185,0,48.14,1
"2016-10-20","09:39:30",-16.393171,-71.494064,2684.13,324,345,0,53.09,1
"2016-10-20","09:42:42",-16.393187,-71.494011,2691.9,1224,17,0,5.93,1
"2016-10-20","09:45:54",-16.393007,-71.493958,2677.78,4176,179,0,20.8,1
"2016-10-20","09:49:05",-16.393106,-71.493935,2691.59,2700,163,0,11.28,1
"2016-10-20","09:52:11",-16.393003,-71.493996,2668.56,0,0,0,13.17,1
"2016-10-20","09:55:19",-16.393085,-71.493973,2679.27,468,280,0,9.44,1
"2016-10-20","09:58:26",-16.393137,-71.493942,2692.29,864,174,0,6.66,1
"2016-10-20","10:01:32",-16.393097,-71.493912,2692.87,684,49,0,5.48,1
"2016-10-20","10:04:39",-16.3932,-71.494011,2678.06,828,48,0,15.58,1
"2016-10-20","10:07:46",-16.393223,-71.493965,2670.88,648,27,0,5.53,1
"2016-10-20","10:10:50",-16.393372,-71.494148,2637.25,1908,238,0,25.6,1
"2016-10-20","10:13:55",-16.393057,-71.494026,2713.88,0,141,0,37.37,1
"2016-10-20","10:17:07",-16.393248,-71.494133,2649.5,0,58,0,24.11,1
"2016-10-20","10:30:14",-16.393248,-71.494133,2649.5,0,58,0,0,1
"2016-10-20","10:33:56",-16.393019,-71.493958,2572.75,3096,205,0,31.57,1
"2016-10-20","10:40:26",-16.393019,-71.493958,2572.75,3096,205,0,0,1
"2016-10-20","10:43:58",-16.392906,-71.493652,2564.97,576,197,0,34.98,1
"2016-10-20","10:48:34",-16.393141,-71.493935,2637.11,324,52,0,39.93,1
"2016-10-20","10:53:47",-16.393389,-71.494057,2685.52,0,0,0,30.49,1
"2016-10-20","10:56:54",-16.393265,-71.493935,2681.89,0,0,0,18.96,1
"2016-10-20","11:00:12",-16.393265,-71.493935,2681.89,0,0,0,0,1
"2016-10-20","11:03:25",-16.393188,-71.49395,2636.48,0,225,0,8.71,1
"2016-10-20","11:06:34",-16.393364,-71.494049,2666.66,1872,218,0,22.24,1
"2016-10-20","11:09:49",-16.393364,-71.494049,2666.66,1872,218,0,0,1
"2016-10-20","11:12:59",-16.393551,-71.49398,2663.33,2088,167,0,22.06,1
"2016-10-20","11:16:12",-16.393551,-71.49398,2663.33,2088,167,0,0,1
"2016-10-20","11:19:23",-16.393492,-71.493973,2679.1,3168,191,0,6.6,1
"2016-10-20","11:22:36",-16.393232,-71.493973,2642.82,1260,357,0,28.91,1
