type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,TOR1A_PAUCPTA_RIOSOCABYA, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41776254721783,-71.47369801993449,8183240.59622844,235822.651910614,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41762582290679,-71.47381075410603,8183255.58534853,235810.421362886,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41762158025901,-71.47415028610098,8183255.61200353,235774.136378354,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41766911458327,-71.4743434015756,8183250.09765489,235753.566112706,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41746138736365,-71.47459828752551,8183272.76167367,235726.050457255,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4176747037197,-71.47477493898111,8183248.91568665,235707.463568773,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41763409334318,-71.47514189745877,8183252.93249451,235668.198837891,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41767283237159,-71.47530922133735,8183248.42540644,235650.372542458,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41779284713584,-71.47554295417785,8183234.83387141,235625.560349071,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41780836979417,-71.47569418631612,8183232.91795216,235609.422078607,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4177827781421,-71.47582625047208,8183235.57865881,235595.276297767,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41776122468933,-71.47594340302388,8183237.81177586,235582.729292782,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41775708686732,-71.47602699319039,8183238.16069793,235573.79201689,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41780320185474,-71.47611356000151,8183232.94243133,235564.604679873,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41778038314201,-71.47630211297862,8183235.2223504,235544.426764276,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41788305516654,-71.47646928173484,8183223.63757655,235526.703589107,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41788022884057,-71.4765829865897,8183223.80194769,235514.550311303,False, , ,0, , , , , , 
