"4 hr","6 hr","12 hr","24 hr","dog"
0.00118,0.001033,0.001512,0.000543,"Bethoven"
0.000822,0.000597,0.00029,0.000162,"Blanco"
0.002211,0.00141,7e-04,0.00037,"Bocanegra"
0.001122,0.000853,0.000446,0.000321,"Boyca"
0.001291,0.000866,0.000401,0.000208,"Cabeza_Blanca"
0.004266,0.003399,0.002038,0.001208,"Cafetin"
0.000563,0.000406,0.000194,NA,"Dayflu"
0.000424,0.000375,0.001164,0.000106,"Doki"
0.002107,0.001419,0.000657,0.000336,"Dorito"
0.000818,0.000562,0.000293,0.000147,"Draico"
0.001598,0.001055,0.000527,0.000269,"Gringasho"
0.001766,0.001202,0.000673,0.000307,"Kucznski"
0.000824,0.000532,0.00025,0.000111,"Lobo"
0.000698,0.000494,0.00025,0.000115,"Loca"
0.000832,0.000591,0.000278,0.000126,"Lunareja"
0.000882,0.000744,0.000532,0.000176,"Maycol"
0.001592,0.001111,0.000572,0.000257,"Negra"
0.002063,0.002216,0.001545,0.000372,"Negro_I"
0.000678,0.000522,0.000213,0.000124,"Negro_II"
0.00074,0.000467,0.00027,0.000116,"Otis"
0.007469,0.006546,0.004619,0.002023,"Tarzan"
0.000386,0.000277,0.000134,9.1e-05,"Tofy"
0.000685,0.000468,0.000242,0.000115,"Toto"
